taxon_id	species_name	queried_taxids	object_count	archive_bytes	query_errors	status
F1498855	Amoeboaphelidium occidentale	1498855	0	0		no_archive_at_queried_ids
F1243177	Amoeboaphelidium protococcarum	1243177	2	1521664		candidate_archives_found
F2871812	Acarospora aff. strigata	2871812	0	0		no_archive_at_queried_ids
F318763	Pleopsidium flavum	318763	2	1528320		candidate_archives_found
F470096	Pseudovirgaria hyperparasitica	470096	4	3699625472		candidate_archives_found
F4918	Pachysolen tannophilus	4918;669874	4	2044254208		candidate_archives_found
F1658444	Neoarthrinium moseri	1658444	0	0		no_archive_at_queried_ids
F393283	Pestalotiopsis fici	1229662;393283	6	5524311040		candidate_archives_found
F1141098	Pseudomassariella vexata	1141098	4	3943868416		candidate_archives_found
F91480	Alyxoria varia	91480	2	1283072		candidate_archives_found
F2939400	Chrysothrix sp. TS-e1954	2939400	0	0		no_archive_at_queried_ids
F1542792	Coniocarpon cinnabarinum	1542792	2	1382912		candidate_archives_found
F54195	Ascoidea rubescens	1344418;54195	2	2315431424		candidate_archives_found
F43959	Saccharomycopsis crataegensis	43959	0	0		no_archive_at_queried_ids
F1176130	Aulographum hederae	1176130;1176131	4	3801896448		candidate_archives_found
F1504668	Rhizodiscina lignyota	1504668	0	0		no_archive_at_queried_ids
F1397036	Lambiella insularis	1397036	2	545792		candidate_archives_found
F223409	Ptychographa xylographoides	223409	2	638464		candidate_archives_found
F1590129	Xylographa bjoerkii	1590129	0	0		no_archive_at_queried_ids
F462254	Aplosporella prunicola	1176127;462254	6	3860280320		candidate_archives_found
F236234	Diplodia corticola	236234	4	4178118144		candidate_archives_found
F121624	Phyllosticta capitalensis	121624	2	10520064		candidate_archives_found
F3058885	Dirinaria sp. TL-2023a	3058885	0	0		no_archive_at_queried_ids
F116794	Heterodermia speciosa	116794	2	6063104		candidate_archives_found
F116821	Physcia stellaris	116821	2	130048		candidate_archives_found
F41990	Pleurostoma richardsiae	41990	2	697856		candidate_archives_found
F460848	Candelaria pacifica	460848	0	0		no_archive_at_queried_ids
F460854	Candelina submexicana	460854	2	257024		candidate_archives_found
F1453791	Pycnora praestabilis	1453791	2	128000		candidate_archives_found
F147573	Piedraia hortae	1314780;147573	4	2222776832		candidate_archives_found
F705562	Polychaeton citri	1314669;705562	0	0		no_archive_at_queried_ids
F1093897	Phialemonium atrogriseum	1093897	0	0		no_archive_at_queried_ids
F223376	Phialemonium thermophilum	223376	2	607232		candidate_archives_found
F1506992	Thozetella sp. PMI_491	1506992	0	0		no_archive_at_queried_ids
F293227	Cyphellophora europaea	1220924;293227	6	3992547840		candidate_archives_found
F2486360	Exophiala viscosa	2486360	0	0		no_archive_at_queried_ids
F1690604	Lithohypha guttulata	1690604	0	0		no_archive_at_queried_ids
F1052096	Cladosporium halotolerans	1052096	2	3372544		candidate_archives_found
F1507870	Cryoendolithus antarcticus	1507870	4	6873607680		candidate_archives_found
F1507873	Rachicladosporium monterosium	1507873	2	108544		candidate_archives_found
F91930	Coniochaeta hoffmannii	91930	2	12062208		candidate_archives_found
F177197	Coniochaeta ligniaria	1408157;177197	6	4410088448		candidate_archives_found
F177199	Coniochaeta pulveracea	177199	2	3577583616		candidate_archives_found
F164576	Chaenotheca gracillima	164576	0	0		no_archive_at_queried_ids
F2939403	Sclerophora amabilis	2939403	0	0		no_archive_at_queried_ids
F5116	Cryphonectria parasitica	5116;660469	2	76301312		candidate_archives_found
F1214568	Diaporthe amygdali	1214568	2	14284800		candidate_archives_found
F148313	Discula destructiva	148313	2	903680		candidate_archives_found
F2268995	Blastobotrys vanleenenianus	2268995	2	190976		candidate_archives_found
F2606893	Magnusiomyces paraingens	2606893	2	2660254208		candidate_archives_found
F796027	Sugiyamaella lignohabitans	796027	2	2046784512		candidate_archives_found
F5580	Aureobasidium pullulans	1043002;5580	62	115374205952		candidate_archives_found
F2781224	Neodothiora populina	2781224	2	274432		candidate_archives_found
F2024903	Zalaria obscura	2024903	2	447488		candidate_archives_found
F1341166	Eremomyces bilateralis	1341166;1392243	2	3197949440		candidate_archives_found
F182096	Aspergillus chevalieri	182096	2	3459048960		candidate_archives_found
F5059	Aspergillus flavus	5059	8	13077123072		candidate_archives_found
F746128	Aspergillus fumigatus	330879;746128	6	7250213888		candidate_archives_found
F1069201	Aspergillus luchuensis	1069201	6	7093788160		candidate_archives_found
F41759	Aspergillus multicolor	41759	2	454656		candidate_archives_found
F162425	Aspergillus nidulans	162425;227321	6	7329102336		candidate_archives_found
F5062	Aspergillus oryzae	5062;510516	8	8353614848		candidate_archives_found
F1220207	Aspergillus puulaauensis	1220207	4	4600531456		candidate_archives_found
F1810926	Aspergillus stella-maris	1810926	2	653824		candidate_archives_found
F1810928	Aspergillus undulatus	1810928	2	769024		candidate_archives_found
F315204	Geoglossum umbratile	315204	2	283648		candidate_archives_found
F1670608	Glutinoglossum americanum	1670608	2	142848		candidate_archives_found
F265104	Trichoglossum hirsutum	265104	2	554496		candidate_archives_found
F1671311	Colletotrichum abscissum	1671311	2	761344		candidate_archives_found
F1209916	Colletotrichum costaricense	1209916	2	303104		candidate_archives_found
F34406	Colletotrichum destructivum	34406	2	1752576		candidate_archives_found
F710243	Colletotrichum fioriniae	710243	2	24214528		candidate_archives_found
F474922	Colletotrichum gloeosporioides	474922	2	96265728		candidate_archives_found
F80884	Colletotrichum higginsianum	759273;80884	10	11294330880		candidate_archives_found
F2283408	Colletotrichum jinshuiense	2283408	2	292864		candidate_archives_found
F1095194	Colletotrichum karsti	1095194	2	18416128		candidate_archives_found
F145971	Colletotrichum lupini	145971	2	6618624		candidate_archives_found
F1209934	Colletotrichum tamarilloi	1209934	2	4675072		candidate_archives_found
F5570	Cenococcum geophilum	5570;794803	2	9586176		candidate_archives_found
F574774	Glonium stellatum	574774	2	297984		candidate_archives_found
F5101	Amorphotheca resinae	5101;857342	4	3208847360		candidate_archives_found
F40559	Botrytis cinerea	332648;40559	6	4900347904		candidate_archives_found
F2656787	Venustampulla echinocandica	2656787	4	3948910080		candidate_archives_found
F195108	Fusarium falciforme	195108	2	34460672		candidate_archives_found
F5127	Fusarium fujikuroi	1279085;5127	12	16704819200		candidate_archives_found
F5518	Fusarium graminearum	229533;5518	12	16433905152		candidate_archives_found
F1328300	Fusarium keratoplasticum	1328300	2	28876800		candidate_archives_found
F1042133	Fusarium musae	1042133	2	13259264		candidate_archives_found
F5507	Fusarium oxysporum	5507;660027	20	32564424704		candidate_archives_found
F36050	Fusarium poae	36050	4	5138453504		candidate_archives_found
F101028	Fusarium pseudograminearum	101028;1028729	8	8363650560		candidate_archives_found
F5128	Fusarium sambucinum	5128	2	18842112		candidate_archives_found
F117187	Fusarium verticillioides	117187;334819	10	14186501632		candidate_archives_found
F173216	Trichoderma aggressivum	173216;173218	4	5265920		candidate_archives_found
F101201	Trichoderma asperellum	101201	2	3176265728		candidate_archives_found
F63577	Trichoderma atroviride	63577	2	37890560		candidate_archives_found
F2034170	Trichoderma breve	2034170	2	849920		candidate_archives_found
F1738374	Trichoderma camerunense	1738374	2	415744		candidate_archives_found
F58853	Trichoderma citrinoviride	58853	2	3374154240		candidate_archives_found
F549676	Trichoderma evansii	549676	2	705536		candidate_archives_found
F398673	Trichoderma gamsii	398673	4	7009196544		candidate_archives_found
F65468	Trichoderma ghanense	65468	2	4833280		candidate_archives_found
F5544	Trichoderma harzianum	5544;983964	12	16639666688		candidate_archives_found
F2732470	Bacidia gigantensis	2732470	0	0		no_archive_at_queried_ids
F209136	Lepraria neglecta	209136	2	124928		candidate_archives_found
F560253	Letharia lupina	560253	2	4990976		candidate_archives_found
F2939399	Claussenomyces sp. TS43310	2939399	0	0		no_archive_at_queried_ids
F3384825	Phaeococcomyces sp. EXF-18165	3384825	0	0		no_archive_at_queried_ids
F174425	Lichina confinis	174425	2	559616		candidate_archives_found
F318774	Phylliscum demangeonii	318774	2	123904		candidate_archives_found
F2796175	Watsoniomyces obsoletus	2796175	2	1459200		candidate_archives_found
F578093	Lineolata rhizophorae	578093	2	3210012672		candidate_archives_found
F1125753	Limtongia smithiae	1125753	2	460800		candidate_archives_found
F383834	Lipomyces doorenjongii	383834	2	1046016		candidate_archives_found
F44089	Neoaidaea tothii	44089	2	186368		candidate_archives_found
F339359	Zalerion maritima	339359	0	0		no_archive_at_queried_ids
F36779	Gaeumannomyces tritici	36779;644352	6	4614057472		candidate_archives_found
F148304	Magnaporthiopsis poae	148304;644358	6	3859937280		candidate_archives_found
F148305	Pyricularia grisea	148305	4	4189180416		candidate_archives_found
F2035830	Berkeleyomyces rouxiae	2035830	2	7115776		candidate_archives_found
F2019550	Ceratocystis lukuohia	2019550	2	4804608		candidate_archives_found
F563466	Scedosporium apiospermum	563466	2	3309611008		candidate_archives_found
F703497	Microthyrium microscopicum	703497	4	4099306496		candidate_archives_found
F122368	Cercospora beticola	122368	4	4388392960		candidate_archives_found
F574656	Recurvomyces mirabilis	574656	2	114688		candidate_archives_found
F1690608	Saxophila tyrrhenica	1690608	0	0		no_archive_at_queried_ids
F2601811	Elsinoe batatas	2601811	2	223232		candidate_archives_found
F147570	Myriangium duriaei	1168546;147570	2	395264		candidate_archives_found
F2082308	Sphaceloma murrayae	2082308	2	3064248832		candidate_archives_found
F741139	Lepidopterella palustris	1314670;741139	0	0		no_archive_at_queried_ids
F390894	Lophium mytilinum	390894	4	4846002176		candidate_archives_found
F574789	Mytilinidion resinicola	574789	4	4921584128		candidate_archives_found
F48691	Neolecta irregularis	1198029;48691	4	1725788160		candidate_archives_found
F92988	Neophaeotheca triangularis	92988	2	164864		candidate_archives_found
F199306	Coccidioides posadasii	199306;443226	4	3068245504		candidate_archives_found
F63402	Nannizzia gypsea	535722;63402	4	3082043392		candidate_archives_found
F1048829	Paracoccidioides lutzii	1048829;502779	4	3662310912		candidate_archives_found
F226899	Leptographium clavigerum	226899;655863	4	3236170240		candidate_archives_found
F61273	Ophiostoma piceae	1262450;61273	4	3536285184		candidate_archives_found
F29908	Sporothrix schenckii	1397361;29908	4	3808364032		candidate_archives_found
F97331	Arthrobotrys flagrans	97331	2	3644222976		candidate_archives_found
F1814901	Dactylella cylindrospora	1814901	2	361472		candidate_archives_found
F2813651	Orbilia oligospora	2813651;756982	18	30453648896		candidate_archives_found
F1940652	Gomphillus americanus	1940652	2	3403264		candidate_archives_found
F2704026	Stictis urceolata	2704026	0	0		no_archive_at_queried_ids
F209281	Thelotrema lepadinum	209281	2	1547776		candidate_archives_found
F703506	Patellaria atrata	1346257;703506	2	444416		candidate_archives_found
F669869	Lobaria immixta	669869	2	854016		candidate_archives_found
F52883	Peltigera leucophlebia	52883	2	3550720		candidate_archives_found
F169141	Pseudocyphellaria aurata	169141	2	127488		candidate_archives_found
F443868	Agyrium rufum	443868	2	356864		candidate_archives_found
F1006475	Circinaria calcarea	1006475	0	0		no_archive_at_queried_ids
F90408	Icmadophila ericetorum	90408	2	98816		candidate_archives_found
F1174673	Morchella importuna	1174673	2	44598272		candidate_archives_found
F43433	Tricharina praecox	43433	2	532480		candidate_archives_found
F39416	Tuber melanosporum	39416	2	16602112		candidate_archives_found
F158046	Phaeomoniella chlamydospora	158046	2	2723688960		candidate_archives_found
F703511	Trichodelitschia bisporula	703511	2	3062941184		candidate_archives_found
