genus_label	policy	input_entries	marker_code_groups_screened	marker_code_groups_passing_coverage	distinct_markers_passing_coverage
Amanita	all_aligned	7	125	125	125
Aspergillus	all_aligned	10	125	125	125
Candida	all_aligned	6	209	99	99
Colletotrichum	all_aligned	10	125	124	124
Cryptococcus	all_aligned	10	125	125	125
Fusarium	all_aligned	10	125	124	124
Malassezia	all_aligned	5	125	118	118
Microbotryum	all_aligned	4	125	113	113
Naganishia	all_aligned	4	125	64	64
Saccharomyces	all_aligned	9	125	123	123
Serendipita	all_aligned	5	125	91	91
Suillus	all_aligned	10	125	125	125
Tilletia	all_aligned	5	125	117	117
Trichoderma	all_aligned	10	125	125	125
Umbelopsis	all_aligned	4	125	113	113
Wallemia	all_aligned	4	125	115	115
Amanita	exclude_recorded_annotation_gene_label_flags	7	125	125	125
Aspergillus	exclude_recorded_annotation_gene_label_flags	10	125	125	125
Candida	exclude_recorded_annotation_gene_label_flags	6	209	99	99
Colletotrichum	exclude_recorded_annotation_gene_label_flags	10	125	124	124
Cryptococcus	exclude_recorded_annotation_gene_label_flags	10	125	125	125
Fusarium	exclude_recorded_annotation_gene_label_flags	10	125	124	124
Malassezia	exclude_recorded_annotation_gene_label_flags	5	125	118	118
Microbotryum	exclude_recorded_annotation_gene_label_flags	4	125	113	113
Naganishia	exclude_recorded_annotation_gene_label_flags	4	125	63	63
Saccharomyces	exclude_recorded_annotation_gene_label_flags	9	125	122	122
Serendipita	exclude_recorded_annotation_gene_label_flags	5	125	0	0
Suillus	exclude_recorded_annotation_gene_label_flags	10	125	125	125
Tilletia	exclude_recorded_annotation_gene_label_flags	5	125	115	115
Trichoderma	exclude_recorded_annotation_gene_label_flags	10	125	125	125
Umbelopsis	exclude_recorded_annotation_gene_label_flags	4	125	101	101
Wallemia	exclude_recorded_annotation_gene_label_flags	4	125	108	108
