genus_label	taxon_id	species_name	lineage	label_review_flag
Aspergillus	F182096	Aspergillus chevalieri	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	False
Aspergillus	F5059	Aspergillus flavus	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	False
Aspergillus	F746128	Aspergillus fumigatus	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	False
Aspergillus	F1069201	Aspergillus luchuensis	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	False
Aspergillus	F41759	Aspergillus multicolor	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	False
Aspergillus	F162425	Aspergillus nidulans	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	False
Aspergillus	F5062	Aspergillus oryzae	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	False
Aspergillus	F1220207	Aspergillus puulaauensis	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	False
Aspergillus	F1810926	Aspergillus stella-maris	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	False
Aspergillus	F1810928	Aspergillus undulatus	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	False
Colletotrichum	F1671311	Colletotrichum abscissum	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	False
Colletotrichum	F1209916	Colletotrichum costaricense	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	False
Colletotrichum	F34406	Colletotrichum destructivum	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	False
Colletotrichum	F710243	Colletotrichum fioriniae	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	False
Colletotrichum	F474922	Colletotrichum gloeosporioides	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	False
Colletotrichum	F80884	Colletotrichum higginsianum	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	False
Colletotrichum	F2283408	Colletotrichum jinshuiense	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	False
Colletotrichum	F1095194	Colletotrichum karsti	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	False
Colletotrichum	F145971	Colletotrichum lupini	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	False
Colletotrichum	F1209934	Colletotrichum tamarilloi	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	False
Fusarium	F195108	Fusarium falciforme	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	False
Fusarium	F5127	Fusarium fujikuroi	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	False
Fusarium	F5518	Fusarium graminearum	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	False
Fusarium	F1328300	Fusarium keratoplasticum	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	False
Fusarium	F1042133	Fusarium musae	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	False
Fusarium	F5507	Fusarium oxysporum	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	False
Fusarium	F36050	Fusarium poae	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	False
Fusarium	F101028	Fusarium pseudograminearum	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	False
Fusarium	F5128	Fusarium sambucinum	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	False
Fusarium	F117187	Fusarium verticillioides	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	False
Trichoderma	F173216	Trichoderma aggressivum	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	False
Trichoderma	F101201	Trichoderma asperellum	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	False
Trichoderma	F63577	Trichoderma atroviride	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	False
Trichoderma	F2034170	Trichoderma breve	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	False
Trichoderma	F1738374	Trichoderma camerunense	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	False
Trichoderma	F58853	Trichoderma citrinoviride	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	False
Trichoderma	F549676	Trichoderma evansii	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	False
Trichoderma	F398673	Trichoderma gamsii	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	False
Trichoderma	F65468	Trichoderma ghanense	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	False
Trichoderma	F5544	Trichoderma harzianum	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	False
Saccharomyces	F706196	Saccharomyces arboricola	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	False
Saccharomyces	F4932	Saccharomyces cerevisiae	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	False
Saccharomyces	F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	True
Saccharomyces	F1080349	Saccharomyces eubayanus	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	False
Saccharomyces	F114524	Saccharomyces kudriavzevii	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	False
Saccharomyces	F114525	Saccharomyces mikatae	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	False
Saccharomyces	F27291	Saccharomyces paradoxus	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	False
Saccharomyces	F27292	Saccharomyces pastorianus	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	False
