model_id	alphabet_model	rate_model	rsa_scale	controls	term	coefficient	marker_cluster_standard_error	t_statistic	p_value_conditional_cluster_t	ci95_lower	ci95_upper	bh_q_across_all_72_focal_tests
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_log1p_rate	0.16692944454009828	0.015525463314122419	10.75197829286385	1.5033665257832132e-16	0.13597254993217334	0.19788633914802323	4.767333177767486e-15
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	rsa_centered	-0.20644713045030635	0.04078083412749793	-5.0623567385813235	3.1361513089906644e-06	-0.2877618041940434	-0.1251324567065693	9.817517141188168e-06
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_by_rsa	0.037201321488296864	0.05493147882144996	0.6772313851082828	0.5004599186434299	-0.0723289363936857	0.14673157937027942	0.5222190455409703
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_log1p_rate	0.06981165188417392	0.025308563958435514	2.758420114188471	0.0073809042405990535	0.019347808629554604	0.12027549513879324	0.013626284751875177
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	rsa_centered	-0.23751213854060432	0.03898872282064702	-6.091816334512668	5.171700896035011e-08	-0.31525344382960485	-0.15977083325160382	2.8643266501116986e-07
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_by_rsa	0.05061575326100543	0.05313376607934973	0.952609931421313	0.3440196238190434	-0.0553299672215748	0.15656147374358567	0.3870220767964238
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_log1p_rate	0.16435251180522795	0.016276687617261153	10.09741758703625	2.281826213428656e-15	0.13189771848029505	0.19680730513016084	2.0536435920857903e-14
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	rsa_centered	-0.17344790560292683	0.03546245997732352	-4.891028589495431	6.039549504167957e-06	-0.244158042482202	-0.10273776872365167	1.6724906319234344e-05
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_by_rsa	0.03624320505059377	0.04732346332306795	0.7658612135626794	0.44629755289215767	-0.058117100785923255	0.1306035108871108	0.48687005770053565
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	aa_log1p_rate	0.06721998974963715	0.02561444118215403	2.6243004589329217	0.010623044429289295	0.016146244633409274	0.11829373486586503	0.018210933307353076
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	rsa_centered	-0.2023269885749791	0.03345760072999697	-6.0472653197029596	6.207255943744638e-08	-0.2690395496545835	-0.13561442749537472	3.192303056782957e-07
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	aa_by_rsa	0.045849659385486095	0.04562793012009295	1.0048595074291022	0.31837693938831707	-0.04512984926599687	0.13682916803696907	0.3757891743599808
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	aa_log1p_rate	0.16863299945088045	0.016478947893030116	10.233238222823978	1.293671012476716e-15	0.1357749105904994	0.2014910883112615	1.5524052149720592e-14
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	rsa_centered	-0.20455239462845123	0.04299816220455441	-4.757235754759417	1.000768599695109e-05	-0.2902882949857729	-0.11881649427112954	2.668716265853624e-05
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	aa_by_rsa	0.017017057460933762	0.05559532722546717	0.3060879090057513	0.7604334543672939	-0.09383687654349382	0.12787099146536135	0.7604334543672939
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_log1p_rate	0.07208844321863135	0.02439326759405238	2.9552598043981657	0.00423659454265759	0.023449649079387	0.1207272373578757	0.008244183974901256
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	rsa_centered	-0.24158479295286497	0.04206402700418388	-5.743263547468621	2.1345745658349912e-07	-0.3254580806227367	-0.15771150528299327	9.605585546257462e-07
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_by_rsa	0.03426030266419195	0.054737035360344966	0.6259071657544011	0.5333828177518876	-0.07488224596809936	0.14340285129648325	0.5486223268305129
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_log1p_rate	0.1663893260755369	0.01732699917274827	9.602893404487048	1.8235903149937507e-14	0.13184027099036885	0.20093838116070492	1.1936227516322732e-13
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	rsa_centered	-0.17354643307832435	0.03729397896099256	-4.653470557803562	1.4742420243706798e-05	-0.24790851508816975	-0.09918435106847895	3.790908062667462e-05
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_by_rsa	0.02215753099046101	0.04755508251250605	0.4659340247098513	0.6426889853753599	-0.07266461039270189	0.11697967237362392	0.6517409429158579
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_log1p_rate	0.06962851582532531	0.02509875565132065	2.774181987052477	0.007066340060428512	0.0195830184531966	0.11967401319745402	0.013388854851338233
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	rsa_centered	-0.2080017921327528	0.03600807692670541	-5.776531541968802	1.8664411211949885e-07	-0.2797998583096321	-0.1362037259558735	8.958917381735944e-07
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_by_rsa	0.03480388487455295	0.046606569460551174	0.7467592074978127	0.45767469245577364	-0.05812697519934952	0.12773474494845544	0.4918295202509806
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	aa_log1p_rate	0.1659672861712885	0.014933605268855664	11.11367839067078	3.4038468884446395e-17	0.13619052298742926	0.19574404935514775	2.4507697596801404e-15
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	rsa_centered	-0.16870815256054997	0.03895366988364591	-4.330995078627481	4.7882507881242474e-05	-0.2463795642782936	-0.09103674084280634	0.00011438765598285892
