model_id	alphabet_model	rate_model	rsa_scale	controls	sites	markers	parameters_including_marker_intercepts	design_rank	design_condition_number	cluster_reference_df	within_marker_r_squared	residual_sum_squares	independent_coefficient_max_difference	independent_covariance_max_difference
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	16571	72	77	77	236.54791407917511	71.0	0.05560848709601207	2369.5867746847753	9.325873406851315e-15	1.700029006457271e-16
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	16571	72	97	97	286.8844074065387	71.0	0.060702023613383616	2356.806506540662	2.6645352591003757e-15	1.3183898417423734e-16
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	16571	72	77	77	237.88556734543297	71.0	0.055153153365585794	2370.7292593121183	7.105427357601002e-15	3.5041414214731503e-16
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	16571	72	97	97	288.11804044115524	71.0	0.060457172313902685	2357.420866573643	5.995204332975845e-15	1.491862189340054e-16
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	16571	72	77	77	237.50999958093252	71.0	0.05468299546715283	2683.234889430652	7.771561172376096e-15	4.822531263215524e-16
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	16571	72	97	97	287.82186919797715	71.0	0.059891419671368906	2668.45103864124	4.440892098500626e-15	1.5959455978986625e-16
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	16571	72	77	77	238.86692971389365	71.0	0.05424659048033864	2684.473603090648	5.773159728050814e-15	3.226585665316861e-16
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	16571	72	97	97	289.0865551288753	71.0	0.05969281760803047	2669.01476063387	3.802513859341161e-15	4.0939474033052647e-16
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	16571	72	77	77	236.54791407917511	71.0	0.06330947379281504	2338.91966094094	7.549516567451064e-15	2.237793284010081e-16
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	16571	72	97	97	286.8844074065387	71.0	0.06903863773725594	2324.613917671959	5.925815393936773e-15	2.1684043449710089e-16
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	16571	72	77	77	237.88556734543297	71.0	0.06301749438557036	2339.648734585957	9.325873406851315e-15	2.8102520310824275e-16
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	16571	72	97	97	288.11804044115524	71.0	0.068910014052606	2324.935091481743	4.884981308350689e-15	1.700029006457271e-16
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	16571	72	77	77	237.50999958093252	71.0	0.06173907173089488	2811.9053390074773	5.329070518200751e-15	3.5735303605122226e-16
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	16571	72	97	97	287.82186919797715	71.0	0.06810336013878804	2792.8319916965625	5.412337245047638e-15	2.255140518769849e-16
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	16571	72	77	77	238.86692971389365	71.0	0.06140636316691961	2812.9024443533235	5.10702591327572e-15	2.6020852139652106e-16
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	16571	72	97	97	289.0865551288753	71.0	0.06796593836612153	2793.2438355713466	7.78543896018391e-15	1.249000902703301e-16
3di_llm__gamma__tien2013__coverage_confidence	3di_llm	gamma	tien2013	coverage_confidence	16571	72	77	77	236.54791407917511	71.0	0.056577354129031976	2295.900140897331	5.551115123125783e-15	2.6020852139652106e-16
3di_llm__gamma__tien2013__composition_adjusted	3di_llm	gamma	tien2013	composition_adjusted	16571	72	97	97	286.8844074065387	71.0	0.062112719634400126	2282.4293529113584	4.593547764386585e-15	1.249000902703301e-16
3di_llm__gamma__miller1987__coverage_confidence	3di_llm	gamma	miller1987	coverage_confidence	16571	72	77	77	237.88556734543297	71.0	0.056204819318078636	2296.80673639692	6.439293542825908e-15	2.96637714392034e-16
3di_llm__gamma__miller1987__composition_adjusted	3di_llm	gamma	miller1987	composition_adjusted	16571	72	97	97	288.11804044115524	71.0	0.06191597050144604	2282.9081588463737	4.871103520542874e-15	1.5439038936193583e-16
3di_llm__freerate__tien2013__coverage_confidence	3di_llm	freerate	tien2013	coverage_confidence	16571	72	77	77	237.50999958093252	71.0	0.05520916886043248	2602.651452366095	4.884981308350689e-15	2.8102520310824275e-16
3di_llm__freerate__tien2013__composition_adjusted	3di_llm	freerate	tien2013	composition_adjusted	16571	72	97	97	287.82186919797715	71.0	0.060787826015889834	2587.2837120479644	4.010680676458378e-15	2.671474153004283e-16
3di_llm__freerate__miller1987__coverage_confidence	3di_llm	freerate	miller1987	coverage_confidence	16571	72	77	77	238.86692971389365	71.0	0.054860994823171305	2603.6105807084614	5.551115123125783e-15	2.220446049250313e-16
3di_llm__freerate__miller1987__composition_adjusted	3di_llm	freerate	miller1987	composition_adjusted	16571	72	97	97	289.0865551288753	71.0	0.060638061853014125	2587.6962731177523	3.4416913763379853e-15	1.1449174941446927e-16
