taxon_id	species_name	study_role	lineage	input_models	retained_models	deferred_models	retained_representatives	retained_nonself_members	retained_fraction	nonself_retained_fraction	input_markers	retained_markers	input_taxa	retained_taxa
F1498855	Amoeboaphelidium occidentale	ingroup	Aphelidiomycota;Aphelidea;Amoeboaphelidium	28	27	1	11	16	0.9642857142857143	0.9411764705882353	28	27	1	1
F1243177	Amoeboaphelidium protococcarum	ingroup	Aphelidiomycota;Aphelidea;Amoeboaphelidium	1	1	0	1	0	1.0		1	1	1	1
F2871812	Acarospora aff. strigata	ingroup	Ascomycota;Lecanoromycetes;Acarosporales;Acarosporaceae;Acarospora	28	25	3	7	18	0.8928571428571429	0.8571428571428571	28	25	1	1
F318763	Pleopsidium flavum	ingroup	Ascomycota;Lecanoromycetes;Acarosporales;Acarosporaceae;Pleopsidium	28	22	6	4	18	0.7857142857142857	0.75	28	22	1	1
F470096	Pseudovirgaria hyperparasitica	ingroup	Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Pseudovirgaria	122	115	7	6	109	0.9426229508196722	0.9396551724137931	122	115	1	1
F4918	Pachysolen tannophilus	ingroup	Ascomycota;Pichiomycetes;Alaninales;Pachysolenaceae;Pachysolen	118	113	5	15	98	0.9576271186440678	0.9514563106796117	118	113	1	1
F1658444	Neoarthrinium moseri	ingroup	Ascomycota;Sordariomycetes;Amphisphaeriales;Apiosporaceae;Neoarthrinium	79	73	6	11	62	0.9240506329113924	0.9117647058823529	79	73	1	1
F393283	Pestalotiopsis fici	ingroup	Ascomycota;Sordariomycetes;Amphisphaeriales;Sporocadaceae;Pestalotiopsis	118	112	6	6	106	0.9491525423728814	0.9464285714285714	118	112	1	1
F1141098	Pseudomassariella vexata	ingroup	Ascomycota;Sordariomycetes;Amphisphaeriales;Pseudomassariaceae;Pseudomassariella	121	115	6	3	112	0.9504132231404959	0.9491525423728814	121	115	1	1
F91480	Alyxoria varia	ingroup	Ascomycota;Arthoniomycetes;Arthoniales;Lecanographaceae;Alyxoria	28	25	3	8	17	0.8928571428571429	0.85	28	25	1	1
F2939400	Chrysothrix sp. TS-e1954	ingroup	Ascomycota;Arthoniomycetes;Arthoniales;Chrysotrichaceae;Chrysothrix	28	26	2	7	19	0.9285714285714286	0.9047619047619048	28	26	1	1
F1542792	Coniocarpon cinnabarinum	ingroup	Ascomycota;Arthoniomycetes;Arthoniales;Arthoniaceae;Coniocarpon	28	25	3	7	18	0.8928571428571429	0.8571428571428571	28	25	1	1
F54195	Ascoidea rubescens	ingroup	Ascomycota;Saccharomycetes;Ascoideales;Ascoideaceae;Ascoidea	118	111	7	19	92	0.940677966101695	0.9292929292929293	118	111	1	1
F43959	Saccharomycopsis crataegensis	ingroup	Ascomycota;Saccharomycetes;Ascoideales;Saccharomycopsidaceae;Saccharomycopsis	120	112	8	13	99	0.9333333333333333	0.9252336448598131	120	112	1	1
F1176130	Aulographum hederae	ingroup	Ascomycota;Dothideomycetes;Aulographales;Aulographaceae;Aulographum	123	116	7	8	108	0.943089430894309	0.9391304347826087	123	116	1	1
F1504668	Rhizodiscina lignyota	ingroup	Ascomycota;Dothideomycetes;Aulographales;Rhizodiscinaceae;Rhizodiscina	123	117	6	5	112	0.9512195121951219	0.9491525423728814	123	117	1	1
