study_role	manifest_lineage	taxa	marker_slots	recovered_records	unrecovered_sequences	model_linked_records	uncovered_recovered_records	model_fraction_of_recovered_records
ingroup	Aphelidiomycota	2	250	123	127	115	8	0.9349593495934959
ingroup	Ascomycota	234	29250	27722	1528	26034	1688	0.9391097323425438
ingroup	Basidiobolomycota	2	250	197	53	187	10	0.949238578680203
ingroup	Basidiomycota	157	19625	18591	1034	17375	1216	0.934592006885052
ingroup	Blastocladiomycota	9	1125	963	162	887	76	0.9210799584631361
ingroup	Calcarisporiellomycota	1	125	121	4	113	8	0.9338842975206612
ingroup	Chytridiomycota	12	1500	1378	122	1267	111	0.9194484760522497
ingroup	Entomophthoromycota	4	500	351	149	335	16	0.9544159544159544
ingroup	Glomeromycota	12	1500	1382	118	1332	50	0.9638205499276411
ingroup	Kickxellomycota	12	1500	1124	376	1062	62	0.9448398576512456
ingroup	Microsporidia	12	1500	625	875	588	37	0.9408
ingroup	Monoblepharomycota	3	375	349	26	305	44	0.8739255014326648
ingroup	Mortierellomycota	12	1500	1398	102	1306	92	0.9341917024320457
ingroup	Mucoromycota	12	1500	1363	137	1286	77	0.9435069699192957
ingroup	Neocallimastigomycota	6	750	492	258	470	22	0.9552845528455285
ingroup	Olpidiomycota	1	125	52	73	52	0	1.0
ingroup	Rozellomycota	2	250	225	25	213	12	0.9466666666666667
ingroup	Sanchytriomycota	2	250	189	61	184	5	0.9735449735449735
ingroup	Zoopagomycota	6	750	595	155	570	25	0.957983193277311
outgroup	Amoebozoa	5	625	581	44	563	18	0.9690189328743546
outgroup	Apusomonadida	1	125	115	10	112	3	0.9739130434782609
outgroup	Choanoflagellatea	2	250	233	17	226	7	0.9699570815450643
outgroup	Corallochytrea	1	125	125	0	113	12	0.904
outgroup	Filasterea	1	125	119	6	110	9	0.9243697478991597
outgroup	Ichthyosporea	5	625	344	281	319	25	0.9273255813953488
outgroup	Metazoa	9	1125	974	151	941	33	0.9661190965092402
outgroup	Nucleariida	1	125	109	16	106	3	0.9724770642201835
