taxon_id	species_name	study_role	marker_slots	recovered_sequence_links	missing_marker_sequences	both	esmfold_only	alphafold_only	neither_catalog
F1498855	Amoeboaphelidium occidentale	ingroup	125	122	3	0	114	0	8
F1243177	Amoeboaphelidium protococcarum	ingroup	125	1	124	0	1	0	0
F2871812	Acarospora aff. strigata	ingroup	125	120	5	0	107	0	13
F318763	Pleopsidium flavum	ingroup	125	103	22	0	93	0	10
F470096	Pseudovirgaria hyperparasitica	ingroup	125	124	1	0	0	122	2
F4918	Pachysolen tannophilus	ingroup	125	120	5	0	0	118	2
F1658444	Neoarthrinium moseri	ingroup	125	121	4	0	60	52	9
F393283	Pestalotiopsis fici	ingroup	125	120	5	0	0	118	2
F1141098	Pseudomassariella vexata	ingroup	125	124	1	0	0	121	3
F91480	Alyxoria varia	ingroup	125	119	6	0	105	0	14
F2939400	Chrysothrix sp. TS-e1954	ingroup	125	122	3	0	110	0	12
F1542792	Coniocarpon cinnabarinum	ingroup	125	119	6	0	105	0	14
F54195	Ascoidea rubescens	ingroup	125	120	5	0	0	118	2
F43959	Saccharomycopsis crataegensis	ingroup	125	122	3	0	0	120	2
F1176130	Aulographum hederae	ingroup	125	125	0	0	0	123	2
F1504668	Rhizodiscina lignyota	ingroup	125	125	0	0	0	123	2
F1397036	Lambiella insularis	ingroup	125	114	11	0	103	0	11
F223409	Ptychographa xylographoides	ingroup	125	121	4	0	106	0	15
F1590129	Xylographa bjoerkii	ingroup	125	120	5	0	105	0	15
F462254	Aplosporella prunicola	ingroup	125	123	2	0	0	121	2
F236234	Diplodia corticola	ingroup	125	124	1	0	0	120	4
F121624	Phyllosticta capitalensis	ingroup	125	125	0	0	115	0	10
F3058885	Dirinaria sp. TL-2023a	ingroup	125	97	28	0	86	0	11
F116794	Heterodermia speciosa	ingroup	125	121	4	0	0	118	3
F116821	Physcia stellaris	ingroup	125	122	3	0	105	0	17
F41990	Pleurostoma richardsiae	ingroup	125	123	2	0	0	121	2
F460848	Candelaria pacifica	ingroup	125	119	6	0	108	0	11
F460854	Candelina submexicana	ingroup	125	120	5	0	107	0	13
F1453791	Pycnora praestabilis	ingroup	125	120	5	0	109	0	11
F147573	Piedraia hortae	ingroup	125	122	3	0	0	120	2
F705562	Polychaeton citri	ingroup	125	125	0	0	0	123	2
F1093897	Phialemonium atrogriseum	ingroup	125	124	1	0	0	115	9
F223376	Phialemonium thermophilum	ingroup	125	107	18	0	100	0	7
F1506992	Thozetella sp. PMI_491	ingroup	125	122	3	0	107	0	15
F293227	Cyphellophora europaea	ingroup	125	124	1	0	0	122	2
F2486360	Exophiala viscosa	ingroup	125	125	0	0	56	63	6
F1690604	Lithohypha guttulata	ingroup	125	119	6	0	79	27	13
F1052096	Cladosporium halotolerans	ingroup	125	125	0	0	0	123	2
F1507870	Cryoendolithus antarcticus	ingroup	125	15	110	0	0	15	0
F1507873	Rachicladosporium monterosium	ingroup	125	91	34	0	84	0	7
F91930	Coniochaeta hoffmannii	ingroup	125	125	0	0	108	1	16
F177197	Coniochaeta ligniaria	ingroup	125	124	1	0	0	122	2
F177199	Coniochaeta pulveracea	ingroup	125	120	5	0	0	117	3
F164576	Chaenotheca gracillima	ingroup	125	123	2	0	110	0	13
F2939403	Sclerophora amabilis	ingroup	125	121	4	0	109	0	12
F5116	Cryphonectria parasitica	ingroup	125	112	13	0	0	109	3
F1214568	Diaporthe amygdali	ingroup	125	124	1	0	92	19	13
F148313	Discula destructiva	ingroup	125	121	4	0	110	0	11
F2268995	Blastobotrys vanleenenianus	ingroup	125	125	0	0	119	0	6
F2606893	Magnusiomyces paraingens	ingroup	125	124	1	0	0	121	3
F796027	Sugiyamaella lignohabitans	ingroup	125	114	11	0	0	113	1
F5580	Aureobasidium pullulans	ingroup	125	125	0	0	0	123	2
F2781224	Neodothiora populina	ingroup	125	120	5	0	110	0	10
F2024903	Zalaria obscura	ingroup	125	106	19	0	91	0	15
F1341166	Eremomyces bilateralis	ingroup	125	124	1	0	0	120	4
