panel	label	numerator	denominator	percent
A	0 (identical)	111002	594797	18.662165411056208
A	1–4	297428	594797	50.0049596753178
A	5–9	87173	594797	14.655924626385136
A	10–19	58386	594797	9.816122139149996
A	20–49	35585	594797	5.982713429960137
A	50 or more	5223	594797	0.8781147181307236
B	PF04082.24	1113	4015	27.72104607721046
B	PF01399.34	594	2075	28.626506024096386
B	PF00172.24	592	6596	8.97513644633111
B	PF00076.29	443	10073	4.397895363843939
B	PF00173.34	422	1864	22.63948497854077
B	PF00043.31	387	648	59.72222222222222
B	PF17862.8	378	2027	18.648248643315245
B	PF00069.32	360	10889	3.3060887133804755
B	PF00009.34	352	1691	20.816085156712006
B	PF00571.34	344	1305	26.36015325670498
