taxon_id	species_name	study_role	lineage	models	proteins	intervals	clusters	profile_families	mafft_families
F1004511	Amanita polypyramis	ingroup	Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita	5	5	12	5	5	5
F1005962	Ogataea parapolymorpha	ingroup	Ascomycota;Pichiomycetes;Pichiales;Pichiaceae;Ogataea	67	67	214	128	65	65
F1006475	Circinaria calcarea	ingroup	Ascomycota;Lecanoromycetes;Pertusariales;Megasporaceae;Circinaria	1	1	2	1	1	1
F100910	Rhodosporidiobolus nylandii	ingroup	Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodosporidiobolus	3	7	4	2	2	2
F101028	Fusarium pseudograminearum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	125	125	336	184	111	111
F101097	Entomortierella chlamydospora	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Entomortierella	41	41	143	87	39	39
F101098	Gamsiella multidivaricata	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Gamsiella	5	5	11	7	5	5
F101201	Trichoderma asperellum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	2268	2268	5606	2239	1414	1414
F1031713	Tilletia maclaganii	ingroup	Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae;Tilletia	2	2	3	2	2	2
F103449	Vavraia culicis	ingroup	Microsporidia;Pleistophoridae;Vavraia	35	35	105	61	31	31
F1042133	Fusarium musae	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	83	83	243	140	79	79
F1042397	Schaereria dolodes	ingroup	Ascomycota;Lecanoromycetes;Sarrameanales;Schaereria	1	1	1	1	1	1
F104341	Rhodonia placenta	ingroup	Basidiomycota;Agaricomycetes;Polyporales;Adustoporiaceae;Rhodonia	3753	3755	9127	3093	1828	1828
F104355	Gloeophyllum trabeum	ingroup	Basidiomycota;Agaricomycetes;Gloeophyllales;Gloeophyllaceae;Gloeophyllum	84	84	256	143	79	79
F104408	Naganishia liquefaciens	ingroup	Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia	64	64	202	122	61	61
F104669	Cryptococcus amylolentus	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	2685	2685	6810	2682	1588	1588
F1048519	Viridothelium virens	ingroup	Ascomycota;Dothideomycetes;Trypetheliales;Trypetheliaceae;Viridothelium	4372	4372	10820	3577	2151	2151
F1048829	Paracoccidioides lutzii	ingroup	Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Paracoccidioides	286	288	851	496	259	259
F1048955	Tothia fuscella	ingroup	Ascomycota;Dothideomycetes;Venturiales;Cylindrosympodiaceae;Tothia	67	67	208	116	65	65
F1052096	Cladosporium halotolerans	ingroup	Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cladosporium	71	71	220	129	68	68
F1055551	Tritirachium sp. CBS 265.96	ingroup	Basidiomycota;Tritirachiomycetes;Tritirachiales;Tritirachiaceae;Tritirachium	0	0	0	0	0	0
F105984	Apiotrichum porosum	ingroup	Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Apiotrichum	3042	3045	7797	2801	1668	1668
F106004	Leucosporidium creatinivorum	ingroup	Basidiomycota;Microbotryomycetes;Leucosporidiales;Leucosporidiaceae;Leucosporidium	3335	3342	8268	3020	1749	1749
F1069201	Aspergillus luchuensis	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	2356	2356	5846	2263	1401	1401
F1080349	Saccharomyces eubayanus	ingroup	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	9	10	25	16	9	9
F1081669	Hepatospora eriocheir	ingroup	Microsporidia;Hepatosporidae;Hepatospora	449	450	1056	503	339	339
F1093897	Phialemonium atrogriseum	ingroup	Ascomycota;Sordariomycetes;Cephalothecales;Cephalothecaceae;Phialemonium	62	62	198	118	59	59
F1093900	Thyridium curvatum	ingroup	Ascomycota;Sordariomycetes;Thyridiales;Thyridiaceae;Thyridium	4739	4865	11968	3801	2195	2195
F1095194	Colletotrichum karsti	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	69	69	212	124	64	64
F109760	Spizellomyces punctatus	ingroup	Chytridiomycota;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Spizellomyces	3473	3479	9139	3445	2021	2021
F109876	Catenaria anguillulae	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Catenariaceae;Catenaria	2785	2806	6885	2531	1537	1537
F109889	Lobulomyces angularis	ingroup	Chytridiomycota;Chytridiomycetes;Lobulomycetales;Lobulomycetaceae;Lobulomyces	2	3	4	2	2	2
F109899	Serendipita vermifera	ingroup	Basidiomycota;Agaricomycetes;Sebacinales;Serendipitaceae;Serendipita	3932	3999	9672	3163	1810	1810
F109932	Entophlyctis luteolus	ingroup	Chytridiomycota;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Entophlyctis	2	7	2	2	2	2
F1099800	Saitoella coloradoensis	ingroup	Ascomycota;Saitoellomycetes;Saitoellales;Saitoellaceae;Saitoella	9	10	22	12	9	9
F110093	Polychytrium aggregatum	ingroup	Chytridiomycota;Chytridiomycetes;Polychytriales;Polychytrium	2	2	5	3	2	2
F1116844	Thelocarpon impressellum	ingroup	Ascomycota;Thelocarpales;Thelocarpaceae;Thelocarpon	0	0	0	0	0	0
F1117311	Funneliformis geosporum	ingroup	Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;Funneliformis	59	59	149	94	56	56
F112072	Naohidea sebacea	ingroup	Basidiomycota;Cystobasidiomycetes;Naohideales;Naohideaceae;Naohidea	1	7	1	1	1	1
