taxon_id	species_name	duplicated_markers	duplicated_markers_one_full_sequence	markers_with_identical_distinct_gene_pair	distinct_gene_pairs	exact_identical_distinct_gene_pairs
F1498855	Amoeboaphelidium occidentale	0	0	0	0	0
F1243177	Amoeboaphelidium protococcarum	119	5	6	123	6
F2871812	Acarospora aff. strigata	1	0	0	1	0
F318763	Pleopsidium flavum	16	4	4	18	4
F470096	Pseudovirgaria hyperparasitica	1	0	0	1	0
F4918	Pachysolen tannophilus	1	0	0	1	0
F1658444	Neoarthrinium moseri	0	0	0	0	0
F393283	Pestalotiopsis fici	1	0	0	1	0
F1141098	Pseudomassariella vexata	0	0	0	0	0
F91480	Alyxoria varia	0	0	0	0	0
F2939400	Chrysothrix sp. TS-e1954	0	0	0	0	0
F1542792	Coniocarpon cinnabarinum	0	0	0	0	0
F54195	Ascoidea rubescens	1	0	0	1	0
F43959	Saccharomycopsis crataegensis	1	1	1	1	1
F1176130	Aulographum hederae	0	0	0	0	0
F1504668	Rhizodiscina lignyota	0	0	0	0	0
F1397036	Lambiella insularis	0	0	0	0	0
F223409	Ptychographa xylographoides	0	0	0	0	0
F1590129	Xylographa bjoerkii	0	0	0	0	0
F462254	Aplosporella prunicola	2	0	0	4	0
F236234	Diplodia corticola	1	0	0	10	0
F121624	Phyllosticta capitalensis	0	0	0	0	0
F3058885	Dirinaria sp. TL-2023a	0	0	0	0	0
F116794	Heterodermia speciosa	1	0	0	3	0
F116821	Physcia stellaris	0	0	0	0	0
F41990	Pleurostoma richardsiae	2	0	0	2	0
F460848	Candelaria pacifica	1	0	0	1	0
F460854	Candelina submexicana	0	0	0	0	0
F1453791	Pycnora praestabilis	0	0	0	0	0
F147573	Piedraia hortae	0	0	0	0	0
F705562	Polychaeton citri	0	0	0	0	0
F1093897	Phialemonium atrogriseum	0	0	0	0	0
F223376	Phialemonium thermophilum	1	0	0	1	0
F1506992	Thozetella sp. PMI_491	3	0	0	3	0
F293227	Cyphellophora europaea	1	0	0	1	0
F2486360	Exophiala viscosa	0	0	0	0	0
F1690604	Lithohypha guttulata	1	0	0	10	0
F1052096	Cladosporium halotolerans	0	0	0	0	0
F1507870	Cryoendolithus antarcticus	110	3	3	110	3
F1507873	Rachicladosporium monterosium	2	0	0	7	0
F91930	Coniochaeta hoffmannii	0	0	0	0	0
F177197	Coniochaeta ligniaria	0	0	0	0	0
F177199	Coniochaeta pulveracea	3	1	0	1	0
F164576	Chaenotheca gracillima	1	0	0	10	0
F2939403	Sclerophora amabilis	0	0	0	0	0
F5116	Cryphonectria parasitica	1	0	0	1	0
F1214568	Diaporthe amygdali	1	0	0	1	0
F148313	Discula destructiva	3	0	0	0	0
F2268995	Blastobotrys vanleenenianus	0	0	0	0	0
F2606893	Magnusiomyces paraingens	0	0	0	0	0
F796027	Sugiyamaella lignohabitans	0	0	0	0	0
F5580	Aureobasidium pullulans	0	0	0	0	0
F2781224	Neodothiora populina	4	0	0	0	0
F2024903	Zalaria obscura	1	0	0	3	0
F1341166	Eremomyces bilateralis	0	0	0	0	0
F182096	Aspergillus chevalieri	1	0	0	1	0
F5059	Aspergillus flavus	0	0	0	0	0
F746128	Aspergillus fumigatus	0	0	0	0	0
F1069201	Aspergillus luchuensis	0	0	0	0	0
F41759	Aspergillus multicolor	0	0	0	0	0
F162425	Aspergillus nidulans	0	0	0	0	0
F5062	Aspergillus oryzae	1	0	0	1	0
F1220207	Aspergillus puulaauensis	0	0	0	0	0
F1810926	Aspergillus stella-maris	1	0	0	1	0
F1810928	Aspergillus undulatus	0	0	0	0	0
F315204	Geoglossum umbratile	1	0	0	6	0
F1670608	Glutinoglossum americanum	1	0	0	1	0
F265104	Trichoglossum hirsutum	1	0	0	1	0
F1671311	Colletotrichum abscissum	0	0	0	0	0
F1209916	Colletotrichum costaricense	0	0	0	0	0
F34406	Colletotrichum destructivum	1	0	0	1	0
F710243	Colletotrichum fioriniae	1	0	0	1	0
F474922	Colletotrichum gloeosporioides	0	0	0	0	0
F80884	Colletotrichum higginsianum	1	0	0	1	0
F2283408	Colletotrichum jinshuiense	1	0	0	15	0
F1095194	Colletotrichum karsti	0	0	0	0	0
F145971	Colletotrichum lupini	1	0	0	1	0
F1209934	Colletotrichum tamarilloi	0	0	0	0	0
F5570	Cenococcum geophilum	1	0	0	1	0
F574774	Glonium stellatum	1	0	0	1	0
F5101	Amorphotheca resinae	0	0	0	0	0
F40559	Botrytis cinerea	8	2	0	0	0
F2656787	Venustampulla echinocandica	0	0	0	0	0
F195108	Fusarium falciforme	2	0	0	2	0
F5127	Fusarium fujikuroi	2	0	0	2	0
F5518	Fusarium graminearum	0	0	0	0	0
F1328300	Fusarium keratoplasticum	1	0	0	1	0
F1042133	Fusarium musae	1	0	0	1	0
F5507	Fusarium oxysporum	0	0	0	0	0
F36050	Fusarium poae	0	0	0	0	0
F101028	Fusarium pseudograminearum	0	0	0	0	0
F5128	Fusarium sambucinum	1	0	0	1	0
F117187	Fusarium verticillioides	23	13	0	0	0
F173216	Trichoderma aggressivum	1	0	0	1	0
F101201	Trichoderma asperellum	3	0	0	0	0
F63577	Trichoderma atroviride	2	0	0	1	0
F2034170	Trichoderma breve	1	0	0	1	0
F1738374	Trichoderma camerunense	1	0	0	3	0
F58853	Trichoderma citrinoviride	0	0	0	0	0
F549676	Trichoderma evansii	2	0	0	2	0
F398673	Trichoderma gamsii	2	0	0	2	0
F65468	Trichoderma ghanense	1	0	0	1	0
F5544	Trichoderma harzianum	0	0	0	0	0
F2732470	Bacidia gigantensis	1	0	0	1	0
F209136	Lepraria neglecta	0	0	0	0	0
F560253	Letharia lupina	0	0	0	0	0
F2939399	Claussenomyces sp. TS43310	0	0	0	0	0
F3384825	Phaeococcomyces sp. EXF-18165	0	0	0	0	0
F174425	Lichina confinis	0	0	0	0	0
F318774	Phylliscum demangeonii	1	0	0	1	0
F2796175	Watsoniomyces obsoletus	0	0	0	0	0
F578093	Lineolata rhizophorae	0	0	0	0	0
F1125753	Limtongia smithiae	1	0	0	1	0
F383834	Lipomyces doorenjongii	0	0	0	0	0
F44089	Neoaidaea tothii	1	0	0	1	0
F339359	Zalerion maritima	0	0	0	0	0
