taxon_id	species_name	study_role	assembly_accession	match_status	queried_genus	source_genus	source_rank	source_record_id	source_excel_rows	source_doi	source_phylum	source_class	source_family	taxon_identity_flags	source_genus_comment_present	source_lifestyle_comment_present	species_verified	eligible_for_confirmatory_tests	candidate_primary_lifestyle	candidate_secondary_lifestyle	candidate_endophytic_capability	candidate_plant_pathogenic_capacity	candidate_decay_substrate	candidate_decay_type	candidate_aquatic_habitat	candidate_animal_biotrophic_capacity	candidate_growth_form	candidate_fruitbody_type
F1498855	Amoeboaphelidium occidentale	ingroup	GCA_023515795.1	genus_candidate_requires_species_verification	Amoeboaphelidium	Amoeboaphelidium	genus	jrk00300	879	https://doi.org/10.1007/s13225-020-00466-2	Aphelidiomycota	Aphelidiomycetes	Aphelidiales family incertae sedis		False	False	False	False	algal_parasite		no_endophytic_capacity	algal_parasite	algal_material		partly_aquatic		zoosporic-plasmodium_(aphelid)	none
F1243177	Amoeboaphelidium protococcarum	ingroup	GCA_023515745.1	genus_candidate_requires_species_verification	Amoeboaphelidium	Amoeboaphelidium	genus	jrk00300	879	https://doi.org/10.1007/s13225-020-00466-2	Aphelidiomycota	Aphelidiomycetes	Aphelidiales family incertae sedis		False	False	False	False	algal_parasite		no_endophytic_capacity	algal_parasite	algal_material		partly_aquatic		zoosporic-plasmodium_(aphelid)	none
F2871812	Acarospora aff. strigata	ingroup	GCA_022814355.1	genus_candidate_requires_species_verification	Acarospora	Acarospora	genus	jrk00044	4481	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Lecanoromycetes	Acarosporaceae	incompletely_identified_species_label	False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F318763	Pleopsidium flavum	ingroup	GCA_026027315.1	genus_candidate_requires_species_verification	Pleopsidium	Pleopsidium	genus	jrk06739	4487	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Lecanoromycetes	Acarosporaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F470096	Pseudovirgaria hyperparasitica	ingroup	GCF_010093815.1	genus_candidate_requires_species_verification	Pseudovirgaria	Pseudovirgaria	genus	jrk07248	438	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Dothideomycetes	Acrospermaceae		False	True	False	False	mycoparasite	fungal_decomposer			fungal_material		non-aquatic		filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F4918	Pachysolen tannophilus	ingroup	GCA_001661245.1	genus_candidate_requires_species_verification	Pachysolen	Pachysolen	genus	jrk06016	6072	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Pichiaceae		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		non-aquatic	arthropod-associated	yeast	none
F1658444	Neoarthrinium moseri	ingroup	GCF_022829205.1	no_exact_genus_match	Neoarthrinium										False	False	False	False										
F393283	Pestalotiopsis fici	ingroup	GCF_000516985.1	genus_candidate_requires_species_verification	Pestalotiopsis	Pestalotiopsis	genus	jrk06332	6206	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Sporocadaceae		False	False	False	False	plant_pathogen			leaf/fruit/seed_pathogen			partly_aquatic		filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F1141098	Pseudomassariella vexata	ingroup	GCF_002105095.1	genus_candidate_requires_species_verification	Pseudomassariella	Pseudomassariella	genus	jrk10075	6190	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Pseudomassariaceae		False	False	False	False	unspecified_saprotroph						non-aquatic		filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F91480	Alyxoria varia	ingroup	GCA_026054675.1	genus_candidate_requires_species_verification	Alyxoria	Alyxoria	genus	jrk00261	907	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Arthoniomycetes	Lecanographaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
