taxon_a	species_a	state_a	taxon_b	species_b	state_b	different_published_states	common_sequences	common_esmfold	common_alphafold	common_either_matched_source	common_any_model	common_only_mixed_sources	alphafold_marker_ids	esmfold_marker_ids
F87326	Amanita brunnescens	ectomycorrhizal	F1004511	Amanita polypyramis	ectomycorrhizal	False	93	68	0	68	68	0		129234at2759;201273at2759;207567at2759;260326at2759;288615at2759;352891at2759;3643464at2759;4613677at2759;4747214at2759;4803900at2759;4823929at2759;4843824at2759;4896098at2759;4900375at2759;4969018at2759;4969636at2759;4970387at2759;4974767at2759;4977163at2759;4983000at2759;4985971at2759;5000045at2759;5000452at2759;5000476at2759;5000743at2759;5000870at2759;5000986at2759;5001156at2759;5001273at2759;5001280at2759;5001318at2759;5001473at2759;5001734at2759;5002334at2759;5002573at2759;5003192at2759;5003972at2759;5004265at2759;5004478at2759;5005174at2759;5005217at2759;5005274at2759;5005697at2759;5005750at2759;5005892at2759;5006326at2759;5006412at2759;5013042at2759;5013067at2759;5013259at2759;5013726at2759;5015403at2759;5015712at2759;5015742at2759;5015876at2759;5017019at2759;5018803at2759;529759at2759;530740at2759;539632at2759;541070at2759;554735at2759;707076at2759;707202at2759;730114at2759;760428at2759;776280at2759;801816at2759
F87326	Amanita brunnescens	ectomycorrhizal	F41956	Amanita muscaria	ectomycorrhizal	False	98	71	0	71	72	1		129234at2759;201273at2759;207567at2759;288615at2759;352891at2759;3643464at2759;4613677at2759;4747214at2759;4803900at2759;4823929at2759;4843824at2759;4867008at2759;4896098at2759;4900375at2759;4969018at2759;4969636at2759;4970387at2759;4974767at2759;4977163at2759;4983000at2759;4986044at2759;5000045at2759;5000452at2759;5000476at2759;5000743at2759;5000870at2759;5000986at2759;5001156at2759;5001273at2759;5001280at2759;5001318at2759;5001473at2759;5002334at2759;5002573at2759;5003192at2759;5003972at2759;5004265at2759;5004478at2759;5005174at2759;5005217at2759;5005274at2759;5005697at2759;5005750at2759;5005892at2759;5006326at2759;5006412at2759;5013042at2759;5013067at2759;5013259at2759;5013726at2759;5013738at2759;5015403at2759;5015712at2759;5015742at2759;5015876at2759;5017019at2759;5018803at2759;529759at2759;530014at2759;530740at2759;538952at2759;539632at2759;541070at2759;554735at2759;707076at2759;707202at2759;727964at2759;730114at2759;760428at2759;776280at2759;801816at2759
F87326	Amanita brunnescens	ectomycorrhizal	F933333	Amanita inopinata	asymbiotic	True	99	69	0	69	69	0		129234at2759;201273at2759;207567at2759;260326at2759;288615at2759;352891at2759;3643464at2759;4613677at2759;4747214at2759;4803900at2759;4823929at2759;4843824at2759;4867008at2759;4896098at2759;4900375at2759;4969018at2759;4969636at2759;4970387at2759;4974767at2759;4983000at2759;4985971at2759;4986044at2759;5000045at2759;5000452at2759;5000476at2759;5000743at2759;5000870at2759;5000986at2759;5001156at2759;5001273at2759;5001280at2759;5001473at2759;5001734at2759;5002334at2759;5002573at2759;5003192at2759;5003972at2759;5004265at2759;5004478at2759;5005174at2759;5005217at2759;5005274at2759;5005697at2759;5005750at2759;5005892at2759;5006326at2759;5006412at2759;5013042at2759;5013067at2759;5013259at2759;5013726at2759;5015403at2759;5015742at2759;5015876at2759;5017019at2759;5018803at2759;529759at2759;530740at2759;538952at2759;539632at2759;541070at2759;554735at2759;707076at2759;707202at2759;727964at2759;730114at2759;760428at2759;776280at2759;801816at2759
F87326	Amanita brunnescens	ectomycorrhizal	F235537	Amanita thiersii	asymbiotic	True	102	54	0	54	74	20		129234at2759;201273at2759;207567at2759;260326at2759;352891at2759;4613677at2759;4747214at2759;4803900at2759;4823929at2759;4843824at2759;4867008at2759;4896098at2759;4900375at2759;4969636at2759;4970387at2759;4974767at2759;4977163at2759;4983000at2759;4985971at2759;5000045at2759;5000452at2759;5000476at2759;5000743at2759;5001156at2759;5001273at2759;5001318at2759;5001473at2759;5001734at2759;5002334at2759;5002573at2759;5003192at2759;5003972at2759;5004478at2759;5005174at2759;5005274at2759;5005892at2759;5006412at2759;5013042at2759;5013067at2759;5013259at2759;5013726at2759;5013738at2759;5015403at2759;5015742at2759;5017019at2759;529759at2759;530740at2759;539632at2759;541070at2759;554735at2759;707076at2759;707202at2759;727964at2759;801816at2759
F87326	Amanita brunnescens	ectomycorrhizal	F29883	Laccaria bicolor	ectomycorrhizal	False	92	51	0	51	65	14		129234at2759;201273at2759;207567at2759;260326at2759;352891at2759;4613677at2759;4747214at2759;4803900at2759;4823929at2759;4843824at2759;4867008at2759;4896098at2759;4900375at2759;4969018at2759;4969636at2759;4970387at2759;4974767at2759;4977163at2759;4985971at2759;4986044at2759;5000045at2759;5000452at2759;5000476at2759;5000743at2759;5001273at2759;5001318at2759;5001473at2759;5001734at2759;5002334at2759;5002573at2759;5003192at2759;5004478at2759;5005174at2759;5005217at2759;5005274at2759;5005750at2759;5005892at2759;5013259at2759;5013726at2759;5013738at2759;5017019at2759;529759at2759;530740at2759;539632at2759;541070at2759;554735at2759;707076at2759;707202at2759;727964at2759;760428at2759;801816at2759
F87326	Amanita brunnescens	ectomycorrhizal	F48563	Suillus bovinus	ectomycorrhizal	False	101	73	0	73	73	0		129234at2759;201273at2759;207567at2759;260326at2759;288615at2759;352891at2759;3643464at2759;4613677at2759;4803900at2759;4823929at2759;4843824at2759;4867008at2759;4896098at2759;4900375at2759;4969018at2759;4969636at2759;4970387at2759;4974767at2759;4977163at2759;4983000at2759;4985971at2759;4986044at2759;5000045at2759;5000452at2759;5000476at2759;5000743at2759;5000870at2759;5000986at2759;5001156at2759;5001273at2759;5001280at2759;5001318at2759;5001473at2759;5001734at2759;5002334at2759;5002573at2759;5003192at2759;5003972at2759;5004265at2759;5004478at2759;5005174at2759;5005217at2759;5005274at2759;5005697at2759;5005750at2759;5005892at2759;5006326at2759;5006412at2759;5013042at2759;5013067at2759;5013259at2759;5013726at2759;5013738at2759;5015403at2759;5015712at2759;5015742at2759;5015876at2759;5017019at2759;5018803at2759;529759at2759;530014at2759;530740at2759;538952at2759;539632at2759;541070at2759;554735at2759;707076at2759;707202at2759;727964at2759;730114at2759;760428at2759;776280at2759;801816at2759
F87326	Amanita brunnescens	ectomycorrhizal	F48565	Suillus brevipes	ectomycorrhizal	False	100	72	0	72	72	0		129234at2759;201273at2759;207567at2759;260326at2759;288615at2759;352891at2759;3643464at2759;4613677at2759;4803900at2759;4823929at2759;4843824at2759;4867008at2759;4900375at2759;4969018at2759;4969636at2759;4970387at2759;4974767at2759;4977163at2759;4983000at2759;4985971at2759;4986044at2759;5000045at2759;5000452at2759;5000476at2759;5000743at2759;5000870at2759;5000986at2759;5001156at2759;5001273at2759;5001280at2759;5001318at2759;5001473at2759;5001734at2759;5002334at2759;5002573at2759;5003192at2759;5003972at2759;5004265at2759;5004478at2759;5005174at2759;5005217at2759;5005274at2759;5005697at2759;5005750at2759;5005892at2759;5006326at2759;5006412at2759;5013042at2759;5013067at2759;5013259at2759;5013726at2759;5013738at2759;5015403at2759;5015712at2759;5015742at2759;5015876at2759;5017019at2759;5018803at2759;529759at2759;530014at2759;530740at2759;538952at2759;539632at2759;541070at2759;554735at2759;707076at2759;707202at2759;727964at2759;730114at2759;760428at2759;776280at2759;801816at2759
F87326	Amanita brunnescens	ectomycorrhizal	F1904413	Suillus clintonianus	ectomycorrhizal	False	100	72	0	72	72	0		201273at2759;207567at2759;260326at2759;288615at2759;352891at2759;3643464at2759;4613677at2759;4747214at2759;4803900at2759;4823929at2759;4843824at2759;4867008at2759;4896098at2759;4900375at2759;4969018at2759;4969636at2759;4970387at2759;4974767at2759;4977163at2759;4983000at2759;4985971at2759;4986044at2759;5000045at2759;5000452at2759;5000476at2759;5000743at2759;5000870at2759;5000986at2759;5001156at2759;5001273at2759;5001280at2759;5001318at2759;5001473at2759;5001734at2759;5002334at2759;5002573at2759;5003192at2759;5003972at2759;5004265at2759;5004478at2759;5005174at2759;5005217at2759;5005274at2759;5005697at2759;5005750at2759;5006326at2759;5006412at2759;5013042at2759;5013067at2759;5013259at2759;5013726at2759;5013738at2759;5015403at2759;5015712at2759;5015742at2759;5015876at2759;5017019at2759;5018803at2759;529759at2759;530014at2759;530740at2759;538952at2759;539632at2759;541070at2759;554735at2759;707076at2759;707202at2759;727964at2759;730114at2759;760428at2759;776280at2759;801816at2759
F87326	Amanita brunnescens	ectomycorrhizal	F1912939	Suillus fuscotomentosus	ectomycorrhizal	False	94	49	0	49	70	21		129234at2759;201273at2759;207567at2759;260326at2759;352891at2759;4803900at2759;4823929at2759;4843824at2759;4867008at2759;4896098at2759;4900375at2759;4974767at2759;4977163at2759;5000452at2759;5000476at2759;5000743at2759;5001156at2759;5001273at2759;5001318at2759;5001473at2759;5001734at2759;5002334at2759;5002573at2759;5003192at2759;5003972at2759;5004265at2759;5004478at2759;5005174at2759;5005274at2759;5005750at2759;5005892at2759;5013042at2759;5013067at2759;5013259at2759;5013726at2759;5013738at2759;5015403at2759;5015712at2759;5015742at2759;5017019at2759;529759at2759;539632at2759;541070at2759;554735at2759;707076at2759;707202at2759;727964at2759;760428at2759;801816at2759
F87326	Amanita brunnescens	ectomycorrhizal	F48578	Suillus paluster	ectomycorrhizal	False	99	72	0	72	72	0		129234at2759;201273at2759;207567at2759;260326at2759;288615at2759;352891at2759;3643464at2759;4613677at2759;4803900at2759;4823929at2759;4843824at2759;4867008at2759;4896098at2759;4900375at2759;4969018at2759;4969636at2759;4970387at2759;4974767at2759;4977163at2759;4983000at2759;4985971at2759;4986044at2759;5000045at2759;5000452at2759;5000476at2759;5000743at2759;5000870at2759;5000986at2759;5001156at2759;5001273at2759;5001280at2759;5001318at2759;5001473at2759;5001734at2759;5002334at2759;5002573at2759;5003192at2759;5003972at2759;5004265at2759;5004478at2759;5005174at2759;5005217at2759;5005274at2759;5005697at2759;5005750at2759;5005892at2759;5006326at2759;5006412at2759;5013042at2759;5013067at2759;5013259at2759;5013726at2759;5013738at2759;5015403at2759;5015712at2759;5015742at2759;5017019at2759;5018803at2759;529759at2759;530014at2759;530740at2759;538952at2759;539632at2759;541070at2759;554735at2759;707076at2759;707202at2759;727964at2759;730114at2759;760428at2759;776280at2759;801816at2759
