model_id	alphabet_model	rate_model	rsa_scale	controls	sites	markers	parameters_including_marker_intercepts	design_rank	design_condition_number	cluster_reference_df	within_marker_r_squared	residual_sum_squares	independent_coefficient_max_difference	independent_covariance_max_difference
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	21904	88	93	93	265.94781536332977	87.0	0.06971377948667645	3513.5226285539643	1.2434497875801753e-14	6.869504964868156e-16
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	21904	88	113	113	351.9776204806571	87.0	0.07679163519697119	3486.790848966776	2.9351521213527576e-15	1.5612511283791264e-16
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	21904	88	93	93	267.47847390904536	87.0	0.06931182200403219	3515.0407491923715	4.440892098500626e-15	3.191891195797325e-16
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	21904	88	113	113	353.4478858203685	87.0	0.0766699609249234	3487.2503906634347	3.4416913763379853e-15	2.7755575615628914e-16
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	21904	88	93	93	267.0259004912446	87.0	0.06740962499942627	4079.2580928465723	8.215650382226158e-15	6.522560269672795e-16
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	21904	88	113	113	352.8055373813525	87.0	0.07490526418727872	4046.471300662398	8.033504417248594e-15	3.7816971776294395e-16
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	21904	88	93	93	268.5554495168113	87.0	0.06692183927252593	4081.3917239962952	6.217248937900877e-15	3.5388358909926865e-16
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	21904	88	113	113	354.2735838115329	87.0	0.07473529146981805	4047.21478097471	3.3584246494910985e-15	1.942890293094024e-16
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	21904	88	93	93	265.94781536332977	87.0	0.07803945122058387	3391.8175501116375	1.3988810110276972e-14	6.487865800153259e-16
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	21904	88	113	113	351.9776204806571	87.0	0.08501841633215379	3366.142507531585	2.886579864025407e-15	4.2674197509029455e-16
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	21904	88	93	93	267.47847390904536	87.0	0.07775800235688024	3392.8529774915105	4.884981308350689e-15	3.0878077872387166e-16
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	21904	88	113	113	353.4478858203685	87.0	0.08500442029661459	3366.1939978030905	3.9968028886505635e-15	2.914335439641036e-16
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	21904	88	93	93	267.0259004912446	87.0	0.07439691060099574	4196.901746398165	6.8833827526759706e-15	2.7755575615628914e-16
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	21904	88	113	113	352.8055373813525	87.0	0.0820764370595608	4162.080970220344	8.555656183517613e-15	2.8449465006019636e-16
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	21904	88	93	93	268.5554495168113	87.0	0.07403296281339988	4198.551971124998	1.1324274851176597e-14	2.6020852139652106e-16
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	21904	88	113	113	354.2735838115329	87.0	0.08201457141125257	4162.361483596326	3.1086244689504383e-15	3.2612801348363973e-16
3di_llm__gamma__tien2013__coverage_confidence	3di_llm	gamma	tien2013	coverage_confidence	21904	88	93	93	265.94781536332977	87.0	0.07023840514827595	3436.124868077167	1.3766765505351941e-14	4.996003610813204e-16
3di_llm__gamma__tien2013__composition_adjusted	3di_llm	gamma	tien2013	composition_adjusted	21904	88	113	113	351.9776204806571	87.0	0.07717216178374009	3410.4997468243228	5.5615234639816435e-15	2.0469737016526324e-16
3di_llm__gamma__miller1987__coverage_confidence	3di_llm	gamma	miller1987	coverage_confidence	21904	88	93	93	267.47847390904536	87.0	0.06990184424272217	3437.3686980047523	4.440892098500626e-15	2.983724378680108e-16
3di_llm__gamma__miller1987__composition_adjusted	3di_llm	gamma	miller1987	composition_adjusted	21904	88	113	113	353.4478858203685	87.0	0.07708962846583844	3410.804765645983	4.218847493575595e-15	2.42861286636753e-16
3di_llm__freerate__tien2013__coverage_confidence	3di_llm	freerate	tien2013	coverage_confidence	21904	88	93	93	267.0259004912446	87.0	0.06828123662980001	4021.1550164328655	5.995204332975845e-15	4.649058915617843e-16
3di_llm__freerate__tien2013__composition_adjusted	3di_llm	freerate	tien2013	composition_adjusted	21904	88	113	113	352.8055373813525	87.0	0.07583057533511872	3988.57323059887	7.360431708569593e-15	2.393918396847994e-16
3di_llm__freerate__miller1987__coverage_confidence	3di_llm	freerate	miller1987	coverage_confidence	21904	88	93	93	268.5554495168113	87.0	0.06788336620949897	4022.872164030813	7.993605777301127e-15	7.528699885739343e-16
3di_llm__freerate__miller1987__composition_adjusted	3di_llm	freerate	miller1987	composition_adjusted	21904	88	113	113	354.2735838115329	87.0	0.07570918220483369	3989.0971446961244	3.941291737419306e-15	1.5612511283791264e-16
