model_id	alphabet_model	rate_model	rsa_scale	controls	term	coefficient	marker_cluster_standard_error	t_statistic	p_value_conditional_cluster_t	ci95_lower	ci95_upper	bh_q_across_all_72_focal_tests
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_log1p_rate	0.1994060683300304	0.013470550433741187	14.803112115638262	1.712643794067847e-25	0.1726318907303632	0.22618024592969763	2.4662070634576997e-24
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	rsa_centered	-0.22183113781062097	0.035888152795833336	-6.181180153590292	1.9972352024777224e-08	-0.29316272751855327	-0.15049954810268867	5.530805176092155e-08
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_by_rsa	-0.031939262494779165	0.050144946442998994	-0.6369388095983973	0.5258371851774568	-0.13160777332472437	0.06772924833516603	0.7423583790740567
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_log1p_rate	0.08416505825951529	0.02175944489015376	3.867978189903196	0.00021133605244869798	0.0409158053930647	0.12741431112596588	0.0003381376839179168
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	rsa_centered	-0.2774330510133376	0.036831447109884806	-7.532504769243244	4.367459587847098e-11	-0.35063954031185446	-0.20422656171482073	1.9653568145311941e-10
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_by_rsa	-0.008201383288055697	0.049884077384200344	-0.16440883981655638	0.8697906820946667	-0.10735138861632235	0.09094862204021095	0.9568617030391846
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_log1p_rate	0.1990470085617761	0.014261981328008853	13.956476592131782	6.40824254287549e-24	0.170699776362357	0.2273942407611952	4.194486028063957e-23
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	rsa_centered	-0.19010800269205336	0.030905774304416288	-6.15121306521959	2.2784802475368593e-08	-0.25153657564843385	-0.12867942973567287	6.075947326764958e-08
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_by_rsa	-0.018054917142691106	0.04242832616255125	-0.4255392275792161	0.6714944457471045	-0.1023858095973402	0.06627597531195797	0.8583296210962916
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	aa_log1p_rate	0.08338346030040442	0.022213338089498016	3.7537564126765037	0.00031388554263917434	0.039232045551980226	0.1275348750488286	0.00048084593766001174
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	rsa_centered	-0.2412571702499024	0.031488071201403414	-7.661859270667224	2.3957518315091137e-11	-0.30384312134107816	-0.17867121915872666	1.1499608791243746e-10
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	aa_by_rsa	0.00042494724102146685	0.04202453944998671	0.010111883356323166	0.9919551735153644	-0.08310337539973871	0.08395326988178163	0.9919551735153644
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	aa_log1p_rate	0.21325662950467367	0.014284083178408836	14.929668697744816	1.0042877602871897e-25	0.18486546748436114	0.2416477915249862	1.8077179685169415e-24
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	rsa_centered	-0.24791620241400136	0.036909732167859415	-6.716824746560585	1.8316926378778389e-09	-0.32127829174207323	-0.1745541130859295	5.733994344661061e-09
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	aa_by_rsa	-0.034154633664149975	0.0509826625810889	-0.6699264403820883	0.5046789451749244	-0.13548819602778348	0.06717892869948353	0.7267376810518912
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_log1p_rate	0.09937959957365693	0.023083975267855873	4.305133687785643	4.361299144549756e-05	0.053497699159269316	0.14526149998804455	8.051629189938011e-05
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	rsa_centered	-0.30660681498925696	0.03789252000947132	-8.091486523266859	3.225039086353307e-12	-0.3819223015703617	-0.2312913284081522	1.658591530124558e-11
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_by_rsa	-0.017476465530846353	0.05062680813022873	-0.345201804662288	0.7307758770623736	-0.11810272864090986	0.08314979757921716	0.9071700542843257
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_log1p_rate	0.21275407710641586	0.015126133763157518	14.065330932390507	4.002498980550208e-24	0.18268924837033992	0.2428189058424918	3.2019991844401664e-23
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	rsa_centered	-0.21194898891371683	0.03170697102986043	-6.6846179887101576	2.1181991986046813e-09	-0.27497002711677215	-0.1489279507106615	6.354597595814044e-09
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_by_rsa	-0.01907348768259177	0.043036941490019784	-0.44318873558928185	0.658729338307287	-0.10461406900241936	0.06646709363723581	0.8583296210962916
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_log1p_rate	0.0989923929482308	0.02360916913097257	4.192963860738494	6.599712184017663e-05	0.05206661286207268	0.14591817303438892	0.00011589738469494433
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	rsa_centered	-0.26643146075785995	0.032303624339203516	-8.247726569632006	1.5501567818226237e-12	-0.33063841201980315	-0.20222450949591678	8.585483714709916e-12
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_by_rsa	-0.006593561485812817	0.04251916765771709	-0.15507268483925993	0.8771232277859192	-0.09110501124856546	0.07791788827693982	0.9568617030391846
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	aa_log1p_rate	0.1935327277007391	0.012552019580984763	15.41845329766093	1.3026322077086776e-26	0.1685842296309056	0.21848122577057258	6.813663901672266e-25
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	rsa_centered	-0.17261263218459205	0.03425765060005851	-5.038659369837149	2.519707795532329e-06	-0.24070342222505314	-0.10452184214413097	5.183398893666506e-06
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	aa_by_rsa	-0.01259920430410782	0.049435073545262866	-0.25486367068053334	0.7994298905076449	-0.11085676588363706	0.08565835727542141	0.9354250052061475
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	aa_log1p_rate	0.09632371847493358	0.021289718964230826	4.524424142787817	1.9067269400686288e-05	0.054008096748924504	0.13863934020094265	3.710387559052467e-05
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	rsa_centered	-0.21679213976110992	0.03567038314660276	-6.077650998872357	3.1454566522388724e-08	-0.28769088871075277	-0.14589339081146707	8.0883171057571e-08
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	aa_by_rsa	0.0026238793942545986	0.04921396406009383	0.05331574979513235	0.9576025670088443	-0.09519420314141477	0.10044196192992397	0.9849626403519541
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	aa_log1p_rate	0.1926771471593252	0.01328857964167771	14.499453843435697	6.214787736451242e-25	0.16626465621297068	0.21908963810567975	6.3923531003498486e-24
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	rsa_centered	-0.14730534563230918	0.029368490544115434	-5.015761549305256	2.7637070858662416e-06	-0.2056784006555633	-0.08893229060905504	5.527414171732483e-06
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	aa_by_rsa	-0.003727178815168583	0.041695016284833256	-0.08939147042675123	0.9289762687075975	-0.08660053848389432	0.07914618085355715	0.9836219315727504
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	aa_log1p_rate	0.09547045859432135	0.021805904756114075	4.378192955628349	3.3189453496496944e-05	0.05212886171352652	0.1388120554751162	6.28852803091521e-05
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	rsa_centered	-0.1895806897109425	0.03041167394312122	-6.233813043817126	1.5838246178503718e-08	-0.25002718469727675	-0.12913419472460821	4.561414899409071e-08
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	aa_by_rsa	0.008400029968016216	0.041374523229631456	0.2030242118173899	0.8395901842284021	-0.07383631504999864	0.09063637498603107	0.9568617030391846
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	aa_log1p_rate	0.20871226705596685	0.013959490763154692	14.951280859531883	9.169794202808436e-26	0.18096626760835444	0.23645826650357926	1.8077179685169415e-24
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	rsa_centered	-0.21809694169479518	0.03736249772150622	-5.837322315024363	8.93055941594718e-08	-0.2923589515869137	-0.14383493180267665	2.143334259827323e-07
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	aa_by_rsa	0.016518941347111044	0.05184020685434634	0.3186511464648231	0.750754799903851	-0.08651908311587823	0.11955696581010032	0.916175349035208
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	aa_log1p_rate	0.09909274521123754	0.02399369987813732	4.129948516257357	8.306088413779302e-05	0.051402668627489136	0.14678282179498595	0.00014239008709335946
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	rsa_centered	-0.26786956987318056	0.03916054223204837	-6.840292667192956	1.047446154637285e-09	-0.34570538792511846	-0.19003375182124266	3.591243958756406e-09
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	aa_by_rsa	0.028575614019262206	0.051358512738260004	0.5563948894878051	0.5793692620532187	-0.07350499122940114	0.13065621926792556	0.802203593612149
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	aa_log1p_rate	0.2064361028722877	0.014755069219500386	13.990859670075999	5.5221248765721474e-24	0.17710880509618876	0.23576340064838663	3.9759299111319457e-23
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	rsa_centered	-0.18535965107011637	0.03197523816395295	-5.796974837831863	1.0623832087530079e-07	-0.24891389925057217	-0.12180540288966059	2.393089251560515e-07
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	aa_by_rsa	0.02218130667009044	0.043586050448200464	0.5089083879359901	0.6121046810313512	-0.06445068816251182	0.1088133015026927	0.831538434608628
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	aa_log1p_rate	0.09721467614547831	0.024567628389857366	3.9570232259623785	0.00015448651250793012	0.04838385449879505	0.14604549779216158	0.0002527961113766129
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	rsa_centered	-0.23328279156731005	0.03325192638810394	-7.015617346331196	4.715264766375664e-10	-0.29937459583509557	-0.16719098729952453	1.7868371746265674e-09
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	aa_by_rsa	0.03162393280372325	0.04303996911366817	0.7347573303364769	0.46446321824301096	-0.0539226662459414	0.1171705318533879	0.6824765655815671
3di_llm__gamma__tien2013__coverage_confidence	3di_llm	gamma	tien2013	coverage_confidence	aa_log1p_rate	0.19519713428567792	0.013263561115629399	14.71679683789169	2.4675679865727095e-25	0.16883437036889015	0.2215598982024657	2.9610815838872516e-24
