model_id	alphabet_model	rate_model	rsa_scale	controls	sites	markers	parameters_including_marker_intercepts	design_rank	design_condition_number	cluster_reference_df	within_marker_r_squared	residual_sum_squares	independent_coefficient_max_difference	independent_covariance_max_difference
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	22205	89	94	94	267.6289837919397	88.0	0.0694627878090579	3550.8529214787663	5.10702591327572e-15	1.457167719820518e-16
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	22205	89	114	114	354.55013016929706	88.0	0.07678925849012264	3522.8957162416596	5.015085569048949e-15	2.706168622523819e-16
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	22205	89	94	94	269.18601327921186	88.0	0.06904607801342089	3552.443051541123	3.774758283725532e-15	1.6653345369377348e-16
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	22205	89	114	114	356.0380941485153	88.0	0.07666736046226086	3523.360869018663	4.107825191113079e-15	2.3245294578089215e-16
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	22205	89	94	94	268.687083415061	88.0	0.06733002499631624	4116.390532829818	7.105427357601002e-15	1.491862189340054e-16
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	22205	89	114	114	355.3570455409245	88.0	0.07504963454820068	4082.3196090002025	4.884981308350689e-15	2.185751579730777e-16
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	22205	89	94	94	270.2424639473077	88.0	0.06683104667082973	4118.592801274357	3.1086244689504383e-15	2.393918396847994e-16
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	22205	89	114	114	356.8419641286064	88.0	0.0748811906055682	4083.063045659844	3.0531133177191805e-15	3.642919299551295e-16
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	22205	89	94	94	267.6289837919397	88.0	0.07790327982055811	3435.515716725562	6.661338147750939e-15	1.491862189340054e-16
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	22205	89	114	114	354.55013016929706	88.0	0.08510319743707884	3408.6905154322826	4.524158825347513e-15	2.42861286636753e-16
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	22205	89	94	94	269.18601327921186	88.0	0.0776079190172021	3436.6161616787085	3.552713678800501e-15	2.983724378680108e-16
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	22205	89	114	114	356.0380941485153	88.0	0.08508946690607655	3408.74167216457	3.774758283725532e-15	1.6653345369377348e-16
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	22205	89	94	94	268.687083415061	88.0	0.0742888355478648	4245.895291478165	7.105427357601002e-15	2.706168622523819e-16
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	22205	89	114	114	355.3570455409245	88.0	0.08221772669116822	4209.5283955555915	5.551115123125783e-15	3.677613769070831e-16
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	22205	89	94	94	270.2424639473077	88.0	0.07391269950986201	4247.620488595839	6.8833827526759706e-15	4.85722573273506e-16
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	22205	89	114	114	356.8419641286064	88.0	0.08215901699695605	4209.797675244324	2.6922908347160046e-15	1.2836953722228372e-16
3di_llm__gamma__tien2013__coverage_confidence	3di_llm	gamma	tien2013	coverage_confidence	22205	89	94	94	267.6289837919397	88.0	0.07000935913109807	3472.549291063913	4.884981308350689e-15	1.8041124150158794e-16
3di_llm__gamma__tien2013__composition_adjusted	3di_llm	gamma	tien2013	composition_adjusted	22205	89	114	114	354.55013016929706	88.0	0.07720469429657806	3445.682186246052	2.8900493109773606e-15	2.1510571102112408e-16
3di_llm__gamma__miller1987__coverage_confidence	3di_llm	gamma	miller1987	coverage_confidence	22205	89	94	94	269.18601327921186	88.0	0.06966120658765573	3473.849279273239	2.6645352591003757e-15	2.255140518769849e-16
3di_llm__gamma__miller1987__composition_adjusted	3di_llm	gamma	miller1987	composition_adjusted	22205	89	114	114	356.0380941485153	88.0	0.07712227823806772	3445.989924639295	6.106226635438361e-15	1.8735013540549517e-16
3di_llm__freerate__tien2013__coverage_confidence	3di_llm	freerate	tien2013	coverage_confidence	22205	89	94	94	268.687083415061	88.0	0.06825907899182304	4056.980019109288	4.6629367034256575e-15	2.949029909160572e-16
3di_llm__freerate__tien2013__composition_adjusted	3di_llm	freerate	tien2013	composition_adjusted	22205	89	114	114	355.3570455409245	88.0	0.07602228554560442	4023.177517616888	3.552713678800501e-15	3.434752482434078e-16
3di_llm__freerate__miller1987__coverage_confidence	3di_llm	freerate	miller1987	coverage_confidence	22205	89	94	94	270.2424639473077	88.0	0.06785274707759381	4058.7492667831702	2.6645352591003757e-15	2.8449465006019636e-16
3di_llm__freerate__miller1987__composition_adjusted	3di_llm	freerate	miller1987	composition_adjusted	22205	89	114	114	356.8419641286064	88.0	0.0759024566505907	4023.699275781439	4.3021142204224816e-15	2.740863092043355e-16
