model_id	alphabet_model	rate_model	rsa_scale	controls	term	coefficient	marker_cluster_standard_error	t_statistic	p_value_conditional_cluster_t	ci95_lower	ci95_upper	bh_q_across_all_72_focal_tests
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_log1p_rate	0.20015784058255798	0.013405661400397088	14.930844111625042	7.566631407093876e-26	0.17351690555019042	0.22679877561492554	1.0895949226215182e-24
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	rsa_centered	-0.22071180015948527	0.035695157271548976	-6.183242126668113	1.9189145725768677e-08	-0.29164842442878913	-0.14977517589018138	5.313917277905172e-08
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_by_rsa	-0.03575865544654696	0.05001135071854165	-0.7150107912060347	0.47649503399809623	-0.13514570585602179	0.06362839496292788	0.6861528489572586
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_log1p_rate	0.08238110499102907	0.021536558517695592	3.8251749890002316	0.00024372866963056855	0.03958172052546924	0.1251804894565889	0.0003899658714089097
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	rsa_centered	-0.2767077068139974	0.03660229703140509	-7.559845399226715	3.637818258356841e-11	-0.34944708073404873	-0.2039683328939461	1.6370182162605785e-10
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_by_rsa	-0.011491898934213107	0.049663900115837205	-0.23139340461399813	0.8175463729479686	-0.1101884642824039	0.08720466641397769	0.9376194888320681
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_log1p_rate	0.1998976985491284	0.014200016741165233	14.0772861182363	2.9642747938327972e-24	0.1716781491989778	0.22811724789927898	1.9402525923269217e-23
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	rsa_centered	-0.18895643847985905	0.030735769798107996	-6.147769836937374	2.243961025437094e-08	-0.25003732228742304	-0.12787555467229508	5.983896067832251e-08
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_by_rsa	-0.021376686926119458	0.04231901569559112	-0.5051319501352798	0.6147289170382193	-0.10547683790759885	0.06272346405535995	0.8351034344670148
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	aa_log1p_rate	0.08172043993478524	0.02197615858477893	3.718595295876061	0.0003519348748730702	0.03804744271133159	0.1253934371582389	0.000539134276401299
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	rsa_centered	-0.24059056285921843	0.03128551602903623	-7.690158047446787	1.9804162945841556e-11	-0.3027639517797352	-0.17841717393870166	9.505998214003946e-11
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	aa_by_rsa	-0.0024607011720193003	0.041848532932314574	-0.05880017767884995	0.9532445873776911	-0.08562586652646145	0.08070446418242286	0.9759879982983334
