taxon_id	species_name	source_classification	provisional_transition_group	ESMFold_combined_usable_markers	reported_host_groups	confirmatory_test_status
F87326	Amanita brunnescens	ectomycorrhizal	Amanita_single_origin	24	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F1004511	Amanita polypyramis	ectomycorrhizal	Amanita_single_origin	28	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F41956	Amanita muscaria	ectomycorrhizal	Amanita_single_origin	32	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F933333	Amanita inopinata	asymbiotic	Amanita_single_origin	26	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F235537	Amanita thiersii	asymbiotic	Amanita_single_origin	68	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F29883	Laccaria bicolor	ectomycorrhizal	Laccaria_transition_review_pending	64	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F48563	Suillus bovinus	ectomycorrhizal	Suillus_transition_review_pending	28	Pinus_subgenus_Pinus	pending_taxonomy_phylogeny_and_replicated_transition_review
F48565	Suillus brevipes	ectomycorrhizal	Suillus_transition_review_pending	29	Pinus_subgenus_Pinus	pending_taxonomy_phylogeny_and_replicated_transition_review
F1904413	Suillus clintonianus	ectomycorrhizal	Suillus_transition_review_pending	28	Larix	pending_taxonomy_phylogeny_and_replicated_transition_review
F1912939	Suillus fuscotomentosus	ectomycorrhizal	Suillus_transition_review_pending	63	Pinus_subgenus_Pinus	pending_taxonomy_phylogeny_and_replicated_transition_review
F48578	Suillus paluster	ectomycorrhizal	Suillus_transition_review_pending	27	Larix	pending_taxonomy_phylogeny_and_replicated_transition_review
F116603	Suillus plorans	ectomycorrhizal	Suillus_transition_review_pending	62	Pinus_subgenus_Strobus	pending_taxonomy_phylogeny_and_replicated_transition_review
F48586	Suillus subalutaceus	ectomycorrhizal	Suillus_transition_review_pending	30	Pinus_subgenus_Pinus	pending_taxonomy_phylogeny_and_replicated_transition_review
F48587	Suillus subaureus	ectomycorrhizal	Suillus_transition_review_pending	62	Pinus_subgenus_Strobus;Larix;Quercus	pending_taxonomy_phylogeny_and_replicated_transition_review
F48593	Suillus weaverae	ectomycorrhizal	Suillus_transition_review_pending	30	unknown	pending_taxonomy_phylogeny_and_replicated_transition_review
F89243	Laccaria amethystina	ectomycorrhizal	Laccaria_transition_review_pending	67	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F80663	Piloderma croceum	ectomycorrhizal	Piloderma_transition_review_pending	63	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F5570	Cenococcum geophilum	ectomycorrhizal	Cenococcum_transition_review_pending	28	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F39416	Tuber melanosporum	ectomycorrhizal	Tuber_transition_review_pending	62	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F574774	Glonium stellatum	saprotrophic	Cenococcum_transition_review_pending	63	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F741139	Lepidopterella palustris	saprotrophic	Cenococcum_transition_review_pending	65	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
