model_id	alphabet_model	rate_model	rsa_scale	controls	term	coefficient_baseline	marker_cluster_standard_error_baseline	t_statistic_baseline	p_value_conditional_cluster_t_baseline	ci95_lower_baseline	ci95_upper_baseline	bh_q_across_all_72_focal_tests_baseline	coefficient_sensitivity	marker_cluster_standard_error_sensitivity	t_statistic_sensitivity	p_value_conditional_cluster_t_sensitivity	ci95_lower_sensitivity	ci95_upper_sensitivity	bh_q_across_all_72_focal_tests_sensitivity	coefficient_change	coefficient_sign_changed
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_by_rsa	-0.006593561485812817	0.04251916765771709	-0.15507268483925993	0.8771232277859192	-0.09110501124856546	0.07791788827693982	0.9568617030391846	-0.00018318723295531435	0.041996844952998436	-0.0043619284534429145	0.9965296820941014	-0.08365646406214715	0.08329008959623653	0.9995786905329904	0.006410374252857502	False
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_log1p_rate	0.0989923929482308	0.02360916913097257	4.192963860738494	6.599712184017663e-05	0.05206661286207268	0.14591817303438892	0.00011589738469494433	0.09903596271653897	0.023704969947813494	4.177856497374462	6.97505780237801e-05	0.05191976813344484	0.1461521572996331	0.0001224888199441992	4.356976830817427e-05	False
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	rsa_centered	-0.26643146075785995	0.032303624339203516	-8.247726569632006	1.5501567818226237e-12	-0.33063841201980315	-0.20222450949591678	8.585483714709916e-12	-0.2712697517515055	0.032153694949357846	-8.43665874726858	6.380935042305846e-13	-0.3351787021165378	-0.20736080138647317	3.534056331123238e-12	-0.004838290993645522	False
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_by_rsa	-0.01907348768259177	0.043036941490019784	-0.44318873558928185	0.658729338307287	-0.10461406900241936	0.06646709363723581	0.8583296210962916	-0.013553162964594254	0.04258347344468178	-0.3182728384569319	0.7510407398561525	-0.09819242744207202	0.0710861015128835	0.901248887827383	0.005520324717997517	False
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_log1p_rate	0.21275407710641586	0.015126133763157518	14.065330932390507	4.002498980550208e-24	0.18268924837033992	0.2428189058424918	3.2019991844401664e-23	0.21311301639374597	0.015163430030998317	14.054406948697162	4.19581192639948e-24	0.1829740572868373	0.24325197550065464	3.356649541119584e-23	0.0003589392873301067	False
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	rsa_centered	-0.21194898891371683	0.03170697102986043	-6.6846179887101576	2.1181991986046813e-09	-0.27497002711677215	-0.1489279507106615	6.354597595814044e-09	-0.21596347286669856	0.03149225509019701	-6.857669361821098	9.68003860515493e-10	-0.2785577398898897	-0.15336920584350744	3.0302729546571954e-09	-0.0040144839529817344	False
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_by_rsa	-0.017476465530846353	0.05062680813022873	-0.345201804662288	0.7307758770623736	-0.11810272864090986	0.08314979757921716	0.9071700542843257	-0.009458184391183908	0.05006899491270514	-0.18890302087497804	0.8506088020284512	-0.10897573333051767	0.09005936454814985	0.9633780840579239	0.008018281139662445	False
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_log1p_rate	0.09937959957365693	0.023083975267855873	4.305133687785643	4.361299144549756e-05	0.053497699159269316	0.14526149998804455	8.051629189938011e-05	0.09964890872507384	0.023186920698556518	4.297634430227616	4.484642799398985e-05	0.053562393120073874	0.1457354243300738	8.279340552736588e-05	0.000269309151416916	False
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	rsa_centered	-0.30660681498925696	0.03789252000947132	-8.091486523266859	3.225039086353307e-12	-0.3819223015703617	-0.2312913284081522	1.658591530124558e-11	-0.3124278672682879	0.03774746123583462	-8.276791525563373	1.3524528399158704e-12	-0.38745503382959523	-0.23740070070698063	6.955471748138762e-12	-0.005821052279030958	False
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	aa_by_rsa	-0.034154633664149975	0.0509826625810889	-0.6699264403820883	0.5046789451749244	-0.13548819602778348	0.06717892869948353	0.7267376810518912	-0.027172973214937782	0.05050183801124132	-0.5380590941836471	0.5919101068923641	-0.12755084468155073	0.07320489825167517	0.788045881649394	0.006981660449212192	False
