model_id	alphabet_model	rate_model	rsa_scale	controls	contrast	baseline_mean_rsa	baseline_mean_aa_log1p_rate	baseline_estimate	sensitivity_estimate	sensitivity_minus_baseline	paired_draws	excluded_singular_draws	percentile_lower	percentile_upper
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_at_RSA_025	0.2641317052464556	0.6044291063503936	0.1994060683300304	0.1990066241671306	-0.00039944416289980356	2000	0	-0.002187666825355045	0.0009953471393985822
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	rsa_at_aa_log_rate_0	0.2641317052464556	0.6044291063503936	-0.22183113781062097	-0.22404366808255013	-0.002212530271929164	2000	0	-0.006044551888024477	0.0013650663872888575
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	interaction	0.2641317052464556	0.6044291063503936	-0.031939262494779165	-0.03310465136410329	-0.001165388869324123	2000	0	-0.008618789683660835	0.005113191271988963
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_at_baseline_mean_RSA	0.2641317052464556	0.6044291063503936	0.19895471208666501	0.19853879899176644	-0.00041591309489857897	2000	0	-0.002208047612264059	0.000958676711849326
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.2641317052464556	0.6044291063503936	-0.24113615769783098	-0.24405308292259642	-0.002916925224765443	2000	0	-0.008432473566879381	0.0009685577018661363
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_at_RSA_025	0.2641317052464556	0.6044291063503936	0.08416505825951529	0.08135842889916167	-0.002806629360353613	2000	0	-0.007080021037027209	0.000588975804209965
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	rsa_at_aa_log_rate_0	0.2641317052464556	0.6044291063503936	-0.2774330510133376	-0.28100876123591195	-0.0035757102225743576	2000	0	-0.00902227076422496	0.0007487130570396563
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	interaction	0.2641317052464556	0.6044291063503936	-0.008201383288055697	-0.00821607509907238	-1.4691811016683334e-05	2000	0	-0.007075734165993306	0.006527823988433139
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_at_baseline_mean_RSA	0.2641317052464556	0.6044291063503936	0.08404915872827527	0.08124232174757884	-0.002806836980696434	2000	0	-0.007024580679791156	0.0005789120443390639
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	rsa_at_baseline_mean_aa_log_rate	0.2641317052464556	0.6044291063503936	-0.28239020578497415	-0.285974796165752	-0.0035845903807778523	2000	0	-0.010598571070991079	0.0010317256144091425
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_at_RSA_025	0.30877860698116194	0.6044291063503936	0.1990470085617761	0.19875570254392383	-0.0002913060178522664	2000	0	-0.0021217775059595577	0.0012491721868041735
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	rsa_at_aa_log_rate_0	0.30877860698116194	0.6044291063503936	-0.19010800269205336	-0.19192022672492162	-0.0018122240328682648	2000	0	-0.005161059872942606	0.0013071020158684846
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	interaction	0.30877860698116194	0.6044291063503936	-0.018054917142691106	-0.019362930448534578	-0.0013080133058434723	2000	0	-0.007545762938891943	0.003963360657923732
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_at_baseline_mean_RSA	0.30877860698116194	0.6044291063503936	0.1979857656829684	0.19761757646508585	-0.0003681892178825641	2000	0	-0.0021497199472611567	0.0009932478647885071
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.30877860698116194	0.6044291063503936	-0.20102092012584055	-0.2036237454722542	-0.002602825346413651	2000	0	-0.007291290675805295	0.0006449441023000155
