model_id	alphabet_model_full	rate_model_full	rsa_scale_full	controls_full	term	coefficient_full	marker_cluster_standard_error_full	t_statistic_full	p_value_conditional_cluster_t_full	ci95_lower_full	ci95_upper_full	bh_q_across_all_72_focal_tests_full	alphabet_model_omission	rate_model_omission	rsa_scale_omission	controls_omission	coefficient_omission	marker_cluster_standard_error_omission	t_statistic_omission	p_value_conditional_cluster_t_omission	ci95_lower_omission	ci95_upper_omission	bh_q_across_all_72_focal_tests_omission	omission_minus_full
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_log1p_rate	0.1997655377405773	0.0134822207496921	14.816960903502432	1.2279100004355562e-25	0.1729724570892976	0.2265586183918569	1.768190400627201e-24	3di_af	gamma	tien2013	coverage_confidence	0.1990066241671306	0.0135482561926143	14.688726086801916	2.7793029782987813e-25	0.1720779979575998	0.2259352503766613	4.0021962887502456e-24	-0.000758913573446679
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	rsa_centered	-0.2228876616818453	0.0355044875918936	-6.277732106538977	1.2629001592137452e-08	-0.2934453700292395	-0.1523299533344511	3.4972619793611406e-08	3di_af	gamma	tien2013	coverage_confidence	-0.2240436680825501	0.0356939950714007	-6.276788788545043	1.3099422028531593e-08	-0.2949893482894656	-0.1530979878756345	3.627532254054903e-08	-0.0011560064007048176
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_by_rsa	-0.0369225135597114	0.0500935261192424	-0.7370715623376412	0.4630394841385827	-0.1364728703101373	0.0626278431907144	0.6667768571595591	3di_af	gamma	tien2013	coverage_confidence	-0.0331046513641032	0.0502293472312696	-0.6590699101001736	0.5115915561164804	-0.1329409178997879	0.0667316151715813	0.7083575392382037	0.0038178621956082015
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_log1p_rate	0.0796487826686424	0.0214873132496187	3.7067818457971136	0.0003664171858319	0.0369472628252226	0.1223503025120621	0.0005862674973311	3di_af	gamma	tien2013	composition_adjusted	0.0813584288991616	0.0217107863949262	3.7473736519362046	0.0003208324616846	0.0382058900607949	0.1245109677375284	0.0005133319386955	0.0017096462305191962
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	rsa_centered	-0.2802040335720527	0.0364316939019532	-7.691216179136531	1.970647722421868e-11	-0.352604369622036	-0.2078036975220695	8.867914750898405e-11	3di_af	gamma	tien2013	composition_adjusted	-0.2810087612359119	0.0366544771724119	-7.666423938176204	2.3454466018059692e-11	-0.3538635036211154	-0.2081540188507085	1.0554509708126864e-10	-0.0008047276638591949
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_by_rsa	-0.0115401188347711	0.0497267981635882	-0.2320704179828184	0.8170221525871724	-0.1103616808357752	0.0872814431662329	0.9337396029567684	3di_af	gamma	tien2013	composition_adjusted	-0.0082160750990723	0.0499446563271251	-0.164503586635157	0.8697163258856258	-0.1074864876359863	0.0910543374378416	0.963378084057924	0.0033240437356987992
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_log1p_rate	0.1996127342926864	0.014285586964457	13.973015934824954	4.668676424051337e-24	0.1712231321050566	0.2280023364803162	3.0558609321063294e-23	3di_af	gamma	miller1987	coverage_confidence	0.1987557025439238	0.014348639320933	13.851885053237146	1.0086303635879442e-23	0.1702362282001026	0.227275176887745	6.601944198030181e-23	-0.0008570317487625878
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	rsa_centered	-0.1907363859854492	0.0305677246101825	-6.239796661931206	1.494256320583592e-08	-0.2514833152942152	-0.1299894566766832	3.9846835215562463e-08	3di_af	gamma	miller1987	coverage_confidence	-0.1919202267249216	0.03073433455039	-6.244489413306206	1.5109173959619808e-08	-0.2530080446064059	-0.1308324088434373	4.029113055898616e-08	-0.0011838407394723915
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_by_rsa	-0.0226812373204906	0.0423823321954049	-0.5351578392599571	0.5938905100457179	-0.1069072165403266	0.0615447418993454	0.7918540133942905	3di_af	gamma	miller1987	coverage_confidence	-0.0193629304485345	0.0424932139599282	-0.4556711212005315	0.6497617893757859	-0.1038227944266242	0.065096933529555	0.8207517339483612	0.0033183068719560976
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	aa_log1p_rate	0.0790626179509244	0.0219221848768889	3.606511777677545	0.0005143070557262	0.0354968821301279	0.1226283537717208	0.0007878746385593	3di_af	gamma	miller1987	composition_adjusted	0.0806514747058617	0.0221596023651391	3.639572289110218	0.000462732157498	0.0366068655281903	0.1246960838835331	0.0007088662838268	0.0015888567549373067
