cohort	model_id	contrast	point	lower	upper
full	3di_af__gamma__tien2013__coverage_confidence	aa_at_RSA_025	-0.00039230284198069065	-0.002249775018080697	0.0009506200811202809
omission	3di_af__gamma__tien2013__coverage_confidence	aa_at_RSA_025	-0.00039944416289980356	-0.002187666825355045	0.0009953471393985822
full	3di_af__gamma__tien2013__composition_adjusted	aa_at_RSA_025	-0.0027323223223866405	-0.006684485468782072	0.0005716174236384655
omission	3di_af__gamma__tien2013__composition_adjusted	aa_at_RSA_025	-0.002806629360353613	-0.007080021037027209	0.000588975804209965
full	3di_af__gamma__miller1987__coverage_confidence	aa_at_RSA_025	-0.0002849642564419774	-0.0021949730271645118	0.0012166147717708748
omission	3di_af__gamma__miller1987__coverage_confidence	aa_at_RSA_025	-0.0002913060178522664	-0.0021217775059595577	0.0012491721868041735
full	3di_af__gamma__miller1987__composition_adjusted	aa_at_RSA_025	-0.0026578219838608447	-0.006671238761124121	0.0007146197590364513
omission	3di_af__gamma__miller1987__composition_adjusted	aa_at_RSA_025	-0.0027319855945426713	-0.007087044134254339	0.0006597375938093204
full	3di_af__freerate__tien2013__coverage_confidence	aa_at_RSA_025	0.0005340238555965882	-0.0008956879885525196	0.002064801818534353
omission	3di_af__freerate__tien2013__coverage_confidence	aa_at_RSA_025	0.000538198979468052	-0.0008831435779993596	0.0020473263162428656
full	3di_af__freerate__tien2013__composition_adjusted	aa_at_RSA_025	0.00029119903727679863	-0.006156057514953597	0.006396849271087798
omission	3di_af__freerate__tien2013__composition_adjusted	aa_at_RSA_025	0.000269309151416916	-0.00612843823474844	0.006576562774599641
full	3di_af__freerate__miller1987__coverage_confidence	aa_at_RSA_025	0.00035570519483807406	-0.001037381288387907	0.0017074247000596105
omission	3di_af__freerate__miller1987__coverage_confidence	aa_at_RSA_025	0.0003589392873301067	-0.001035296117248944	0.0017585027692119592
full	3di_af__freerate__miller1987__composition_adjusted	aa_at_RSA_025	6.732858286938315e-05	-0.006373993517515602	0.0060539586685857145
omission	3di_af__freerate__miller1987__composition_adjusted	aa_at_RSA_025	4.356976830817427e-05	-0.006314214226680601	0.006307992337017132
full	3di_af_empirical__gamma__tien2013__coverage_confidence	aa_at_RSA_025	0.00041373025979421496	-0.0007881736031190017	0.0015828115389204232
omission	3di_af_empirical__gamma__tien2013__coverage_confidence	aa_at_RSA_025	0.00040872513432899105	-0.0007219630970245333	0.0015991998883983078
full	3di_af_empirical__gamma__tien2013__composition_adjusted	aa_at_RSA_025	0.0012763388339660647	-0.0027179308717858106	0.005495965521121432
omission	3di_af_empirical__gamma__tien2013__composition_adjusted	aa_at_RSA_025	0.0012897860883162582	-0.0024222672992217443	0.005526368382779626
full	3di_af_empirical__gamma__miller1987__coverage_confidence	aa_at_RSA_025	0.00034799425833823006	-0.0009285606466151661	0.0016181771564399282
omission	3di_af_empirical__gamma__miller1987__coverage_confidence	aa_at_RSA_025	0.00034172702132978516	-0.000851177506194567	0.0016142195354214622
full	3di_af_empirical__gamma__miller1987__composition_adjusted	aa_at_RSA_025	0.0012296595006884153	-0.002849922447801135	0.005524796079351975
omission	3di_af_empirical__gamma__miller1987__composition_adjusted	aa_at_RSA_025	0.001242508287399427	-0.002511902292072747	0.005568630438448223
full	3di_af_empirical__freerate__tien2013__coverage_confidence	aa_at_RSA_025	-0.00020989233732773838	-0.0017911092793668876	0.0012927751348455574
omission	3di_af_empirical__freerate__tien2013__coverage_confidence	aa_at_RSA_025	-0.00020986444808596127	-0.0017546614580434266	0.0012629359800386541
full	3di_af_empirical__freerate__tien2013__composition_adjusted	aa_at_RSA_025	7.830040906768587e-05	-0.007082423935528266	0.007470430780533303
omission	3di_af_empirical__freerate__tien2013__composition_adjusted	aa_at_RSA_025	6.918592524306211e-05	-0.007106592572565195	0.007107516958368175
full	3di_af_empirical__freerate__miller1987__coverage_confidence	aa_at_RSA_025	-0.00047498925742639475	-0.0022347211975264044	0.0010624739879022814
omission	3di_af_empirical__freerate__miller1987__coverage_confidence	aa_at_RSA_025	-0.0004762360006510813	-0.0021200576474404154	0.0010484831343313184
full	3di_af_empirical__freerate__miller1987__composition_adjusted	aa_at_RSA_025	-0.0002312134719767156	-0.007385911653290587	0.006977680347872161
omission	3di_af_empirical__freerate__miller1987__composition_adjusted	aa_at_RSA_025	-0.00024224060131645964	-0.007382360038760973	0.006664669590228643
full	3di_llm__gamma__tien2013__coverage_confidence	aa_at_RSA_025	-0.00033355140359112023	-0.00269309663514031	0.0015534057282907481
omission	3di_llm__gamma__tien2013__coverage_confidence	aa_at_RSA_025	-0.0003389802344408166	-0.002593038538807603	0.0016408956448187072
full	3di_llm__gamma__tien2013__composition_adjusted	aa_at_RSA_025	-0.0016725053801020101	-0.005854275437009535	0.00185120728344444
omission	3di_llm__gamma__tien2013__composition_adjusted	aa_at_RSA_025	-0.0017401087379172175	-0.005867684830033321	0.001863102343087205
full	3di_llm__gamma__miller1987__coverage_confidence	aa_at_RSA_025	-0.0004531821081337484	-0.002754609936705215	0.0015250220986592706
omission	3di_llm__gamma__miller1987__coverage_confidence	aa_at_RSA_025	-0.00046038129942710393	-0.002745666967370055	0.0015451648516412808
full	3di_llm__gamma__miller1987__composition_adjusted	aa_at_RSA_025	-0.0017859616339251927	-0.006144701759011229	0.0018874155755974856
omission	3di_llm__gamma__miller1987__composition_adjusted	aa_at_RSA_025	-0.001855159315874072	-0.006193672988988448	0.0018981919250091444
full	3di_llm__freerate__tien2013__coverage_confidence	aa_at_RSA_025	0.0006203391045863649	-0.0007104464156997469	0.001989266581694682
omission	3di_llm__freerate__tien2013__coverage_confidence	aa_at_RSA_025	0.0006254075368307965	-0.0007253382765426905	0.002017486071633377
full	3di_llm__freerate__tien2013__composition_adjusted	aa_at_RSA_025	0.0010597823415276764	-0.005384867247290495	0.007183287030455554
omission	3di_llm__freerate__tien2013__composition_adjusted	aa_at_RSA_025	0.0010493132143262474	-0.005462124743263028	0.007025283104818385
full	3di_llm__freerate__miller1987__coverage_confidence	aa_at_RSA_025	0.00042654966656885396	-0.0008380694836224896	0.001712858215328204
omission	3di_llm__freerate__miller1987__coverage_confidence	aa_at_RSA_025	0.0004305322736622985	-0.0008499301141337061	0.0016993044382517374
full	3di_llm__freerate__miller1987__composition_adjusted	aa_at_RSA_025	0.0008467711062616068	-0.005630248632235935	0.007040421382430722
omission	3di_llm__freerate__miller1987__composition_adjusted	aa_at_RSA_025	0.0008347955076937197	-0.005698843866597987	0.00676489339902346
full	3di_af__gamma__tien2013__coverage_confidence	aa_at_baseline_mean_RSA	-0.00040981760121067135	-0.002278136967118882	0.0008934205880113775
omission	3di_af__gamma__tien2013__coverage_confidence	aa_at_baseline_mean_RSA	-0.00041591309489857897	-0.002208047612264059	0.000958676711849326
full	3di_af__gamma__tien2013__composition_adjusted	aa_at_baseline_mean_RSA	-0.0027330479778070182	-0.0066354095185421815	0.0005642439821478745
omission	3di_af__gamma__tien2013__composition_adjusted	aa_at_baseline_mean_RSA	-0.002806836980696434	-0.007024580679791156	0.0005789120443390639
full	3di_af__gamma__miller1987__coverage_confidence	aa_at_baseline_mean_RSA	-0.00036306266293401057	-0.0022253250656722972	0.0009285614665826281
omission	3di_af__gamma__miller1987__coverage_confidence	aa_at_baseline_mean_RSA	-0.0003681892178825641	-0.0021497199472611567	0.0009932478647885071
full	3di_af__gamma__miller1987__composition_adjusted	aa_at_baseline_mean_RSA	-0.0026833683986446644	-0.0066122217907271675	0.0006131415483031731
omission	3di_af__gamma__miller1987__composition_adjusted	aa_at_baseline_mean_RSA	-0.0027556536742640303	-0.0069713872508517	0.0006462940048908534
full	3di_af__freerate__tien2013__coverage_confidence	aa_at_baseline_mean_RSA	0.0006385252871728975	-0.0008160844204587454	0.0022241459764780567
omission	3di_af__freerate__tien2013__coverage_confidence	aa_at_baseline_mean_RSA	0.0006368617470671745	-0.0007913885842987989	0.0022441428398228234
