model_id	alphabet_model	rate_model	rsa_scale	controls	term	coefficient_baseline	marker_cluster_standard_error_baseline	t_statistic_baseline	p_value_conditional_cluster_t_baseline	ci95_lower_baseline	ci95_upper_baseline	bh_q_across_all_72_focal_tests_baseline	coefficient_sensitivity	marker_cluster_standard_error_sensitivity	t_statistic_sensitivity	p_value_conditional_cluster_t_sensitivity	ci95_lower_sensitivity	ci95_upper_sensitivity	bh_q_across_all_72_focal_tests_sensitivity	coefficient_change	coefficient_sign_changed
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_by_rsa	-0.009949073862234235	0.04236221118839883	-0.23485728395969221	0.814865124675833	-0.09413506680877677	0.07423691908430831	0.9376194888320681	-0.00357571106076944	0.04184716527821593	-0.08544691228179371	0.9321002047331522	-0.08673815849008276	0.07958673636854388	0.9847541591226833	0.006373362801464794	False
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_log1p_rate	0.09714750837816183	0.023320977310066	4.165670550017223	7.230009281103892e-05	0.050801966531910006	0.14349305022441367	0.00012696601664377566	0.09721483696103121	0.023411041642526498	4.1525207825199475	7.585993411092051e-05	0.05069031117969786	0.14373936274236457	0.00013321744526795798	6.732858286938315e-05	False
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	rsa_centered	-0.2650310295912656	0.032090282520891945	-8.258918550147408	1.3691639534048833e-12	-0.328803722804603	-0.20125833637792823	7.583061895780892e-12	-0.2698334162572404	0.03194619397381664	-8.446496520943873	5.645984237847193e-13	-0.33331976376133676	-0.20634706875314401	3.1270066548076764e-12	-0.004802386665974767	False
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_by_rsa	-0.023232242378802285	0.0429968593960303	-0.5403241703031736	0.5903383928155765	-0.10867946527610411	0.06221498051849955	0.8173916208215676	-0.017741056415362184	0.04254869753229111	-0.4169588599486064	0.6777238889139028	-0.10229765178305128	0.06681553895232692	0.856072280733351	0.005491185963440101	False
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_log1p_rate	0.21340429587571835	0.01505304113693433	14.176822738636309	1.9236939625522036e-24	0.1834895397894021	0.2433190519620346	1.538955170041763e-23	0.21376000107055643	0.015089728444730987	14.165927627756409	2.0168085953194156e-24	0.18377233666928794	0.24374766547182491	1.6134468762555325e-23	0.00035570519483807406	False
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	rsa_centered	-0.20978685206607603	0.03157014158128836	-6.64510330198889	2.4354326051543396e-09	-0.27252587446185544	-0.14704782967029661	7.306297815463019e-09	-0.21377863085787044	0.03135566867256372	-6.817862284816372	1.1124488929813823e-09	-0.2760914334158605	-0.15146582829988037	3.378257984436297e-09	-0.003991778791794409	False
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_by_rsa	-0.021250291230106244	0.050421374242459856	-0.42145402717348723	0.6744512617493004	-0.12145217723300608	0.07895159477279359	0.8829180153809023	-0.013279017141208688	0.049871966189673635	-0.2662621539865859	0.7906601913980453	-0.11238907008914983	0.08583103580673246	0.9181860287203106	0.007971274088897556	False
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_log1p_rate	0.0973804130370832	0.02280986460709044	4.2692236326037865	4.936673004090952e-05	0.05205060028524117	0.14271022578892523	9.113857853706374e-05	0.09767161207436	0.02290755677067382	4.2637289106011895	5.038317411654421e-05	0.05214765667595529	0.14319556747276468	9.3015090676697e-05	0.00029119903727679863	False
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	rsa_centered	-0.3050422127105028	0.037648176297132525	-8.102443271169456	2.8623452718849484e-12	-0.3798600518951713	-0.2302243735258343	1.472063282683688e-11	-0.31082181668267445	0.03750958423370812	-8.286463927354154	1.2022939377372199e-12	-0.3853642332643536	-0.2362794001009953	6.183225965505702e-12	-0.005779603972171643	False
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	aa_by_rsa	-0.03887921611947339	0.05092105662478094	-0.7635194298099592	0.44719585551934726	-0.14007411585639462	0.06231568361744783	0.6571041142325103	-0.031935081896423766	0.050445487114344614	-0.6330612255569388	0.5283354052817337	-0.13218488716523216	0.06831472337238462	0.7315413303900928	0.006944134223049625	False
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	aa_log1p_rate	0.21376273586500358	0.014206771889162263	15.04653819549774	4.6346901363649326e-26	0.18552976207770305	0.2419957096523041	8.34244224545688e-25	0.21429675972060017	0.014248818014107057	15.039616584929039	4.7723924653836617e-26	0.18598022809534143	0.2426132913458589	1.145374191692079e-24	0.0005340238555965882	False
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	rsa_centered	-0.24562787979268572	0.03674795598164606	-6.684123599020466	2.041415412778404e-09	-0.31865672026827285	-0.17259903931709858	6.3905178139150044e-09	-0.25044793051494235	0.03655437333794315	-6.851380769123442	9.549444238242974e-10	-0.3230920661646915	-0.1778037948651932	3.125272659788609e-09	-0.004820050722256636	False
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	aa_by_rsa	-0.0024607011720193003	0.041848532932314574	-0.05880017767884995	0.9532445873776911	-0.08562586652646145	0.08070446418242286	0.9759879982983334	-0.0028874267222312408	0.04190344015995435	-0.06890667475532603	0.9452202406831126	-0.0861617086536679	0.08038685520920541	0.9847541591226833	-0.00042672555021194044	False
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	aa_log1p_rate	0.08172043993478524	0.02197615858477893	3.718595295876061	0.0003519348748730702	0.03804744271133159	0.1253934371582389	0.000539134276401299	0.0790626179509244	0.021922184876888906	3.606511777677545	0.0005143070557262674	0.035496882130127944	0.12262835377172085	0.0007878746385593885	-0.0026578219838608447	False
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	rsa_centered	-0.24059056285921843	0.03128551602903623	-7.690158047446787	1.9804162945841556e-11	-0.3027639517797352	-0.17841717393870166	9.505998214003946e-11	-0.2434582705475587	0.03114070950693928	-7.818006538781891	1.0887905352441222e-11	-0.30534388693435077	-0.18157265416076662	5.226194569171786e-11	-0.002867707688340271	False
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_by_rsa	-0.021376686926119458	0.04231901569559112	-0.5051319501352798	0.6147289170382193	-0.10547683790759885	0.06272346405535995	0.8351034344670148	-0.022681237320490634	0.042382332195404965	-0.5351578392599571	0.5938905100457179	-0.10690721654032667	0.0615447418993454	0.7918540133942905	-0.0013045503943711761	False
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_log1p_rate	0.1998976985491284	0.014200016741165233	14.0772861182363	2.9642747938327972e-24	0.1716781491989778	0.22811724789927898	1.9402525923269217e-23	0.19961273429268642	0.01428558696445708	13.973015934824954	4.668676424051337e-24	0.1712231321050566	0.22800233648031623	3.0558609321063294e-23	-0.0002849642564419774	False
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	rsa_centered	-0.18895643847985905	0.030735769798107996	-6.147769836937374	2.243961025437094e-08	-0.25003732228742304	-0.12787555467229508	5.983896067832251e-08	-0.19073638598544923	0.030567724610182517	-6.239796661931206	1.494256320583592e-08	-0.25148331529421525	-0.1299894566766832	3.984683521556246e-08	-0.0017799475055901848	False
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_by_rsa	-0.011491898934213107	0.049663900115837205	-0.23139340461399813	0.8175463729479686	-0.1101884642824039	0.08720466641397769	0.9376194888320681	-0.011540118834771174	0.04972679816358825	-0.23207041798281847	0.8170221525871724	-0.11036168083577529	0.08728144316623294	0.9337396029567684	-4.821990055806774e-05	False
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_log1p_rate	0.08238110499102907	0.021536558517695592	3.8251749890002316	0.00024372866963056855	0.03958172052546924	0.1251804894565889	0.0003899658714089097	0.07964878266864243	0.02148731324961871	3.7067818457971144	0.0003664171858319907	0.03694726282522268	0.12235030251206219	0.0005862674973311851	-0.0027323223223866405	False
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	rsa_centered	-0.2767077068139974	0.03660229703140509	-7.559845399226715	3.637818258356841e-11	-0.34944708073404873	-0.2039683328939461	1.6370182162605785e-10	-0.28020403357205276	0.03643169390195328	-7.691216179136531	1.9706477224218676e-11	-0.352604369622036	-0.2078036975220695	8.867914750898405e-11	-0.0034963267580553348	False
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_by_rsa	-0.03575865544654696	0.05001135071854165	-0.7150107912060347	0.47649503399809623	-0.13514570585602179	0.06362839496292788	0.6861528489572586	-0.03692251355971144	0.050093526119242414	-0.7370715623376412	0.46303948413858276	-0.13647287031013733	0.06262784319071446	0.6667768571595591	-0.0011638581131644815	False
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_log1p_rate	0.20015784058255798	0.013405661400397088	14.930844111625042	7.566631407093876e-26	0.17351690555019042	0.22679877561492554	1.0895949226215182e-24	0.1997655377405773	0.013482220749692114	14.816960903502432	1.2279100004355562e-25	0.17297245708929768	0.2265586183918569	1.768190400627201e-24	-0.00039230284198069065	False
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	rsa_centered	-0.22071180015948527	0.035695157271548976	-6.183242126668113	1.9189145725768677e-08	-0.29164842442878913	-0.14977517589018138	5.313917277905172e-08	-0.2228876616818453	0.03550448759189362	-6.277732106538977	1.2629001592137452e-08	-0.2934453700292395	-0.1523299533344511	3.4972619793611406e-08	-0.0021758615223600175	False
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	aa_by_rsa	0.026626232376488413	0.04303683980496355	0.6186846547551929	0.5377223316640674	-0.05890044318227827	0.11215290793525509	0.759137409408095	0.03461764456037407	0.04239143616319384	0.8166188195914597	0.41635149736662536	-0.049626426882378546	0.11886171600312669	0.6117817920489189	0.007991412183885657	False
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	aa_log1p_rate	0.09616114276359425	0.024193028011503564	3.9747460598098967	0.00014400647498007832	0.04808258339675665	0.14423970213043186	0.00023564695905830995	0.09592992929161753	0.024497349175100793	3.915931009756807	0.00017736804583394416	0.04724659556070953	0.14461326302252553	0.00029023862045554497	-0.0002312134719767156	False
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	rsa_centered	-0.2328721080774002	0.032997225221061244	-7.057323957311543	3.7219593337105023e-10	-0.29844715932676663	-0.16729705682803375	1.4104266948797692e-09	-0.23853782307469054	0.032709271919813716	-7.2926668517557465	1.2578478464408393e-10	-0.3035406276469431	-0.173535018502438	4.766581312828444e-10	-0.00566571499729035	False
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	aa_by_rsa	0.016467352550742134	0.04373228261613021	0.37654912036693733	0.7074150963686292	-0.07044136945822574	0.10337607455971001	0.8910740105609404	0.02383414791458527	0.04315988760939551	0.5522291468941822	0.5821912211656666	-0.06193705929881878	0.10960535512798932	0.790901281583547	0.007366795363843135	False
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	aa_log1p_rate	0.20707566170983127	0.014690410933726701	14.09597475822957	2.73288279478997e-24	0.1778815569510312	0.23626976646863135	1.9402525923269217e-23	0.20660067245240488	0.014768551653853393	13.989230446879933	4.3498956627635636e-24	0.17725127943246644	0.23595006547234332	3.0558609321063294e-23	-0.00047498925742639475	False
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	rsa_centered	-0.18421386054138536	0.031804893881423976	-5.7919973331204115	1.0582780929451924e-07	-0.2474194038039701	-0.12100831727880064	2.457936215872705e-07	-0.1893717831662656	0.03157542130171238	-5.997442800739312	4.339688037593141e-08	-0.25212129789693283	-0.1266222684355984	1.007927544215181e-07	-0.00515792262488024	False
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	aa_by_rsa	0.022824713896484328	0.05132976363874561	0.44466820570464083	0.6576512912967983	-0.07918240514697429	0.12483183293994295	0.8768683883957311	0.03260805994586083	0.05059898115313638	0.6444410381935055	0.520965810469687	-0.06794678247055043	0.13316290236227207	0.7315413303900928	0.009783346049376501	False
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	aa_log1p_rate	0.09780208655245787	0.023630720222984077	4.138768756499097	7.976290786438542e-05	0.05084099575466067	0.14476317735025507	0.00013673641348180358	0.09788038696152555	0.023936404069702273	4.089185103848517	9.550132060101138e-05	0.05031181375330268	0.14544896016974843	0.00016371654960173378	7.830040906768587e-05	False
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	rsa_centered	-0.26735947624792566	0.03886898252491612	-6.878478902207966	8.439423418579358e-10	-0.3446034112759913	-0.19011554121986002	2.8935166006557796e-09	-0.2741423302371078	0.03855298196504188	-7.110794451274556	2.910977439530781e-10	-0.3507582805552544	-0.19752637991896127	1.047951878231081e-09	-0.006782853989182158	False
