model_id	alphabet_model	rate_model	rsa_scale	controls	contrast	baseline_mean_rsa	baseline_mean_aa_log1p_rate	baseline_estimate	sensitivity_estimate	sensitivity_minus_baseline	paired_draws	excluded_singular_draws	percentile_lower	percentile_upper
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_at_RSA_025	0.2650488784086919	0.6052395704588825	0.20015784058255798	0.1997655377405773	-0.00039230284198069065	2000	0	-0.002249775018080697	0.0009506200811202809
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	rsa_at_aa_log_rate_0	0.2650488784086919	0.6052395704588825	-0.22071180015948527	-0.2228876616818453	-0.0021758615223600175	2000	0	-0.006062240649087487	0.001553165703317961
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	interaction	0.2650488784086919	0.6052395704588825	-0.03575865544654696	-0.03692251355971144	-0.0011638581131644815	2000	0	-0.008351007317316863	0.005055145986603955
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_at_baseline_mean_RSA	0.2650488784086919	0.6052395704588825	0.19961971292468458	0.1992098953234739	-0.00040981760121067135	2000	0	-0.002278136967118882	0.0008934205880113775
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.2650488784086919	0.6052395704588825	-0.24235435342214054	-0.24523462792898731	-0.002880274506846775	2000	0	-0.008373075662688018	0.0011168769177864074
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_at_RSA_025	0.2650488784086919	0.6052395704588825	0.08238110499102907	0.07964878266864243	-0.0027323223223866405	2000	0	-0.006684485468782072	0.0005716174236384655
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	rsa_at_aa_log_rate_0	0.2650488784086919	0.6052395704588825	-0.2767077068139974	-0.28020403357205276	-0.0034963267580553348	2000	0	-0.008775573664513625	0.0009686436419578696
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	interaction	0.2650488784086919	0.6052395704588825	-0.011491898934213107	-0.011540118834771174	-4.821990055806774e-05	2000	0	-0.006918271816104217	0.006465444889849994
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_at_baseline_mean_RSA	0.2650488784086919	0.6052395704588825	0.08220816480128312	0.0794751168234761	-0.0027330479778070182	2000	0	-0.0066354095185421815	0.0005642439821478745
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	rsa_at_baseline_mean_aa_log_rate	0.2650488784086919	0.6052395704588825	-0.28366305878869746	-0.2871885701386541	-0.003525511349956656	2000	0	-0.010553981976028035	0.0010746072516801166
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_at_RSA_025	0.30986614762374826	0.6052395704588825	0.1998976985491284	0.19961273429268642	-0.0002849642564419774	2000	0	-0.0021949730271645118	0.0012166147717708748
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	rsa_at_aa_log_rate_0	0.30986614762374826	0.6052395704588825	-0.18895643847985905	-0.19073638598544923	-0.0017799475055901848	2000	0	-0.005161278064437096	0.001470423828649266
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	interaction	0.30986614762374826	0.6052395704588825	-0.021376686926119458	-0.022681237320490634	-0.0013045503943711761	2000	0	-0.007319032561204592	0.003922414426033795
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_at_baseline_mean_RSA	0.30986614762374826	0.6052395704588825	0.19861795865390267	0.19825489599096865	-0.00036306266293401057	2000	0	-0.0022253250656722972	0.0009285614665826281
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.30986614762374826	0.6052395704588825	-0.2018944552928576	-0.20446396831877897	-0.0025695130259213717	2000	0	-0.007242827875031338	0.0007849510412206015
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	aa_at_RSA_025	0.30986614762374826	0.6052395704588825	0.08172043993478524	0.0790626179509244	-0.0026578219838608447	2000	0	-0.006671238761124121	0.0007146197590364513
