model_id	alphabet_model_full	rate_model_full	rsa_scale_full	controls_full	term	coefficient_full	marker_cluster_standard_error_full	t_statistic_full	p_value_conditional_cluster_t_full	ci95_lower_full	ci95_upper_full	bh_q_across_all_72_focal_tests_full	alphabet_model_omission	rate_model_omission	rsa_scale_omission	controls_omission	coefficient_omission	marker_cluster_standard_error_omission	t_statistic_omission	p_value_conditional_cluster_t_omission	ci95_lower_omission	ci95_upper_omission	bh_q_across_all_72_focal_tests_omission	omission_minus_full
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_log1p_rate	0.2001578405825579	0.013405661400397	14.930844111625042	7.566631407093876e-26	0.1735169055501904	0.2267987756149255	1.0895949226215182e-24	3di_af	gamma	tien2013	coverage_confidence	0.1994060683300304	0.0134705504337411	14.803112115638262	1.712643794067847e-25	0.1726318907303632	0.2261802459296976	2.4662070634577e-24	-0.0007517722525274828
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	rsa_centered	-0.2207118001594852	0.0356951572715489	-6.183242126668113	1.918914572576868e-08	-0.2916484244287891	-0.1497751758901813	5.313917277905172e-08	3di_af	gamma	tien2013	coverage_confidence	-0.2218311378106209	0.0358881527958333	-6.181180153590292	1.9972352024777224e-08	-0.2931627275185532	-0.1504995481026886	5.5308051760921554e-08	-0.001119337651135699
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_by_rsa	-0.0357586554465469	0.0500113507185416	-0.7150107912060347	0.4764950339980962	-0.1351457058560217	0.0636283949629278	0.6861528489572586	3di_af	gamma	tien2013	coverage_confidence	-0.0319392624947791	0.0501449464429989	-0.6369388095983973	0.5258371851774568	-0.1316077733247243	0.067729248335166	0.7423583790740567	0.0038193929517677944
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_log1p_rate	0.082381104991029	0.0215365585176955	3.825174989000232	0.0002437286696305	0.0395817205254692	0.1251804894565889	0.0003899658714089	3di_af	gamma	tien2013	composition_adjusted	0.0841650582595152	0.0217594448901537	3.867978189903196	0.0002113360524486	0.0409158053930647	0.1274143111259658	0.0003381376839179	0.0017839532684861964
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	rsa_centered	-0.2767077068139974	0.036602297031405	-7.559845399226715	3.6378182583568405e-11	-0.3494470807340487	-0.2039683328939461	1.6370182162605782e-10	3di_af	gamma	tien2013	composition_adjusted	-0.2774330510133376	0.0368314471098848	-7.532504769243244	4.367459587847098e-11	-0.3506395403118544	-0.2042265617148207	1.965356814531194e-10	-0.0007253441993401721
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_by_rsa	-0.0114918989342131	0.0496639001158372	-0.2313934046139981	0.8175463729479686	-0.1101884642824039	0.0872046664139776	0.937619488832068	3di_af	gamma	tien2013	composition_adjusted	-0.0082013832880556	0.0498840773842003	-0.1644088398165563	0.8697906820946667	-0.1073513886163223	0.0909486220402109	0.9568617030391846	0.0032905156461575
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_log1p_rate	0.1998976985491284	0.0142000167411652	14.0772861182363	2.964274793832797e-24	0.1716781491989778	0.2281172478992789	1.9402525923269217e-23	3di_af	gamma	miller1987	coverage_confidence	0.1990470085617761	0.0142619813280088	13.956476592131782	6.40824254287549e-24	0.170699776362357	0.2273942407611952	4.194486028063957e-23	-0.0008506899873522988
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	rsa_centered	-0.188956438479859	0.0307357697981079	-6.147769836937374	2.243961025437094e-08	-0.250037322287423	-0.127875554672295	5.983896067832251e-08	3di_af	gamma	miller1987	coverage_confidence	-0.1901080026920533	0.0309057743044162	-6.15121306521959	2.2784802475368596e-08	-0.2515365756484338	-0.1286794297356728	6.075947326764959e-08	-0.0011515642121943115
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_by_rsa	-0.0213766869261194	0.0423190156955911	-0.5051319501352798	0.6147289170382193	-0.1054768379075988	0.0627234640553599	0.8351034344670148	3di_af	gamma	miller1987	coverage_confidence	-0.0180549171426911	0.0424283261625512	-0.4255392275792161	0.6714944457471045	-0.1023858095973402	0.0662759753119579	0.8583296210962916	0.0033217697834283
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	aa_log1p_rate	0.0817204399347852	0.0219761585847789	3.718595295876061	0.000351934874873	0.0380474427113315	0.1253934371582389	0.0005391342764012	3di_af	gamma	miller1987	composition_adjusted	0.0833834603004044	0.022213338089498	3.753756412676504	0.0003138855426391	0.0392320455519802	0.1275348750488286	0.00048084593766	0.0016630203656192027
