model_id	alphabet_model	rate_model	rsa_scale	controls	sites	markers	parameters_including_marker_intercepts	design_rank	design_condition_number	cluster_reference_df	within_marker_r_squared	residual_sum_squares	independent_coefficient_max_difference	independent_covariance_max_difference
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	16571	72	77	77	236.46607348504168	71.0	0.05524337255253453	2377.3394133375646	8.659739592076221e-15	4.0245584642661925e-16
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	16571	72	97	97	286.693205340505	71.0	0.060434075151565736	2364.2777829524666	4.066191827689636e-15	2.1510571102112408e-16
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	16571	72	77	77	237.80521948282518	71.0	0.054810669278619994	2378.4282467127127	5.10702591327572e-15	1.3877787807814457e-16
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	16571	72	97	97	287.9291983111871	71.0	0.060202655908663916	2364.8601150273857	5.10702591327572e-15	1.734723475976807e-16
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	16571	72	77	77	237.482416890842	71.0	0.054511580945771465	2694.4066382480732	9.769962616701378e-15	3.157196726277789e-16
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	16571	72	97	97	287.71385458097114	71.0	0.05978166588929268	2679.388208016893	4.538036613155327e-15	2.671474153004283e-16
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	16571	72	77	77	238.84203608198345	71.0	0.05408317728604617	2695.62748203775	3.774758283725532e-15	1.7694179454963432e-16
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	16571	72	97	97	288.9824390808874	71.0	0.05959550191265173	2679.9187290093823	4.107825191113079e-15	9.367506770274758e-17
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	16571	72	77	77	236.46607348504168	71.0	0.062253631251892094	2363.0043414439674	8.659739592076221e-15	1.6479873021779667e-16
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	16571	72	97	97	286.693205340505	71.0	0.06796047378884784	2348.623807282298	5.551115123125783e-15	2.7929047963226594e-16
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	16571	72	77	77	237.80521948282518	71.0	0.06197049869405569	2363.717800312664	3.9968028886505635e-15	1.5265566588595902e-16
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	16571	72	97	97	287.9291983111871	71.0	0.06784071727242225	2348.925578824861	6.439293542825908e-15	2.1163626406917047e-16
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	16571	72	77	77	237.482416890842	71.0	0.06172716170497983	2813.5173159378082	6.439293542825908e-15	1.8388068845354155e-16
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	16571	72	97	97	287.71385458097114	71.0	0.0681132098773154	2794.368027607211	4.3576253716537394e-15	1.8041124150158794e-16
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	16571	72	77	77	238.84203608198345	71.0	0.06140192231042285	2814.492583078733	4.218847493575595e-15	1.700029006457271e-16
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	16571	72	97	97	288.9824390808874	71.0	0.06798301747015723	2794.7584242775533	3.941291737419306e-15	2.0469737016526324e-16
3di_llm__gamma__tien2013__coverage_confidence	3di_llm	gamma	tien2013	coverage_confidence	16571	72	77	77	236.46607348504168	71.0	0.055811994651109864	2304.421693290958	1.021405182655144e-14	2.498001805406602e-16
3di_llm__gamma__tien2013__composition_adjusted	3di_llm	gamma	tien2013	composition_adjusted	16571	72	97	97	286.693205340505	71.0	0.06138807995589657	2290.812484248694	5.190292640122607e-15	1.8908485888147197e-16
3di_llm__gamma__miller1987__coverage_confidence	3di_llm	gamma	miller1987	coverage_confidence	16571	72	77	77	237.80521948282518	71.0	0.05544730034871759	2305.311780283264	5.329070518200751e-15	1.5612511283791264e-16
3di_llm__gamma__miller1987__composition_adjusted	3di_llm	gamma	miller1987	composition_adjusted	16571	72	97	97	287.9291983111871	71.0	0.061199834238745976	2291.271924012611	4.440892098500626e-15	1.231653667943533e-16
3di_llm__freerate__tien2013__coverage_confidence	3di_llm	freerate	tien2013	coverage_confidence	16571	72	77	77	237.482416890842	71.0	0.05503680958857582	2614.8907578332314	3.9968028886505635e-15	2.0816681711721685e-16
3di_llm__freerate__tien2013__composition_adjusted	3di_llm	freerate	tien2013	composition_adjusted	16571	72	97	97	287.71385458097114	71.0	0.06073879418600148	2599.1122947392096	4.884981308350689e-15	1.3183898417423734e-16
3di_llm__freerate__miller1987__coverage_confidence	3di_llm	freerate	miller1987	coverage_confidence	16571	72	77	77	238.84203608198345	71.0	0.05469375409677346	2615.8400568578286	3.9968028886505635e-15	1.700029006457271e-16
3di_llm__freerate__miller1987__composition_adjusted	3di_llm	freerate	miller1987	composition_adjusted	16571	72	97	97	288.9824390808874	71.0	0.06059705205243593	2599.5045218638393	3.95516952522712e-15	1.491862189340054e-16
