model_id	alphabet_model	rate_model	rsa_scale	controls	term	coefficient	marker_cluster_standard_error	t_statistic	p_value_conditional_cluster_t	ci95_lower	ci95_upper	bh_q_across_all_72_focal_tests
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_log1p_rate	0.16510662801548817	0.015652048412101813	10.548563591704164	3.4859905387625616e-16	0.1338973298909791	0.19631592613999724	8.366377293030148e-15
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	rsa_centered	-0.2047396445248386	0.040490738761133016	-5.056456137603688	3.2082337338914657e-06	-0.28547588453676953	-0.12400340451290763	9.456312543457387e-06
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_by_rsa	0.03763944097880312	0.05439023657605525	0.6920256896873566	0.4911781948126117	-0.07081161051757678	0.14609049247518302	0.5106296819847622
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_log1p_rate	0.06309342477076947	0.025878076548588917	2.4381033363242692	0.017269362817447786	0.011494005664109193	0.11469284387742976	0.031084853071406016
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	rsa_centered	-0.23553750926849334	0.038500063138133145	-6.117847350624228	4.647789715770014e-08	-0.31230445482441177	-0.15877056371257492	2.574160457964931e-07
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_by_rsa	0.05194711981597457	0.052752669274367274	0.9847296929335835	0.32810074890675667	-0.053238715219803744	0.15713295485175288	0.37497228446486475
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_log1p_rate	0.16250964587257063	0.016389820063572525	9.915279438226367	4.89565067145412e-15	0.12982927285662704	0.19519001888851423	3.916520537163296e-14
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	rsa_centered	-0.17230263380745098	0.03523828491112086	-4.889643018723477	6.0714078091190605e-06	-0.24256577830023499	-0.10203948931466697	1.6813129317560474e-05
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_by_rsa	0.03684468178725096	0.04690339104839315	0.785544093160258	0.43474829100107737	-0.05667802372316243	0.13036738729766434	0.4671921933145906
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	aa_log1p_rate	0.06043373110084093	0.02620430359433656	2.3062521346265523	0.024019497216813533	0.008183833739900268	0.1126836284617816	0.039304631809331234
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	rsa_centered	-0.20086108291260998	0.033041812763521104	-6.078997068053273	5.4507692901838495e-08	-0.2667445863340298	-0.13497757949119016	2.803252777808837e-07
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	aa_by_rsa	0.047191388922508744	0.04535134884590496	1.0405729955873173	0.30160430974549596	-0.04323663233163679	0.13761941017665427	0.36192517169459515
