model_id	alphabet_model	rate_model	rsa_scale	controls	term	coefficient_baseline	marker_cluster_standard_error_baseline	t_statistic_baseline	p_value_conditional_cluster_t_baseline	ci95_lower_baseline	ci95_upper_baseline	bh_q_across_all_72_focal_tests_baseline	coefficient_sensitivity	marker_cluster_standard_error_sensitivity	t_statistic_sensitivity	p_value_conditional_cluster_t_sensitivity	ci95_lower_sensitivity	ci95_upper_sensitivity	bh_q_across_all_72_focal_tests_sensitivity	coefficient_change	coefficient_sign_changed
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_by_rsa	0.03480388487455295	0.046606569460551174	0.7467592074978127	0.45767469245577364	-0.05812697519934952	0.12773474494845544	0.4918295202509806	0.03780193985295215	0.046771137168277785	0.8082322163120521	0.42165675649148016	-0.05545705891033335	0.13106093861623766	0.45998918889979656	0.002998054978399202	False
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_log1p_rate	0.06962851582532531	0.02509875565132065	2.774181987052477	0.007066340060428512	0.0195830184531966	0.11967401319745402	0.013388854851338233	0.06409705465116608	0.025644867906550278	2.4994105988276214	0.014753794150552392	0.012962640369623031	0.11523146893270914	0.02723777381640442	-0.00553146117415923	False
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	rsa_centered	-0.2080017921327528	0.03600807692670541	-5.776531541968802	1.8664411211949885e-07	-0.2797998583096321	-0.1362037259558735	8.958917381735944e-07	-0.20985943851368785	0.036092355098533334	-5.814512185219407	1.6007819180290369e-07	-0.2818255505923376	-0.13789332643503807	7.683753206539377e-07	-0.0018576463809350519	False
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_by_rsa	0.02215753099046101	0.04755508251250605	0.4659340247098513	0.6426889853753599	-0.07266461039270189	0.11697967237362392	0.6517409429158579	0.024542451476136942	0.047585433949697616	0.5157555461631531	0.6076275388138636	-0.07034020895391867	0.11942511190619255	0.6161856731633546	0.002384920485675932	False
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_log1p_rate	0.1663893260755369	0.01732699917274827	9.602893404487048	1.8235903149937507e-14	0.13184027099036885	0.20093838116070492	1.1936227516322732e-13	0.16523658935576419	0.01743086279733151	9.479541619767682	3.070710087684072e-14	0.130480436085198	0.19999274262633038	2.0099193301204833e-13	-0.0011527367197727012	False
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	rsa_centered	-0.17354643307832435	0.03729397896099256	-4.653470557803562	1.4742420243706798e-05	-0.24790851508816975	-0.09918435106847895	3.790908062667462e-05	-0.1753505683550432	0.037408109090548904	-4.687501523549215	1.2989101400414035e-05	-0.24994021937978883	-0.10076091733029757	3.340054645820752e-05	-0.0018041352767188545	False
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_by_rsa	0.03426030266419195	0.054737035360344966	0.6259071657544011	0.5333828177518876	-0.07488224596809936	0.14340285129648325	0.5486223268305129	0.03755149718409484	0.05493105024292404	0.6836114914611896	0.49644552415185217	-0.07197790613657835	0.14708090050476802	0.5106296819847622	0.003291194519902889	False
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_log1p_rate	0.07208844321863135	0.02439326759405238	2.9552598043981657	0.00423659454265759	0.023449649079387	0.1207272373578757	0.008244183974901256	0.06668985578413518	0.024907198366499607	2.6775334103346444	0.009206366973374841	0.0170263127896379	0.11635339877863246	0.017915092488729422	-0.0053985874344961715	False
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	rsa_centered	-0.24158479295286497	0.04206402700418388	-5.743263547468621	2.1345745658349912e-07	-0.3254580806227367	-0.15771150528299327	9.605585546257462e-07	-0.24345805366228046	0.04217869389508501	-5.772062413024366	1.900429823849062e-07	-0.327559980618776	-0.15935612670578495	8.551934207320779e-07	-0.0018732607094154863	False
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	aa_by_rsa	0.017017057460933762	0.05559532722546717	0.3060879090057513	0.7604334543672939	-0.09383687654349382	0.12787099146536135	0.7604334543672939	0.01954835163148058	0.05563478824858104	0.3513692106481444	0.7263519630199866	-0.09138426541827331	0.1304809686812345	0.7263519630199866	0.0025312941705468196	False
