study_role	lineage_group	taxa	taxa_with_any_model	taxa_with_any_usable_marker	taxa_with_at_least10_usable_markers	taxa_with_at_least50_usable_markers	marker_slots	eligible_markers	usable_markers	matrix_columns	observed	noncanonical_or_missing_sequence	no_structural_mapping	invalid_native_feature	low_feature_plddt	high_feature_pae
ingroup	Aphelidiomycota	2	0	0	0	0	250	0	0	98054	0	51951	46103	0	0	0
ingroup	Ascomycota	234	0	0	0	0	29250	0	0	11472318	0	816912	10655406	0	0	0
ingroup	Basidiobolomycota	2	0	0	0	0	250	0	0	98054	0	19574	78480	0	0	0
ingroup	Basidiomycota	157	16	16	13	7	19625	579	579	7697239	121594	616438	6936669	121	22295	122
ingroup	Blastocladiomycota	9	7	7	7	7	1125	449	445	441243	95946	80527	248533	115	15975	147
ingroup	Calcarisporiellomycota	1	1	1	1	1	125	70	70	49027	15350	2054	29343	15	2236	29
ingroup	Chytridiomycota	12	9	9	9	8	1500	535	531	588324	117489	66661	383004	123	20837	210
ingroup	Entomophthoromycota	4	3	3	3	1	500	126	125	196108	28348	58830	102788	29	6076	37
ingroup	Glomeromycota	12	4	4	4	2	1500	166	166	588324	33043	76820	469169	35	9176	81
ingroup	Kickxellomycota	12	4	4	4	3	1500	224	224	588324	47837	186186	346113	55	8059	74
ingroup	Microsporidia	12	6	6	6	0	1500	204	204	588324	41846	393014	145343	25	8052	44
ingroup	Monoblepharomycota	3	2	2	2	1	375	113	113	147081	23850	17648	101444	28	4086	25
ingroup	Mortierellomycota	12	7	7	7	4	1500	368	366	588324	81692	50880	441398	88	14206	60
ingroup	Mucoromycota	12	5	5	5	4	1500	312	312	588324	67908	66056	442125	79	12075	81
ingroup	Neocallimastigomycota	6	4	4	4	0	750	131	130	294162	26974	100209	161243	27	5701	8
ingroup	Olpidiomycota	1	0	0	0	0	125	0	0	49027	0	38398	10629	0	0	0
ingroup	Rozellomycota	2	0	0	0	0	250	0	0	98054	0	15324	82730	0	0	0
ingroup	Sanchytriomycota	2	2	2	2	2	250	130	128	98054	27210	31649	34143	23	4945	84
ingroup	Zoopagomycota	6	3	3	3	3	750	212	212	294162	45563	75018	164747	48	8703	83
outgroup	Amoebozoa	5	0	0	0	0	625	0	0	245135	0	22606	222529	0	0	0
outgroup	Apusomonadida	1	0	0	0	0	125	0	0	49027	0	5693	43334	0	0	0
outgroup	Choanoflagellatea	2	0	0	0	0	250	0	0	98054	0	11080	86974	0	0	0
outgroup	Corallochytrea	1	1	1	1	1	125	67	67	49027	14699	1816	30185	10	2296	21
outgroup	Filasterea	1	1	1	1	0	125	16	16	49027	3909	4965	39321	5	825	2
outgroup	Ichthyosporea	5	4	4	2	2	625	138	138	245135	30080	117428	92867	28	4701	31
outgroup	Metazoa	9	5	5	3	2	1125	161	160	441243	36586	72527	326497	29	5561	43
outgroup	Nucleariida	1	0	0	0	0	125	0	0	49027	0	9494	39533	0	0	0
