marker	taxon_set_sha256	split_taxa	split_taxon_count	aa_branch_length	3di_af_branch_length	3di_af_empirical_branch_length	3di_llm_branch_length
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F1214568	1	0.1056577972	0.0567354541	0.064780191	0.0503393858
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F1214568,F1328300,F136370,F1738374,F195108,F2024903,F318760	7	0.0345001872	0.0344090996	0.0372794885	0.0324399807
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F1214568,F1328300,F1738374,F195108	4	0.0086149645	2.0515e-06	2.0515e-06	2.0515e-06
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F1328300	1	2.6642e-06	0.0059694546	0.0064327016	0.0053803806
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F1328300,F1738374,F195108	3	0.0182461593	0.0326355334	0.0350067474	0.0304923496
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F1328300,F195108	2	0.0156414914	0.023640297	0.026035493	0.0209493275
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F136370	1	0.0069268267	2.2397e-06	2.6909e-06	2.291e-06
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F136370,F2024903,F318760	3	0.0384604661	2.1737e-06	2.1737e-06	2.1737e-06
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F136370,F318760	2	0.0414960498	0.0126797814	0.0121296063	0.0128993411
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F1738374	1	0.0488190248	0.0294162669	0.032686782	0.0268835417
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F195108	1	2.1769e-06	2.1769e-06	2.1769e-06	2.1769e-06
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F2024903	1	0.0805268186	0.0682325925	0.0764263318	0.060851597
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F241526	1	0.1389514501	0.0442836322	0.0485589102	0.0394780615
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F241526,F2600215,F2600216,F29833,F34349,F5210,F65672	7	0.1012068272	0.0474684796	0.0519754756	0.0395515038
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F241526,F29833	2	0.0959883408	0.0155026263	0.0164134831	0.0183629844
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F2600215	1	2.1769e-06	0.1381967331	0.1497681737	0.1255362038
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F2600215,F2600216	2	0.0161581446	2.9723e-06	2.9723e-06	2.9723e-06
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F2600215,F2600216,F34349,F5210,F65672	5	0.0298058945	0.0031300097	0.0078667066	0.0036075236
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F2600215,F2600216,F5210,F65672	4	0.0703089344	0.0191599217	0.0223004971	0.0144324748
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F2600215,F2600216,F65672	3	0.1053545157	0.0574702014	0.0645771258	0.0531849994
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F2600216	1	2.0767e-06	2.2437e-06	0.0063709918	2.7876e-06
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F29833	1	0.1499611176	0.0124362208	0.0131083487	0.0120678343
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F318760	1	0.0328136483	0.174096072	0.2007450949	0.157362437
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F34349	1	0.0842944712	0.0579988948	0.0586675303	0.0559551496
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F5210	1	0.1459434499	0.0554901985	0.0545987229	0.0479365804
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F5454	1	0.2100115353	0.0485448208	0.0561718067	0.0393863869
115730at2759	3c9bd9b18df0d8646d662420886732a24f74a5338af7c28228e4beaf8fb2f638	F65672	1	0.0091903085	0.1447056686	0.1569288477	0.1298742823
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1004511	1	0.0377432886	0.0168125703	0.0210240534	0.0131210558
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1004511,F100910,F1080349,F1099800,F112417,F1125753,F113071,F1230402,F1314805,F1323573,F1331295,F135589,F1424756,F1498855,F150792,F152956,F170446,F1750568,F1814901,F183962,F1938712,F2020962,F202698,F208348,F208960,F2268995,F230603,F257869,F2600213,F2600216,F264483,F27291,F2778381,F2829486,F2831993,F29833,F29899,F29902,F34480,F36035,F370292,F378194,F383834,F40492,F418498,F41956,F44089,F44565,F45228,F456999,F48021,F48563,F48565,F48578,F48586,F48593,F500713,F5414,F5479,F5606,F574677,F610337,F63378,F67723,F68786,F69979,F71933,F76775,F87326,F89922	70	0.0464453765	0.0331821294	0.0312784593	0.0216134622
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1004511,F100910,F1080349,F1099800,F112417,F1125753,F113071,F1230402,F1314805,F1323573,F1331295,F135589,F1424756,F1498855,F150792,F152956,F170446,F1750568,F183962,F1938712,F2020962,F202698,F208348,F208960,F2268995,F230603,F257869,F2600213,F2600216,F264483,F27291,F2778381,F2829486,F2831993,F29833,F29899,F29902,F34480,F36035,F370292,F378194,F383834,F40492,F418498,F41956,F44089,F44565,F45228,F456999,F48021,F48563,F48565,F48578,F48586,F48593,F500713,F5414,F5479,F5606,F574677,F610337,F63378,F67723,F68786,F69979,F71933,F76775,F87326,F89922	69	0.0588802701	0.0879144992	0.06783084	0.0566520178
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1004511,F100910,F1099800,F112417,F113071,F1230402,F1314805,F1323573,F1331295,F135589,F1424756,F1498855,F150792,F152956,F170446,F1750568,F183962,F1938712,F2020962,F202698,F208348,F208960,F257869,F2600213,F2600216,F264483,F2778381,F2829486,F2831993,F29899,F29902,F34480,F370292,F378194,F40492,F418498,F41956,F44565,F45228,F456999,F48021,F48563,F48565,F48578,F48586,F48593,F500713,F5414,F5606,F574677,F63378,F67723,F68786,F69979,F71933,F76775,F87326,F89922	58	0.1858668809	0.0027318641	0.0032513087	0.0034450819
