marker	fit	warning
115730at2759	3di_af	WARNING: 4 near-zero internal branches (<0.0048) should be treated with caution
115730at2759	3di_af	WARNING: States(s) E, T, Y rarely appear in alignment and may cause numerical problems
115730at2759	3di_af_empirical	WARNING: 3 near-zero internal branches (<0.0048) should be treated with caution
115730at2759	3di_af_empirical	WARNING: States(s) E, T, Y rarely appear in alignment and may cause numerical problems
115730at2759	3di_llm	WARNING: 4 near-zero internal branches (<0.0048) should be treated with caution
115730at2759	3di_llm	WARNING: States(s) E, T, Y rarely appear in alignment and may cause numerical problems
129234at2759	aa	WARNING: 12 near-zero internal branches (<0.0060) should be treated with caution
129234at2759	aa	WARNING: 2 sequences contain more than 50% gaps/ambiguity
129234at2759	3di_af	WARNING: 2 sequences contain more than 50% gaps/ambiguity
129234at2759	3di_af	WARNING: 40 near-zero internal branches (<0.0060) should be treated with caution
129234at2759	3di_af_empirical	WARNING: 2 sequences contain more than 50% gaps/ambiguity
129234at2759	3di_af_empirical	WARNING: 43 near-zero internal branches (<0.0060) should be treated with caution
129234at2759	3di_llm	WARNING: 2 sequences contain more than 50% gaps/ambiguity
129234at2759	3di_llm	WARNING: 51 near-zero internal branches (<0.0060) should be treated with caution
201273at2759	aa	WARNING: 11 near-zero internal branches (<0.0090) should be treated with caution
201273at2759	3di_af	WARNING: 42 near-zero internal branches (<0.0090) should be treated with caution
201273at2759	3di_af	WARNING: States(s) N, M, S rarely appear in alignment and may cause numerical problems
201273at2759	3di_af_empirical	WARNING: 43 near-zero internal branches (<0.0090) should be treated with caution
201273at2759	3di_af_empirical	WARNING: States(s) N, M, S rarely appear in alignment and may cause numerical problems
201273at2759	3di_llm	WARNING: 42 near-zero internal branches (<0.0090) should be treated with caution
201273at2759	3di_llm	WARNING: States(s) N, M, S rarely appear in alignment and may cause numerical problems
207567at2759	aa	WARNING: 12 near-zero internal branches (<0.0058) should be treated with caution
207567at2759	aa	WARNING: 2 sequences contain more than 50% gaps/ambiguity
207567at2759	3di_af	WARNING: 2 sequences contain more than 50% gaps/ambiguity
207567at2759	3di_af	WARNING: 43 near-zero internal branches (<0.0058) should be treated with caution
207567at2759	3di_af_empirical	WARNING: 2 sequences contain more than 50% gaps/ambiguity
207567at2759	3di_af_empirical	WARNING: 38 near-zero internal branches (<0.0058) should be treated with caution
207567at2759	3di_llm	WARNING: 2 sequences contain more than 50% gaps/ambiguity
207567at2759	3di_llm	WARNING: 44 near-zero internal branches (<0.0058) should be treated with caution
260326at2759	aa	WARNING: 16 near-zero internal branches (<0.0066) should be treated with caution
260326at2759	aa	WARNING: 3 sequences contain more than 50% gaps/ambiguity
260326at2759	3di_af	WARNING: 3 sequences contain more than 50% gaps/ambiguity
260326at2759	3di_af	WARNING: 36 near-zero internal branches (<0.0066) should be treated with caution
260326at2759	3di_af_empirical	WARNING: 3 sequences contain more than 50% gaps/ambiguity
260326at2759	3di_af_empirical	WARNING: 40 near-zero internal branches (<0.0066) should be treated with caution
260326at2759	3di_llm	WARNING: 3 sequences contain more than 50% gaps/ambiguity
260326at2759	3di_llm	WARNING: 41 near-zero internal branches (<0.0066) should be treated with caution
319730at2759	aa	WARNING: 1 near-zero internal branches (<0.0025) should be treated with caution
319730at2759	3di_af	WARNING: 1 near-zero internal branches (<0.0025) should be treated with caution
319730at2759	3di_af_empirical	WARNING: 1 near-zero internal branches (<0.0025) should be treated with caution
319730at2759	3di_llm	WARNING: 1 near-zero internal branches (<0.0025) should be treated with caution
345792at2759	aa	WARNING: 1 sequences contain more than 50% gaps/ambiguity
345792at2759	3di_af	WARNING: 1 sequences contain more than 50% gaps/ambiguity
345792at2759	3di_af	WARNING: 9 near-zero internal branches (<0.0044) should be treated with caution
345792at2759	3di_af_empirical	WARNING: 1 sequences contain more than 50% gaps/ambiguity
345792at2759	3di_af_empirical	WARNING: 9 near-zero internal branches (<0.0044) should be treated with caution
345792at2759	3di_llm	WARNING: 1 sequences contain more than 50% gaps/ambiguity
345792at2759	3di_llm	WARNING: 9 near-zero internal branches (<0.0044) should be treated with caution
352891at2759	aa	WARNING: 4 near-zero internal branches (<0.0042) should be treated with caution
352891at2759	3di_af	WARNING: 28 near-zero internal branches (<0.0042) should be treated with caution
352891at2759	3di_af_empirical	WARNING: 27 near-zero internal branches (<0.0042) should be treated with caution
352891at2759	3di_llm	WARNING: 30 near-zero internal branches (<0.0042) should be treated with caution
4613677at2759	aa	WARNING: 29 near-zero internal branches (<0.0137) should be treated with caution
4613677at2759	aa	WARNING: States(s) W rarely appear in alignment and may cause numerical problems
4613677at2759	3di_af	WARNING: 86 near-zero internal branches (<0.0137) should be treated with caution
4613677at2759	3di_af	WARNING: States(s) I, K, M rarely appear in alignment and may cause numerical problems
4613677at2759	3di_af_empirical	WARNING: 83 near-zero internal branches (<0.0137) should be treated with caution
4613677at2759	3di_af_empirical	WARNING: States(s) I, K, M rarely appear in alignment and may cause numerical problems
4613677at2759	3di_llm	WARNING: 86 near-zero internal branches (<0.0137) should be treated with caution
4613677at2759	3di_llm	WARNING: States(s) I, K, M rarely appear in alignment and may cause numerical problems
4747214at2759	aa	WARNING: 13 near-zero internal branches (<0.0090) should be treated with caution
4747214at2759	aa	WARNING: 4 sequences contain more than 50% gaps/ambiguity
4747214at2759	3di_af	WARNING: 4 sequences contain more than 50% gaps/ambiguity
