study_role	lineage_group	taxa	taxa_with_any_model	taxa_with_any_usable_marker	taxa_with_at_least10_usable_markers	taxa_with_at_least50_usable_markers	marker_slots	eligible_markers	usable_markers	matrix_columns	observed	noncanonical_or_missing_sequence	no_structural_mapping	invalid_native_feature	low_feature_plddt	high_feature_pae
ingroup	Aphelidiomycota	2	2	1	1	0	250	26	26	98054	3580	51951	41446	12	1055	10
ingroup	Ascomycota	234	122	121	115	0	29250	2828	2821	11472318	442302	816912	10105618	839	105931	716
ingroup	Basidiobolomycota	2	1	1	1	0	250	25	25	98054	3905	19574	73528	6	1034	7
ingroup	Basidiomycota	157	76	76	68	0	19625	1810	1797	7697239	285377	616438	6739895	563	54540	426
ingroup	Blastocladiomycota	9	0	0	0	0	1125	0	0	441243	0	80527	360716	0	0	0
ingroup	Calcarisporiellomycota	1	0	0	0	0	125	0	0	49027	0	2054	46973	0	0	0
ingroup	Chytridiomycota	12	0	0	0	0	1500	0	0	588324	0	66661	521663	0	0	0
ingroup	Entomophthoromycota	4	0	0	0	0	500	0	0	196108	0	58830	137278	0	0	0
ingroup	Glomeromycota	12	0	0	0	0	1500	0	0	588324	0	76820	511504	0	0	0
ingroup	Kickxellomycota	12	0	0	0	0	1500	0	0	588324	0	186186	402138	0	0	0
ingroup	Microsporidia	12	0	0	0	0	1500	0	0	588324	0	393014	195310	0	0	0
ingroup	Monoblepharomycota	3	0	0	0	0	375	0	0	147081	0	17648	129433	0	0	0
ingroup	Mortierellomycota	12	0	0	0	0	1500	0	0	588324	0	50880	537444	0	0	0
ingroup	Mucoromycota	12	0	0	0	0	1500	0	0	588324	0	66056	522268	0	0	0
ingroup	Neocallimastigomycota	6	0	0	0	0	750	0	0	294162	0	100209	193953	0	0	0
ingroup	Olpidiomycota	1	0	0	0	0	125	0	0	49027	0	38398	10629	0	0	0
ingroup	Rozellomycota	2	0	0	0	0	250	0	0	98054	0	15324	82730	0	0	0
ingroup	Sanchytriomycota	2	0	0	0	0	250	0	0	98054	0	31649	66405	0	0	0
ingroup	Zoopagomycota	6	0	0	0	0	750	0	0	294162	0	75018	219144	0	0	0
outgroup	Amoebozoa	5	0	0	0	0	625	0	0	245135	0	22606	222529	0	0	0
outgroup	Apusomonadida	1	0	0	0	0	125	0	0	49027	0	5693	43334	0	0	0
outgroup	Choanoflagellatea	2	0	0	0	0	250	0	0	98054	0	11080	86974	0	0	0
outgroup	Corallochytrea	1	0	0	0	0	125	0	0	49027	0	1816	47211	0	0	0
outgroup	Filasterea	1	0	0	0	0	125	0	0	49027	0	4965	44062	0	0	0
outgroup	Ichthyosporea	5	0	0	0	0	625	0	0	245135	0	117428	127707	0	0	0
outgroup	Metazoa	9	0	0	0	0	1125	0	0	441243	0	72527	368716	0	0	0
outgroup	Nucleariida	1	0	0	0	0	125	0	0	49027	0	9494	39533	0	0	0
