taxon_id	species_name	study_role	lineage_group	marker_slots	markers_with_model	eligible_markers	usable_markers	matrix_columns	observed	noncanonical_or_missing_sequence	no_structural_mapping	invalid_native_feature	low_feature_plddt	high_feature_pae	observed_fraction_of_matrix
F1498855	Amoeboaphelidium occidentale	ingroup	Aphelidiomycota	125	28	26	26	49027	3527	3088	41446	11	945	10	0.07193995145532053
F1243177	Amoeboaphelidium protococcarum	ingroup	Aphelidiomycota	125	1	0	0	49027	53	48863	0	1	110	0	0.0010810369796234727
F2871812	Acarospora aff. strigata	ingroup	Ascomycota	125	28	25	25	49027	3618	1888	42645	8	861	7	0.0737960715524099
F318763	Pleopsidium flavum	ingroup	Ascomycota	125	28	25	25	49027	3717	9006	35212	9	1073	10	0.07581536704264996
F470096	Pseudovirgaria hyperparasitica	ingroup	Ascomycota	125	0	0	0	49027	0	1578	47449	0	0	0	0.0
F4918	Pachysolen tannophilus	ingroup	Ascomycota	125	0	0	0	49027	0	3160	45867	0	0	0	0.0
F1658444	Neoarthrinium moseri	ingroup	Ascomycota	125	27	24	24	49027	5504	4227	37988	7	1296	5	0.11226467048769045
F393283	Pestalotiopsis fici	ingroup	Ascomycota	125	0	0	0	49027	0	2884	46143	0	0	0	0.0
F1141098	Pseudomassariella vexata	ingroup	Ascomycota	125	0	0	0	49027	0	923	48104	0	0	0	0.0
F91480	Alyxoria varia	ingroup	Ascomycota	125	28	26	26	49027	4050	2876	41337	7	751	6	0.0826075427825484
F2939400	Chrysothrix sp. TS-e1954	ingroup	Ascomycota	125	28	27	27	49027	3690	2245	42239	9	832	12	0.07526465009076631
F1542792	Coniocarpon cinnabarinum	ingroup	Ascomycota	125	28	26	26	49027	3821	3690	40595	5	907	9	0.07793664715360923
F54195	Ascoidea rubescens	ingroup	Ascomycota	125	0	0	0	49027	0	3635	45392	0	0	0	0.0
F43959	Saccharomycopsis crataegensis	ingroup	Ascomycota	125	0	0	0	49027	0	2824	46203	0	0	0	0.0
F1176130	Aulographum hederae	ingroup	Ascomycota	125	0	0	0	49027	0	916	48111	0	0	0	0.0
F1504668	Rhizodiscina lignyota	ingroup	Ascomycota	125	0	0	0	49027	0	764	48263	0	0	0	0.0
F1397036	Lambiella insularis	ingroup	Ascomycota	125	28	23	23	49027	3393	6083	38539	8	1004	0	0.0692067636200461
