marker	block_length	draws	completed_draws	unestimable_draws
115730at2759	1	200	200	0
115730at2759	10	200	200	0
115730at2759	30	200	200	0
129234at2759	1	200	200	0
129234at2759	10	200	200	0
129234at2759	30	200	200	0
201273at2759	1	200	200	0
201273at2759	10	200	200	0
201273at2759	30	200	200	0
207567at2759	1	200	200	0
207567at2759	10	200	200	0
207567at2759	30	200	200	0
260326at2759	1	200	200	0
260326at2759	10	200	200	0
260326at2759	30	200	199	1
319730at2759	1	200	200	0
319730at2759	10	200	200	0
319730at2759	30	200	200	0
345792at2759	1	200	200	0
345792at2759	10	200	200	0
345792at2759	30	200	200	0
352891at2759	1	200	200	0
352891at2759	10	200	200	0
352891at2759	30	200	200	0
4613677at2759	1	200	200	0
4613677at2759	10	200	200	0
4613677at2759	30	200	200	0
4747214at2759	1	200	200	0
4747214at2759	10	200	200	0
4747214at2759	30	200	200	0
4803900at2759	1	200	200	0
4803900at2759	10	200	200	0
4803900at2759	30	200	200	0
4823929at2759	1	200	200	0
4823929at2759	10	200	200	0
4823929at2759	30	200	200	0
4837017at2759	1	200	200	0
4837017at2759	10	200	200	0
4837017at2759	30	200	200	0
4843824at2759	1	200	200	0
4843824at2759	10	200	200	0
4843824at2759	30	200	200	0
4867008at2759	1	200	200	0
4867008at2759	10	200	200	0
4867008at2759	30	200	199	1
4896098at2759	1	200	200	0
4896098at2759	10	200	200	0
4896098at2759	30	200	200	0
4900375at2759	1	200	200	0
4900375at2759	10	200	200	0
4900375at2759	30	200	199	1
4908955at2759	1	200	200	0
4908955at2759	10	200	200	0
4908955at2759	30	200	200	0
4969018at2759	1	200	200	0
4969018at2759	10	200	200	0
4969018at2759	30	200	200	0
4969636at2759	1	200	200	0
4969636at2759	10	200	200	0
4969636at2759	30	200	200	0
4969990at2759	1	200	200	0
4969990at2759	10	200	200	0
4969990at2759	30	200	200	0
4970387at2759	1	200	200	0
4970387at2759	10	200	200	0
4970387at2759	30	200	198	2
4971272at2759	1	200	200	0
4971272at2759	10	200	200	0
4971272at2759	30	200	200	0
4974767at2759	1	200	200	0
4974767at2759	10	200	200	0
4974767at2759	30	200	200	0
4976279at2759	1	200	200	0
4976279at2759	10	200	200	0
4976279at2759	30	200	200	0
4977163at2759	1	200	200	0
4977163at2759	10	200	200	0
4977163at2759	30	200	197	3
4985971at2759	1	200	200	0
