path_metric	geometry_metric	estimable_markers	median_marker_rank_correlation	negative_marker_correlations
aa_tree_path_point	ca_superposition_rmsd_angstrom	72	0.3963497547432453	3
aa_tree_path_point	local_distance_mean_absolute_change_angstrom	72	0.6274944763331349	0
aa_tree_path_point	pae10_local_mean_absolute_change_angstrom	72	0.6413747600030243	0
3di_af_tree_path_point	ca_superposition_rmsd_angstrom	72	0.46058669595591184	2
3di_af_tree_path_point	local_distance_mean_absolute_change_angstrom	72	0.6368412899810543	0
3di_af_tree_path_point	pae10_local_mean_absolute_change_angstrom	72	0.6530218585340581	0
3di_af_empirical_tree_path_point	ca_superposition_rmsd_angstrom	72	0.44946474112606755	4
3di_af_empirical_tree_path_point	local_distance_mean_absolute_change_angstrom	72	0.6275469094885128	0
3di_af_empirical_tree_path_point	pae10_local_mean_absolute_change_angstrom	72	0.6407278887022894	1
3di_llm_tree_path_point	ca_superposition_rmsd_angstrom	72	0.4637582632832431	4
3di_llm_tree_path_point	local_distance_mean_absolute_change_angstrom	72	0.6359106550704675	0
3di_llm_tree_path_point	pae10_local_mean_absolute_change_angstrom	72	0.6398451676398632	0
