study_role	manifest_lineage_group	taxa	taxa_with_any_model	taxa_without_models	marker_slots	sequence_markers	model_linked_markers	model_fraction	reuse_candidate_outside_catalog_fraction	no_candidate_in_query_snapshot_fraction	missing_sequence_fraction
ingroup	Aphelidiomycota	2	0	2	250	123	0	0.0	0.0	0.492	0.508
ingroup	Ascomycota	234	154	80	29250	27722	12424	0.42475213675213674	0.08977777777777778	0.43323076923076925	0.05223931623931624
ingroup	Basidiobolomycota	2	1	1	250	197	7	0.028	0.392	0.368	0.212
ingroup	Basidiomycota	157	95	62	19625	18591	718	0.036585987261146494	0.44886624203821657	0.461859872611465	0.05268789808917197
ingroup	Blastocladiomycota	9	2	7	1125	963	16	0.014222222222222223	0.12266666666666666	0.7191111111111111	0.144
ingroup	Calcarisporiellomycota	1	0	1	125	121	0	0.0	0.0	0.968	0.032
ingroup	Chytridiomycota	12	3	9	1500	1378	24	0.016	0.22333333333333333	0.6793333333333333	0.08133333333333333
ingroup	Entomophthoromycota	4	1	3	500	351	7	0.014	0.224	0.464	0.298
ingroup	Glomeromycota	12	9	3	1500	1382	67	0.04466666666666667	0.6346666666666667	0.242	0.07866666666666666
ingroup	Kickxellomycota	12	9	3	1500	1124	69	0.046	0.4093333333333333	0.294	0.25066666666666665
ingroup	Microsporidia	12	7	5	1500	625	50	0.03333333333333333	0.164	0.21933333333333332	0.5833333333333334
ingroup	Monoblepharomycota	3	1	2	375	349	8	0.021333333333333333	0.288	0.6213333333333333	0.06933333333333333
ingroup	Mortierellomycota	12	7	5	1500	1398	48	0.032	0.4026666666666667	0.49733333333333335	0.068
ingroup	Mucoromycota	12	7	5	1500	1363	46	0.030666666666666665	0.4746666666666667	0.4033333333333333	0.09133333333333334
ingroup	Neocallimastigomycota	6	2	4	750	492	16	0.021333333333333333	0.2773333333333333	0.35733333333333334	0.344
ingroup	Olpidiomycota	1	1	0	125	52	8	0.064	0.352	0.0	0.584
ingroup	Rozellomycota	2	2	0	250	225	16	0.064	0.788	0.048	0.1
ingroup	Sanchytriomycota	2	0	2	250	189	0	0.0	0.0	0.756	0.244
ingroup	Zoopagomycota	6	3	3	750	595	22	0.029333333333333333	0.28933333333333333	0.4746666666666667	0.20666666666666667
outgroup	Amoebozoa	5	5	0	625	581	30	0.048	0.8528	0.0288	0.0704
outgroup	Apusomonadida	1	1	0	125	115	6	0.048	0.848	0.024	0.08
outgroup	Choanoflagellatea	2	2	0	250	233	12	0.048	0.856	0.028	0.068
outgroup	Corallochytrea	1	0	1	125	125	0	0.0	0.0	1.0	0.0
outgroup	Filasterea	1	1	0	125	119	6	0.048	0.624	0.28	0.048
outgroup	Ichthyosporea	5	1	4	625	344	6	0.0096	0.1264	0.4144	0.4496
outgroup	Metazoa	9	7	2	1125	974	42	0.037333333333333336	0.5635555555555556	0.2648888888888889	0.13422222222222221
outgroup	Nucleariida	1	1	0	125	109	6	0.048	0.8	0.024	0.128
