taxon_id	species_name	study_role	manifest_lineage_group	total_markers	recovered_sequence_markers	markers_with_source_model	reuse_candidate_outside_catalog	no_candidate_in_query_snapshot	sequence_present_model_missing	sequence_missing	model_fraction_of_recovered_markers	model_fraction_of_all_markers
F1498855	Amoeboaphelidium occidentale	ingroup	Aphelidiomycota	125	122	0	0	122	122	3	0.0	0.0
F1243177	Amoeboaphelidium protococcarum	ingroup	Aphelidiomycota	125	1	0	0	1	1	124	0.0	0.0
F2871812	Acarospora aff. strigata	ingroup	Ascomycota	125	120	0	0	120	120	5	0.0	0.0
F318763	Pleopsidium flavum	ingroup	Ascomycota	125	103	0	0	103	103	22	0.0	0.0
F470096	Pseudovirgaria hyperparasitica	ingroup	Ascomycota	125	124	122	0	2	2	1	0.9838709677419355	0.976
F4918	Pachysolen tannophilus	ingroup	Ascomycota	125	120	118	0	2	2	5	0.9833333333333333	0.944
F1658444	Neoarthrinium moseri	ingroup	Ascomycota	125	121	52	0	69	69	4	0.4297520661157025	0.416
F393283	Pestalotiopsis fici	ingroup	Ascomycota	125	120	118	0	2	2	5	0.9833333333333333	0.944
F1141098	Pseudomassariella vexata	ingroup	Ascomycota	125	124	121	0	3	3	1	0.9758064516129032	0.968
F91480	Alyxoria varia	ingroup	Ascomycota	125	119	0	0	119	119	6	0.0	0.0
F2939400	Chrysothrix sp. TS-e1954	ingroup	Ascomycota	125	122	0	0	122	122	3	0.0	0.0
F1542792	Coniocarpon cinnabarinum	ingroup	Ascomycota	125	119	0	0	119	119	6	0.0	0.0
F54195	Ascoidea rubescens	ingroup	Ascomycota	125	120	118	0	2	2	5	0.9833333333333333	0.944
F43959	Saccharomycopsis crataegensis	ingroup	Ascomycota	125	122	120	0	2	2	3	0.9836065573770492	0.96
F1176130	Aulographum hederae	ingroup	Ascomycota	125	125	123	0	2	2	0	0.984	0.984
F1504668	Rhizodiscina lignyota	ingroup	Ascomycota	125	125	123	0	2	2	0	0.984	0.984
F1397036	Lambiella insularis	ingroup	Ascomycota	125	114	0	0	114	114	11	0.0	0.0
F223409	Ptychographa xylographoides	ingroup	Ascomycota	125	121	0	0	121	121	4	0.0	0.0
F1590129	Xylographa bjoerkii	ingroup	Ascomycota	125	120	0	0	120	120	5	0.0	0.0
F462254	Aplosporella prunicola	ingroup	Ascomycota	125	123	121	0	2	2	2	0.983739837398374	0.968
F236234	Diplodia corticola	ingroup	Ascomycota	125	124	120	0	4	4	1	0.967741935483871	0.96
F121624	Phyllosticta capitalensis	ingroup	Ascomycota	125	125	0	0	125	125	0	0.0	0.0
F3058885	Dirinaria sp. TL-2023a	ingroup	Ascomycota	125	97	0	0	97	97	28	0.0	0.0
F116794	Heterodermia speciosa	ingroup	Ascomycota	125	121	118	0	3	3	4	0.9752066115702479	0.944
F116821	Physcia stellaris	ingroup	Ascomycota	125	122	0	0	122	122	3	0.0	0.0
F41990	Pleurostoma richardsiae	ingroup	Ascomycota	125	123	121	0	2	2	2	0.983739837398374	0.968
F460848	Candelaria pacifica	ingroup	Ascomycota	125	119	0	0	119	119	6	0.0	0.0
F460854	Candelina submexicana	ingroup	Ascomycota	125	120	0	0	120	120	5	0.0	0.0
F1453791	Pycnora praestabilis	ingroup	Ascomycota	125	120	0	0	120	120	5	0.0	0.0
F147573	Piedraia hortae	ingroup	Ascomycota	125	122	120	0	2	2	3	0.9836065573770492	0.96
F705562	Polychaeton citri	ingroup	Ascomycota	125	125	123	0	2	2	0	0.984	0.984
F1093897	Phialemonium atrogriseum	ingroup	Ascomycota	125	124	115	0	9	9	1	0.9274193548387096	0.92
F223376	Phialemonium thermophilum	ingroup	Ascomycota	125	107	0	0	107	107	18	0.0	0.0
F1506992	Thozetella sp. PMI_491	ingroup	Ascomycota	125	122	0	0	122	122	3	0.0	0.0
F293227	Cyphellophora europaea	ingroup	Ascomycota	125	124	122	0	2	2	1	0.9838709677419355	0.976
F2486360	Exophiala viscosa	ingroup	Ascomycota	125	125	63	0	62	62	0	0.504	0.504
F1690604	Lithohypha guttulata	ingroup	Ascomycota	125	119	27	0	92	92	6	0.226890756302521	0.216
F1052096	Cladosporium halotolerans	ingroup	Ascomycota	125	125	123	0	2	2	0	0.984	0.984
F1507870	Cryoendolithus antarcticus	ingroup	Ascomycota	125	15	15	0	0	0	110	1.0	0.12
F1507873	Rachicladosporium monterosium	ingroup	Ascomycota	125	91	0	0	91	91	34	0.0	0.0
F91930	Coniochaeta hoffmannii	ingroup	Ascomycota	125	125	1	0	124	124	0	0.008	0.008
F177197	Coniochaeta ligniaria	ingroup	Ascomycota	125	124	122	0	2	2	1	0.9838709677419355	0.976
F177199	Coniochaeta pulveracea	ingroup	Ascomycota	125	120	117	0	3	3	5	0.975	0.936
F164576	Chaenotheca gracillima	ingroup	Ascomycota	125	123	0	0	123	123	2	0.0	0.0
F2939403	Sclerophora amabilis	ingroup	Ascomycota	125	121	0	0	121	121	4	0.0	0.0
F5116	Cryphonectria parasitica	ingroup	Ascomycota	125	112	109	0	3	3	13	0.9732142857142857	0.872
F1214568	Diaporthe amygdali	ingroup	Ascomycota	125	124	19	0	105	105	1	0.1532258064516129	0.152
F148313	Discula destructiva	ingroup	Ascomycota	125	121	0	0	121	121	4	0.0	0.0
F2268995	Blastobotrys vanleenenianus	ingroup	Ascomycota	125	125	0	0	125	125	0	0.0	0.0
F2606893	Magnusiomyces paraingens	ingroup	Ascomycota	125	124	121	0	3	3	1	0.9758064516129032	0.968
F796027	Sugiyamaella lignohabitans	ingroup	Ascomycota	125	114	113	0	1	1	11	0.9912280701754386	0.904
F5580	Aureobasidium pullulans	ingroup	Ascomycota	125	125	123	0	2	2	0	0.984	0.984
