study_role	lineage_group	taxa	taxa_with_any_model	taxa_with_any_usable_marker	taxa_with_at_least10_usable_markers	taxa_with_at_least50_usable_markers	marker_slots	eligible_markers	usable_markers	matrix_columns	observed	noncanonical_or_missing_sequence	no_structural_mapping	invalid_native_feature	low_feature_plddt	high_feature_pae
ingroup	Aphelidiomycota	2	0	0	0	0	250	0	0	98054	0	51951	46103	0	0	0
ingroup	Ascomycota	234	154	154	116	105	29250	12351	12350	11472318	3802412	816912	6182372	1941	664718	3963
ingroup	Basidiobolomycota	2	1	1	0	0	250	7	7	98054	1656	19574	76698	0	126	0
ingroup	Basidiomycota	157	95	95	5	0	19625	714	714	7697239	217974	616438	6823406	102	39104	215
ingroup	Blastocladiomycota	9	2	2	0	0	1125	16	16	441243	3552	80527	356134	3	1025	2
ingroup	Calcarisporiellomycota	1	0	0	0	0	125	0	0	49027	0	2054	46973	0	0	0
ingroup	Chytridiomycota	12	3	3	0	0	1500	24	24	588324	8314	66661	512164	7	1168	10
ingroup	Entomophthoromycota	4	1	1	0	0	500	7	7	196108	2207	58830	134495	1	575	0
ingroup	Glomeromycota	12	9	9	0	0	1500	67	67	588324	21979	76820	485894	8	3600	23
ingroup	Kickxellomycota	12	9	9	1	0	1500	69	69	588324	15776	186186	383313	12	3019	18
ingroup	Microsporidia	12	7	7	0	0	1500	49	49	588324	9753	393014	184229	10	1314	4
ingroup	Monoblepharomycota	3	1	1	0	0	375	8	8	147081	3004	17648	125692	1	735	1
ingroup	Mortierellomycota	12	7	7	0	0	1500	47	47	588324	12371	50880	523352	14	1692	15
ingroup	Mucoromycota	12	7	7	0	0	1500	45	45	588324	12713	66056	507580	12	1948	15
ingroup	Neocallimastigomycota	6	2	2	0	0	750	16	16	294162	5016	100209	188116	1	814	6
ingroup	Olpidiomycota	1	1	1	0	0	125	4	4	49027	1537	38398	8777	2	310	3
ingroup	Rozellomycota	2	2	2	0	0	250	15	15	98054	5955	15324	75248	3	1524	0
ingroup	Sanchytriomycota	2	0	0	0	0	250	0	0	98054	0	31649	66405	0	0	0
ingroup	Zoopagomycota	6	3	3	0	0	750	22	22	294162	5743	75018	212668	6	722	5
outgroup	Amoebozoa	5	5	5	0	0	625	30	30	245135	7552	22606	213801	6	1147	23
outgroup	Apusomonadida	1	1	1	0	0	125	6	6	49027	1754	5693	41185	1	390	4
outgroup	Choanoflagellatea	2	2	2	0	0	250	12	12	98054	2889	11080	83711	4	367	3
outgroup	Corallochytrea	1	0	0	0	0	125	0	0	49027	0	1816	47211	0	0	0
outgroup	Filasterea	1	1	1	0	0	125	5	5	49027	1655	4965	41468	0	939	0
outgroup	Ichthyosporea	5	1	1	0	0	625	6	6	245135	1604	117428	125938	3	161	1
outgroup	Metazoa	9	7	7	0	0	1125	42	41	441243	14408	72527	352013	5	2241	49
outgroup	Nucleariida	1	1	1	0	0	125	5	5	49027	1098	9494	37806	0	627	2
