taxon_id	species_name	study_role	lineage_group	marker_slots	markers_with_model	eligible_markers	usable_markers	matrix_columns	observed	noncanonical_or_missing_sequence	no_structural_mapping	invalid_native_feature	low_feature_plddt	high_feature_pae	observed_fraction_of_matrix
F1498855	Amoeboaphelidium occidentale	ingroup	Aphelidiomycota	125	0	0	0	49027	0	3088	45939	0	0	0	0.0
F1243177	Amoeboaphelidium protococcarum	ingroup	Aphelidiomycota	125	0	0	0	49027	0	48863	164	0	0	0	0.0
F2871812	Acarospora aff. strigata	ingroup	Ascomycota	125	0	0	0	49027	0	1888	47139	0	0	0	0.0
F318763	Pleopsidium flavum	ingroup	Ascomycota	125	0	0	0	49027	0	9006	40021	0	0	0	0.0
F470096	Pseudovirgaria hyperparasitica	ingroup	Ascomycota	125	122	122	122	49027	37475	1578	3287	20	6644	23	0.7643747322903706
F4918	Pachysolen tannophilus	ingroup	Ascomycota	125	118	116	116	49027	35330	3160	3286	21	7204	26	0.7206233300018358
F1658444	Neoarthrinium moseri	ingroup	Ascomycota	125	52	52	52	49027	14831	4227	27514	7	2432	16	0.3025067819772778
F393283	Pestalotiopsis fici	ingroup	Ascomycota	125	118	118	118	49027	36719	2884	3306	17	6065	36	0.7489546576376283
F1141098	Pseudomassariella vexata	ingroup	Ascomycota	125	121	121	121	49027	37887	923	3689	20	6471	37	0.7727782650376324
F91480	Alyxoria varia	ingroup	Ascomycota	125	0	0	0	49027	0	2876	46151	0	0	0	0.0
F2939400	Chrysothrix sp. TS-e1954	ingroup	Ascomycota	125	0	0	0	49027	0	2245	46782	0	0	0	0.0
F1542792	Coniocarpon cinnabarinum	ingroup	Ascomycota	125	0	0	0	49027	0	3690	45337	0	0	0	0.0
F54195	Ascoidea rubescens	ingroup	Ascomycota	125	118	116	116	49027	35312	3635	3285	17	6747	31	0.7202561853672467
F43959	Saccharomycopsis crataegensis	ingroup	Ascomycota	125	120	118	118	49027	35770	2824	3302	19	7080	32	0.7295979766251249
F1176130	Aulographum hederae	ingroup	Ascomycota	125	123	123	123	49027	37987	916	3292	19	6786	27	0.7748179574520162
F1504668	Rhizodiscina lignyota	ingroup	Ascomycota	125	123	122	122	49027	38111	764	3291	22	6796	43	0.7773471760458522
F1397036	Lambiella insularis	ingroup	Ascomycota	125	0	0	0	49027	0	6083	42944	0	0	0	0.0
F223409	Ptychographa xylographoides	ingroup	Ascomycota	125	0	0	0	49027	0	2100	46927	0	0	0	0.0
F1590129	Xylographa bjoerkii	ingroup	Ascomycota	125	0	0	0	49027	0	4282	44745	0	0	0	0.0
F462254	Aplosporella prunicola	ingroup	Ascomycota	125	121	121	121	49027	37827	1157	3310	17	6689	27	0.771554449589002
F236234	Diplodia corticola	ingroup	Ascomycota	125	120	120	120	49027	37841	934	3838	14	6377	23	0.7718400065270157
F121624	Phyllosticta capitalensis	ingroup	Ascomycota	125	0	0	0	49027	0	568	48459	0	0	0	0.0
F3058885	Dirinaria sp. TL-2023a	ingroup	Ascomycota	125	0	0	0	49027	0	11099	37928	0	0	0	0.0
F116794	Heterodermia speciosa	ingroup	Ascomycota	125	118	118	118	49027	37223	1504	4027	16	6217	40	0.7592347074061232
F116821	Physcia stellaris	ingroup	Ascomycota	125	0	0	0	49027	0	3705	45322	0	0	0	0.0
F41990	Pleurostoma richardsiae	ingroup	Ascomycota	125	121	121	121	49027	37764	1197	3306	19	6701	40	0.7702694433679401
F460848	Candelaria pacifica	ingroup	Ascomycota	125	0	0	0	49027	0	3160	45867	0	0	0	0.0
F460854	Candelina submexicana	ingroup	Ascomycota	125	0	0	0	49027	0	3009	46018	0	0	0	0.0
F1453791	Pycnora praestabilis	ingroup	Ascomycota	125	0	0	0	49027	0	2598	46429	0	0	0	0.0
F147573	Piedraia hortae	ingroup	Ascomycota	125	120	120	120	49027	37260	1634	3288	17	6780	48	0.7599893935994452
F705562	Polychaeton citri	ingroup	Ascomycota	125	123	123	123	49027	38343	1294	3283	23	6049	35	0.7820792624472229
F1093897	Phialemonium atrogriseum	ingroup	Ascomycota	125	115	115	115	49027	34905	1077	7337	17	5657	34	0.7119546372407041
F223376	Phialemonium thermophilum	ingroup	Ascomycota	125	0	0	0	49027	0	10134	38893	0	0	0	0.0
F1506992	Thozetella sp. PMI_491	ingroup	Ascomycota	125	0	0	0	49027	0	1937	47090	0	0	0	0.0
F293227	Cyphellophora europaea	ingroup	Ascomycota	125	122	122	122	49027	38129	842	3304	20	6710	22	0.7777143206804414
F2486360	Exophiala viscosa	ingroup	Ascomycota	125	63	62	62	49027	18179	674	26603	13	3532	26	0.37079568401085117
F1690604	Lithohypha guttulata	ingroup	Ascomycota	125	27	27	27	49027	5762	2187	40406	8	659	5	0.11752707691680095
F1052096	Cladosporium halotolerans	ingroup	Ascomycota	125	123	123	123	49027	38298	784	3290	22	6585	48	0.7811614008607501
F1507870	Cryoendolithus antarcticus	ingroup	Ascomycota	125	15	15	15	49027	3521	44824	0	3	675	4	0.0718175699104575
F1507873	Rachicladosporium monterosium	ingroup	Ascomycota	125	0	0	0	49027	0	18151	30876	0	0	0	0.0
F91930	Coniochaeta hoffmannii	ingroup	Ascomycota	125	1	1	1	49027	219	722	48080	0	6	0	0.0044669263875007645
F177197	Coniochaeta ligniaria	ingroup	Ascomycota	125	122	120	120	49027	37897	1106	3304	20	6671	29	0.7729822342790708
F177199	Coniochaeta pulveracea	ingroup	Ascomycota	125	117	117	117	49027	36295	2317	3753	17	6599	46	0.7403063618006405
F164576	Chaenotheca gracillima	ingroup	Ascomycota	125	0	0	0	49027	0	1465	47562	0	0	0	0.0
F2939403	Sclerophora amabilis	ingroup	Ascomycota	125	0	0	0	49027	0	3820	45207	0	0	0	0.0
F5116	Cryphonectria parasitica	ingroup	Ascomycota	125	109	109	109	49027	33594	6483	3493	20	5414	23	0.685214269688131
F1214568	Diaporthe amygdali	ingroup	Ascomycota	125	19	19	19	49027	4122	972	43217	3	708	5	0.0840761213209048
F148313	Discula destructiva	ingroup	Ascomycota	125	0	0	0	49027	0	2090	46937	0	0	0	0.0
F2268995	Blastobotrys vanleenenianus	ingroup	Ascomycota	125	0	0	0	49027	0	717	48310	0	0	0	0.0
F2606893	Magnusiomyces paraingens	ingroup	Ascomycota	125	121	120	120	49027	36454	1695	3877	20	6952	29	0.7435494727395109
F796027	Sugiyamaella lignohabitans	ingroup	Ascomycota	125	113	112	112	49027	35005	5483	1788	25	6688	38	0.713994329655088
F5580	Aureobasidium pullulans	ingroup	Ascomycota	125	123	122	122	49027	37818	714	3310	20	7134	31	0.7713708772717074
