source_tier	cohort	joint_predicted_plddt_cutoff	metric	proteins	proteins_with_metric	median	q25	q75	positive	negative	approximately_zero
combined	all_available	0	af_experiment_rmsd_angstrom	69	69	3.0079403561012645	1.4797038047724924	6.653721895943621			
combined	all_available	0	af_experiment_local_mean_absolute_difference_angstrom	69	69	0.6596024030115781	0.40772900711915716	1.1727445787446653			
combined	all_available	0	af_experiment_local_rms_difference_angstrom	69	69	1.1761864466920773	0.6978050888985644	2.310756071692403			
combined	all_available	0	esm_experiment_rmsd_angstrom	69	69	7.381041101764221	2.308888185479682	17.869804955346083			
combined	all_available	0	esm_experiment_local_mean_absolute_difference_angstrom	69	69	1.2012079798477917	0.6285950785646789	2.216618622091988			
combined	all_available	0	esm_experiment_local_rms_difference_angstrom	69	69	2.405903627733311	1.2191347486787587	6.590441889904991			
combined	all_available	0	af_esm_rmsd_angstrom	69	69	5.465942900944621	1.926598340641608	14.69550493738755			
combined	all_available	0	af_esm_local_mean_absolute_difference_angstrom	69	69	0.5432107200009129	0.3331179218798938	1.5956632265475443			
combined	all_available	0	af_esm_local_rms_difference_angstrom	69	69	1.4433137460157826	0.7152033925110836	4.0658772452684895			
combined	all_available	0	paired_delta_rmsd_angstrom	69	69	1.2086785423245598	0.25324210852364004	6.6255340266222795	58	11	0
combined	all_available	0	paired_delta_local_mean_absolute_difference_angstrom	69	69	0.20454468835798223	0.07829801456054575	1.0654136823175018	65	4	0
combined	all_available	0	paired_delta_local_rms_difference_angstrom	69	69	0.3956478705807886	0.10726490842642122	2.998839902449329	60	9	0
combined	all_available	70	af_experiment_rmsd_angstrom	61	61	1.7484217444629517	0.952176351325203	3.26142079536889			
combined	all_available	70	af_experiment_local_mean_absolute_difference_angstrom	61	61	0.467391342200972	0.33211626251700366	0.7599961041326957			
combined	all_available	70	af_experiment_local_rms_difference_angstrom	61	61	0.7148871725107303	0.4951806562330994	1.1521464339668892			
combined	all_available	70	esm_experiment_rmsd_angstrom	61	61	3.347929043920692	1.5430154994784744	12.221107591730142			
combined	all_available	70	esm_experiment_local_mean_absolute_difference_angstrom	61	61	0.671327264058001	0.4365384120003104	1.0520459292195892			
combined	all_available	70	esm_experiment_local_rms_difference_angstrom	61	61	1.1174632424555258	0.6754358245790204	3.0495505245646166			
combined	all_available	70	af_esm_rmsd_angstrom	61	61	1.9405857009028895	0.9180374697794607	9.628661621974514			
combined	all_available	70	af_esm_local_mean_absolute_difference_angstrom	61	61	0.27359243143914624	0.23585876377236834	0.4072037111964908			
combined	all_available	70	af_esm_local_rms_difference_angstrom	61	61	0.4921973523132576	0.3699446545135157	1.0264646938716804			
combined	all_available	70	paired_delta_rmsd_angstrom	61	61	0.6465581806513158	0.18429537505456461	4.164530874883155	53	8	0
combined	all_available	70	paired_delta_local_mean_absolute_difference_angstrom	61	61	0.08107707691198446	0.058590179115872554	0.21853598180238276	60	1	0
combined	all_available	70	paired_delta_local_rms_difference_angstrom	61	61	0.12392862849052752	0.07067057489259465	0.4047191273234776	58	3	0
combined	all_available	90	af_experiment_rmsd_angstrom	18	18	0.9600851670715004	0.5854278076449547	1.3257464122622815			
combined	all_available	90	af_experiment_local_mean_absolute_difference_angstrom	18	18	0.2982362355043058	0.23379984278720214	0.38292944160219966			
combined	all_available	90	af_experiment_local_rms_difference_angstrom	18	18	0.399655290146349	0.3207282371597921	0.5806662942137355			
combined	all_available	90	esm_experiment_rmsd_angstrom	18	18	1.4409236455869263	0.7913330195554907	2.2648894582453503			
combined	all_available	90	esm_experiment_local_mean_absolute_difference_angstrom	18	18	0.3676427483252668	0.2829520351986973	0.4152876101512836			
combined	all_available	90	esm_experiment_local_rms_difference_angstrom	18	18	0.4985733634952084	0.39487046752682714	0.6946370952149301			
combined	all_available	90	af_esm_rmsd_angstrom	18	18	0.8073651574406447	0.45535797000633604	1.2300029798498202			
combined	all_available	90	af_esm_local_mean_absolute_difference_angstrom	18	18	0.18316946295348768	0.15065918128683708	0.21724683126159003			
combined	all_available	90	af_esm_local_rms_difference_angstrom	18	18	0.27286282963906416	0.22660797048514036	0.3224787397310183			
combined	all_available	90	paired_delta_rmsd_angstrom	18	18	0.2994818961107869	0.07897813659502043	0.6414332360782304	16	2	0
combined	all_available	90	paired_delta_local_mean_absolute_difference_angstrom	18	18	0.05423054114020673	0.024720472568076968	0.07366661086690517	18	0	0
combined	all_available	90	paired_delta_local_rms_difference_angstrom	18	18	0.08755654082519565	0.026253257007423092	0.12182612203148793	18	0	0
combined	same_proteins_all_thresholds	0	af_experiment_rmsd_angstrom	18	18	1.52767871956147	0.8464517439099264	4.291899372613445			
combined	same_proteins_all_thresholds	0	af_experiment_local_mean_absolute_difference_angstrom	18	18	0.4659902159356105	0.3300974923909003	0.5601992950158173			
combined	same_proteins_all_thresholds	0	af_experiment_local_rms_difference_angstrom	18	18	0.7171687515238383	0.5278601260687972	0.9616457472759629			
combined	same_proteins_all_thresholds	0	esm_experiment_rmsd_angstrom	18	18	2.29786189809789	1.5173267442821683	6.341220925834184			
combined	same_proteins_all_thresholds	0	esm_experiment_local_mean_absolute_difference_angstrom	18	18	0.5936180891525689	0.4608566523447668	0.8142884614937732			
combined	same_proteins_all_thresholds	0	esm_experiment_local_rms_difference_angstrom	18	18	1.0419999804111275	0.7829569338936065	1.7239661063749354			
combined	same_proteins_all_thresholds	0	af_esm_rmsd_angstrom	18	18	1.9775920159453382	1.1437998597035424	3.5492434126398855			
combined	same_proteins_all_thresholds	0	af_esm_local_mean_absolute_difference_angstrom	18	18	0.3536643156193139	0.2817039690774102	0.46458784179810686			
combined	same_proteins_all_thresholds	0	af_esm_local_rms_difference_angstrom	18	18	0.9109980326239284	0.5884038088350645	1.222540382030374			
combined	same_proteins_all_thresholds	0	paired_delta_rmsd_angstrom	18	18	0.5434792733096442	0.0688567324136914	1.077374549609907	14	4	0
