cohort	joint_predicted_plddt_cutoff	metric	proteins	proteins_with_metric	median	q25	q75	positive	negative	approximately_zero
all_available	0	af_experiment_rmsd_angstrom	2	2	9.327327103234113	5.474578608007768	13.180075598460459			
all_available	0	af_experiment_local_mean_absolute_difference_angstrom	2	2	0.6557974593872158	0.5975179782960531	0.7140769404783784			
all_available	0	af_experiment_local_rms_difference_angstrom	2	2	1.6383908768061357	1.2174568639128078	2.0593248896994636			
all_available	0	esm_experiment_rmsd_angstrom	2	2	12.601880409541781	10.96648761658169	14.237273202501871			
all_available	0	esm_experiment_local_mean_absolute_difference_angstrom	2	2	1.668739330974997	1.5296150868871181	1.8078635750628758			
all_available	0	esm_experiment_local_rms_difference_angstrom	2	2	4.073218825400046	3.941134430578855	4.205303220221236			
all_available	0	af_esm_rmsd_angstrom	2	2	11.596627269760429	10.437047738589825	12.756206800931034			
all_available	0	af_esm_local_mean_absolute_difference_angstrom	2	2	1.3059409716424737	1.0983706743995887	1.5135112688853587			
all_available	0	af_esm_local_rms_difference_angstrom	2	2	3.405063884568339	2.990748991082503	3.8193787780541752			
all_available	0	paired_delta_rmsd_angstrom	2	2	3.509311596647891	1.4093369602139276	5.609286233081855	1	1	0
all_available	0	paired_delta_local_mean_absolute_difference_angstrom	2	2	1.0179294715062153	0.8230106589165873	1.212848284095843	2	0	0
all_available	0	paired_delta_local_rms_difference_angstrom	2	2	2.4349122414360034	1.8818516873004383	2.987972795571568	2	0	0
all_available	70	af_experiment_rmsd_angstrom	2	2	9.095163799146082	5.30375201280005	12.886575585492114			
all_available	70	af_experiment_local_mean_absolute_difference_angstrom	2	2	0.5273868195329108	0.504677088013451	0.5500965510523707			
all_available	70	af_experiment_local_rms_difference_angstrom	2	2	1.6770425812008234	1.1795346469335906	2.1745505154680562			
all_available	70	esm_experiment_rmsd_angstrom	2	2	10.340676510622036	9.323561235484624	11.35779178575945			
all_available	70	esm_experiment_local_mean_absolute_difference_angstrom	2	2	0.6626572838089222	0.6495929509971359	0.6757216166207085			
all_available	70	esm_experiment_local_rms_difference_angstrom	2	2	1.5069608092978375	1.31263901244732	1.7012826061483552			
all_available	70	af_esm_rmsd_angstrom	2	2	9.599312090062334	8.922908454104013	10.275715726020653			
all_available	70	af_esm_local_mean_absolute_difference_angstrom	2	2	0.3688729263285272	0.3591601144617848	0.37858573819526964			
all_available	70	af_esm_local_rms_difference_angstrom	2	2	1.169527613762687	1.0269492364687487	1.3121059910566255			
all_available	70	paired_delta_rmsd_angstrom	2	2	2.8067913326433986	0.8131341320185022	4.800448533268295	1	1	0
all_available	70	paired_delta_local_mean_absolute_difference_angstrom	2	2	0.1352704642760114	0.12562506556833797	0.1449158629836848	2	0	0
all_available	70	paired_delta_local_rms_difference_angstrom	2	2	0.2516155138652315	0.1631637993042679	0.34006722842619513	2	0	0
all_available	90	af_experiment_rmsd_angstrom	0	0						
all_available	90	af_experiment_local_mean_absolute_difference_angstrom	0	0						
all_available	90	af_experiment_local_rms_difference_angstrom	0	0						
all_available	90	esm_experiment_rmsd_angstrom	0	0						
all_available	90	esm_experiment_local_mean_absolute_difference_angstrom	0	0						
all_available	90	esm_experiment_local_rms_difference_angstrom	0	0						
all_available	90	af_esm_rmsd_angstrom	0	0						
all_available	90	af_esm_local_mean_absolute_difference_angstrom	0	0						
all_available	90	af_esm_local_rms_difference_angstrom	0	0						
all_available	90	paired_delta_rmsd_angstrom	0	0				0	0	0
all_available	90	paired_delta_local_mean_absolute_difference_angstrom	0	0				0	0	0
all_available	90	paired_delta_local_rms_difference_angstrom	0	0				0	0	0
same_proteins_all_thresholds	0	af_experiment_rmsd_angstrom	0	0						
same_proteins_all_thresholds	0	af_experiment_local_mean_absolute_difference_angstrom	0	0						
same_proteins_all_thresholds	0	af_experiment_local_rms_difference_angstrom	0	0						
same_proteins_all_thresholds	0	esm_experiment_rmsd_angstrom	0	0						
same_proteins_all_thresholds	0	esm_experiment_local_mean_absolute_difference_angstrom	0	0						
same_proteins_all_thresholds	0	esm_experiment_local_rms_difference_angstrom	0	0						
same_proteins_all_thresholds	0	af_esm_rmsd_angstrom	0	0						
same_proteins_all_thresholds	0	af_esm_local_mean_absolute_difference_angstrom	0	0						
same_proteins_all_thresholds	0	af_esm_local_rms_difference_angstrom	0	0						
