sequence_sha256	joint_predicted_plddt_cutoff	accepted_chain_model_rows	excluded_chain_model_rows	accepted_entries	status
0b8d4e8ec034bbe7e38401be0db088e127c66d44ef0872e7474c7aa39df06ce9	0	30	1	30	included
0b8d4e8ec034bbe7e38401be0db088e127c66d44ef0872e7474c7aa39df06ce9	70	30	1	30	included
0b8d4e8ec034bbe7e38401be0db088e127c66d44ef0872e7474c7aa39df06ce9	90	0	31	0	no_eligible_chain_model
1388a54cb398512d6ac226de5606198945e6acbd290b575424e095cd7fbe6438	0	4	0	4	included
1388a54cb398512d6ac226de5606198945e6acbd290b575424e095cd7fbe6438	70	4	0	4	included
1388a54cb398512d6ac226de5606198945e6acbd290b575424e095cd7fbe6438	90	0	4	0	no_eligible_chain_model
156cf677b796c2aaebdb1cd6921ef4a0fd409dce1c8b22e2d01eadc82b0b8d81	0	1	0	1	included
156cf677b796c2aaebdb1cd6921ef4a0fd409dce1c8b22e2d01eadc82b0b8d81	70	1	0	1	included
156cf677b796c2aaebdb1cd6921ef4a0fd409dce1c8b22e2d01eadc82b0b8d81	90	0	1	0	no_eligible_chain_model
4a79a9ca6b6fcb3175539bdae202a7cc5e2df058476852f87bf482b5d1127fd2	0	23	0	21	included
4a79a9ca6b6fcb3175539bdae202a7cc5e2df058476852f87bf482b5d1127fd2	70	23	0	21	included
4a79a9ca6b6fcb3175539bdae202a7cc5e2df058476852f87bf482b5d1127fd2	90	0	23	0	no_eligible_chain_model
5bf066d076b004974606b1090a7d63589eabd59b61cfb3b2e1bf0c2f6bc8f8fc	0	5	36	5	included
5bf066d076b004974606b1090a7d63589eabd59b61cfb3b2e1bf0c2f6bc8f8fc	70	0	41	0	no_eligible_chain_model
5bf066d076b004974606b1090a7d63589eabd59b61cfb3b2e1bf0c2f6bc8f8fc	90	0	41	0	no_eligible_chain_model
6c6238ce3df8a0730a750c002381624b18a9118d769139354008a70ca5ac7ee5	0	38	0	38	included
6c6238ce3df8a0730a750c002381624b18a9118d769139354008a70ca5ac7ee5	70	36	2	36	included
6c6238ce3df8a0730a750c002381624b18a9118d769139354008a70ca5ac7ee5	90	0	38	0	no_eligible_chain_model
6e7fd9e10994e26e9895de924a49c0063dfda2ba87b7f91ecbfd6f3df4dfa650	0	12	8	12	included
6e7fd9e10994e26e9895de924a49c0063dfda2ba87b7f91ecbfd6f3df4dfa650	70	0	20	0	no_eligible_chain_model
6e7fd9e10994e26e9895de924a49c0063dfda2ba87b7f91ecbfd6f3df4dfa650	90	0	20	0	no_eligible_chain_model
89d2fdfca2ef088a14904ec0666b8ad3b69f7e91ab028ebe763777e0acf6c69c	0	3	0	3	included
89d2fdfca2ef088a14904ec0666b8ad3b69f7e91ab028ebe763777e0acf6c69c	70	3	0	3	included
89d2fdfca2ef088a14904ec0666b8ad3b69f7e91ab028ebe763777e0acf6c69c	90	0	3	0	no_eligible_chain_model
8ffdab9ad3bb166a8856b225168506babb0f843c04a03ac7585f9214c3993f79	0	6	0	6	included
8ffdab9ad3bb166a8856b225168506babb0f843c04a03ac7585f9214c3993f79	70	6	0	6	included
8ffdab9ad3bb166a8856b225168506babb0f843c04a03ac7585f9214c3993f79	90	0	6	0	no_eligible_chain_model
9b034068144dc1c8f367dcc1d0940877c694565a6c15b2ee590634a8d512edac	0	39	6	39	included
9b034068144dc1c8f367dcc1d0940877c694565a6c15b2ee590634a8d512edac	70	13	32	13	included
9b034068144dc1c8f367dcc1d0940877c694565a6c15b2ee590634a8d512edac	90	0	45	0	no_eligible_chain_model
bf05158060be9cb3c113f731b4fb731d0cd45873415da4d31b30f3e292b21589	0	5	1	5	included
bf05158060be9cb3c113f731b4fb731d0cd45873415da4d31b30f3e292b21589	70	0	6	0	no_eligible_chain_model
bf05158060be9cb3c113f731b4fb731d0cd45873415da4d31b30f3e292b21589	90	0	6	0	no_eligible_chain_model
c4214baeff24b16caa93f67de339df82dfa7e06f3ef726aae3a8eba8ef80e8c0	0	35	0	35	included
c4214baeff24b16caa93f67de339df82dfa7e06f3ef726aae3a8eba8ef80e8c0	70	35	0	35	included
c4214baeff24b16caa93f67de339df82dfa7e06f3ef726aae3a8eba8ef80e8c0	90	35	0	35	included
