sequence_sha256	joint_predicted_plddt_cutoff	accepted_chain_model_rows	excluded_chain_model_rows	accepted_entries	status
103b52af36a2c9b9a84c89fd243732557e3cf5b88438528be6a1f8c2023e782e	0	33	0	23	included
103b52af36a2c9b9a84c89fd243732557e3cf5b88438528be6a1f8c2023e782e	70	32	1	23	included
103b52af36a2c9b9a84c89fd243732557e3cf5b88438528be6a1f8c2023e782e	90	0	33	0	no_eligible_chain_model
1245ee2f7cd83f9369a6d49b5bf35022d2741b637b7851a33541728b4662e659	0	28	6	28	included
1245ee2f7cd83f9369a6d49b5bf35022d2741b637b7851a33541728b4662e659	70	17	17	17	included
1245ee2f7cd83f9369a6d49b5bf35022d2741b637b7851a33541728b4662e659	90	0	34	0	no_eligible_chain_model
1339886dfb0473fd4dc59344281a8288b3ac1979e074403818c8117482fe794b	0	41	0	41	included
1339886dfb0473fd4dc59344281a8288b3ac1979e074403818c8117482fe794b	70	40	1	40	included
1339886dfb0473fd4dc59344281a8288b3ac1979e074403818c8117482fe794b	90	39	2	39	included
16ef0308fcca0ae723cec16bc05336351aa7a2e3c38a787e303e8a71c1993864	0	0	4	0	no_eligible_chain_model
16ef0308fcca0ae723cec16bc05336351aa7a2e3c38a787e303e8a71c1993864	70	0	4	0	no_eligible_chain_model
16ef0308fcca0ae723cec16bc05336351aa7a2e3c38a787e303e8a71c1993864	90	0	4	0	no_eligible_chain_model
1d54d8fc6fd3850a44b980391ada8291d7463d18caf3143cb61d4a3be8997bc2	0	39	5	39	included
1d54d8fc6fd3850a44b980391ada8291d7463d18caf3143cb61d4a3be8997bc2	70	26	18	26	included
1d54d8fc6fd3850a44b980391ada8291d7463d18caf3143cb61d4a3be8997bc2	90	0	44	0	no_eligible_chain_model
2d7e7e33fba123987527cfc21632d56a468eaa85bbfa5764edf02cd0296d2e74	0	4	0	2	included
2d7e7e33fba123987527cfc21632d56a468eaa85bbfa5764edf02cd0296d2e74	70	4	0	2	included
2d7e7e33fba123987527cfc21632d56a468eaa85bbfa5764edf02cd0296d2e74	90	4	0	2	included
2ea25057732aa1f9986fae8911bbe8b83192454d0e37e6ef698ab312e4d4a6e2	0	2	3	2	included
2ea25057732aa1f9986fae8911bbe8b83192454d0e37e6ef698ab312e4d4a6e2	70	0	5	0	no_eligible_chain_model
2ea25057732aa1f9986fae8911bbe8b83192454d0e37e6ef698ab312e4d4a6e2	90	0	5	0	no_eligible_chain_model
3944f7cc837195985c71597fc913f05d1fd8834da7306203566d3a13a6fd5082	0	37	0	37	included
3944f7cc837195985c71597fc913f05d1fd8834da7306203566d3a13a6fd5082	70	37	0	37	included
3944f7cc837195985c71597fc913f05d1fd8834da7306203566d3a13a6fd5082	90	0	37	0	no_eligible_chain_model
3ab20e43cb9a9ed62a43edda032c310a5fee86328bb762d1c4f9387bccf0c74b	0	1	0	1	included
3ab20e43cb9a9ed62a43edda032c310a5fee86328bb762d1c4f9387bccf0c74b	70	1	0	1	included
3ab20e43cb9a9ed62a43edda032c310a5fee86328bb762d1c4f9387bccf0c74b	90	1	0	1	included
42c3cc58d342d47777b255d2541e64d720a5f198cecfe020e709d5ff214e0c02	0	0	1	0	no_eligible_chain_model
42c3cc58d342d47777b255d2541e64d720a5f198cecfe020e709d5ff214e0c02	70	0	1	0	no_eligible_chain_model
42c3cc58d342d47777b255d2541e64d720a5f198cecfe020e709d5ff214e0c02	90	0	1	0	no_eligible_chain_model
4f84b0e10a5b3c764e93baed539d90856f0578cc8d539e760befd2779bbdbae3	0	11	0	11	included
4f84b0e10a5b3c764e93baed539d90856f0578cc8d539e760befd2779bbdbae3	70	11	0	11	included
4f84b0e10a5b3c764e93baed539d90856f0578cc8d539e760befd2779bbdbae3	90	0	11	0	no_eligible_chain_model
56dda84f4e439fc103ca8ad379ae95081c1247f16a2b4185a751ed938a40c3f1	0	0	7	0	no_eligible_chain_model
56dda84f4e439fc103ca8ad379ae95081c1247f16a2b4185a751ed938a40c3f1	70	0	7	0	no_eligible_chain_model
56dda84f4e439fc103ca8ad379ae95081c1247f16a2b4185a751ed938a40c3f1	90	0	7	0	no_eligible_chain_model
5cae9a720dba99e7f3e4f1de8b6a63064ee6691f0e076cf8012a08762d7a3c52	0	37	0	32	included
5cae9a720dba99e7f3e4f1de8b6a63064ee6691f0e076cf8012a08762d7a3c52	70	37	0	32	included
5cae9a720dba99e7f3e4f1de8b6a63064ee6691f0e076cf8012a08762d7a3c52	90	0	37	0	no_eligible_chain_model
668cafe2b2304fbacb9ab68ea3c37c7805a16334996147ff72c4ca5be69b64eb	0	28	0	22	included
668cafe2b2304fbacb9ab68ea3c37c7805a16334996147ff72c4ca5be69b64eb	70	28	0	22	included
668cafe2b2304fbacb9ab68ea3c37c7805a16334996147ff72c4ca5be69b64eb	90	0	28	0	no_eligible_chain_model
69b75365f8a13f44361dc06155facde5c7b69920d4b15224becbad9da053cc21	0	0	19	0	no_eligible_chain_model
69b75365f8a13f44361dc06155facde5c7b69920d4b15224becbad9da053cc21	70	0	19	0	no_eligible_chain_model
69b75365f8a13f44361dc06155facde5c7b69920d4b15224becbad9da053cc21	90	0	19	0	no_eligible_chain_model
75c3910bd91171d404e09f1ebcc01cb8ff2946b4fc81a81949075938624b5f23	0	0	2	0	no_eligible_chain_model
