guide	policy	membership_scope	families	proteins	no_ga_hit_proteins	policy_disagreement_proteins	rank_tie_proteins	unresolved_overlap_proteins	candidate_nested_proteins	alignment_overlap_proteins	partial_hmm_proteins	observed_proteins	observed_families_with_at_least_two_annotated_taxa	observed_families_with_multiple_ordered_signatures	observed_families_with_multiple_multisets	observed_families_with_multiple_model_type_sets	observed_families_with_multisets_with_order_variation	observed_multi_taxon_families_with_multisets_with_order_variation	observed_families_with_model_type_sets_with_multiplicity_variation	observed_multi_taxon_families_with_model_type_sets_with_multiplicity_variation	conservative_proteins	conservative_families_with_at_least_two_annotated_taxa	conservative_families_with_multiple_ordered_signatures	conservative_families_with_multiple_multisets	conservative_families_with_multiple_model_type_sets	conservative_families_with_multisets_with_order_variation	conservative_multi_taxon_families_with_multisets_with_order_variation	conservative_families_with_model_type_sets_with_multiplicity_variation	conservative_multi_taxon_families_with_model_type_sets_with_multiplicity_variation
mafft	alignment_bitscore	all_families	658522	5815847	2023005	54055	6088	9352	24070	32549	807971	3792842	28799	16301	16296	14131	1097	1077	8006	7508	2950671	23519	12025	12021	11077	656	644	3725	3412
mafft	alignment_bitscore	exact_shared_membership	656507	5778033	1996848	53934	6050	9337	24070	32534	805409	3781185	28136	15980	15975	13864	1081	1063	7880	7396	2941647	22966	11801	11797	10884	644	634	3653	3351
mafft	alignment_bitscore	guide_specific_membership	2015	37814	26157	121	38	15	0	15	2562	11657	663	321	321	267	16	14	126	112	9024	553	224	224	193	12	10	72	61
mafft	alignment_evalue	all_families	658522	5815847	2023005	54055	3295	9362	24070	32559	808365	3792842	28799	16300	16295	14128	1100	1080	8006	7508	2952415	23520	12029	12025	11079	657	645	3733	3418
mafft	alignment_evalue	exact_shared_membership	656507	5778033	1996848	53934	3274	9347	24070	32544	805802	3781185	28136	15979	15974	13861	1084	1066	7880	7396	2943387	22966	11804	11800	10885	645	635	3662	3358
mafft	alignment_evalue	guide_specific_membership	2015	37814	26157	121	21	15	0	15	2563	11657	663	321	321	267	16	14	126	112	9028	554	225	225	194	12	10	71	60
mafft	envelope_bitscore	all_families	658522	5815847	2023005	54055	6346	30165	23985	32409	800516	3792842	28799	16094	16089	14126	1104	1083	7576	7106	2944832	23514	11996	11992	11051	651	639	3707	3397
mafft	envelope_bitscore	exact_shared_membership	656507	5778033	1996848	53934	6307	30135	23985	32394	797964	3781185	28136	15780	15775	13859	1085	1066	7464	7008	2935809	22961	11772	11768	10858	639	629	3635	3336
mafft	envelope_bitscore	guide_specific_membership	2015	37814	26157	121	39	30	0	15	2552	11657	663	314	314	267	19	17	112	98	9023	553	224	224	193	12	10	72	61
mafft	envelope_evalue	all_families	658522	5815847	2023005	54055	3434	30191	23985	32419	800915	3792842	28799	16093	16088	14124	1103	1082	7576	7106	2946603	23516	12001	11997	11054	652	640	3717	3405
mafft	envelope_evalue	exact_shared_membership	656507	5778033	1996848	53934	3413	30161	23985	32404	798362	3781185	28136	15779	15774	13857	1084	1065	7464	7008	2937576	22962	11776	11772	10860	640	630	3646	3345
mafft	envelope_evalue	guide_specific_membership	2015	37814	26157	121	21	30	0	15	2553	11657	663	314	314	267	19	17	112	98	9027	554	225	225	194	12	10	71	60
profile	alignment_bitscore	all_families	658183	5815847	2023005	54055	6088	9352	24070	32549	807971	3792842	28817	16299	16294	14136	1097	1079	7997	7503	2950671	23494	12020	12016	11079	656	645	3717	3405
profile	alignment_bitscore	exact_shared_membership	656507	5778033	1996848	53934	6050	9337	24070	32534	805409	3781185	28136	15980	15975	13864	1081	1063	7880	7396	2941647	22966	11801	11797	10884	644	634	3653	3351
profile	alignment_bitscore	guide_specific_membership	1676	37814	26157	121	38	15	0	15	2562	11657	681	319	319	272	16	16	117	107	9024	528	219	219	195	12	11	64	54
profile	alignment_evalue	all_families	658183	5815847	2023005	54055	3295	9362	24070	32559	808365	3792842	28817	16298	16293	14133	1100	1082	7997	7503	2952415	23495	12025	12021	11082	657	646	3725	3411
profile	alignment_evalue	exact_shared_membership	656507	5778033	1996848	53934	3274	9347	24070	32544	805802	3781185	28136	15979	15974	13861	1084	1066	7880	7396	2943387	22966	11804	11800	10885	645	635	3662	3358
profile	alignment_evalue	guide_specific_membership	1676	37814	26157	121	21	15	0	15	2563	11657	681	319	319	272	16	16	117	107	9028	529	221	221	197	12	11	63	53
profile	envelope_bitscore	all_families	658183	5815847	2023005	54055	6346	30165	23985	32409	800516	3792842	28817	16094	16089	14131	1105	1086	7568	7103	2944832	23489	11991	11987	11053	651	640	3699	3390
profile	envelope_bitscore	exact_shared_membership	656507	5778033	1996848	53934	6307	30135	23985	32394	797964	3781185	28136	15780	15775	13859	1085	1066	7464	7008	2935809	22961	11772	11768	10858	639	629	3635	3336
profile	envelope_bitscore	guide_specific_membership	1676	37814	26157	121	39	30	0	15	2552	11657	681	314	314	272	20	20	104	95	9023	528	219	219	195	12	11	64	54
profile	envelope_evalue	all_families	658183	5815847	2023005	54055	3434	30191	23985	32419	800915	3792842	28817	16093	16088	14129	1104	1085	7568	7103	2946603	23491	11997	11993	11057	652	641	3709	3398
profile	envelope_evalue	exact_shared_membership	656507	5778033	1996848	53934	3413	30161	23985	32404	798362	3781185	28136	15779	15774	13857	1084	1065	7464	7008	2937576	22962	11776	11772	10860	640	630	3646	3345
profile	envelope_evalue	guide_specific_membership	1676	37814	26157	121	21	30	0	15	2553	11657	681	314	314	272	20	20	104	95	9027	529	221	221	197	12	11	63	53
