case_id	original_taxa	omitted_taxa	remaining_taxa	remaining_taxon_ids	status
Amanita__115730at2759__code1	5		5	F235537;F41956;F67723;F71933;F933333	unchanged_by_declared_fcs_omission
Amanita__129234at2759__code1	7		7	F1004511;F235537;F41956;F67723;F71933;F87326;F933333	unchanged_by_declared_fcs_omission
Amanita__160487at2759__code1	6		6	F235537;F41956;F67723;F71933;F87326;F933333	unchanged_by_declared_fcs_omission
Amanita__201273at2759__code1	6		6	F1004511;F41956;F67723;F71933;F87326;F933333	unchanged_by_declared_fcs_omission
Amanita__207567at2759__code1	7		7	F1004511;F235537;F41956;F67723;F71933;F87326;F933333	unchanged_by_declared_fcs_omission
Amanita__260326at2759__code1	6		6	F1004511;F235537;F41956;F67723;F87326;F933333	unchanged_by_declared_fcs_omission
Amanita__2852757at2759__code1	5		5	F1004511;F235537;F41956;F67723;F933333	unchanged_by_declared_fcs_omission
Amanita__288615at2759__code1	7		7	F1004511;F235537;F41956;F67723;F71933;F87326;F933333	unchanged_by_declared_fcs_omission
Amanita__319730at2759__code1	7		7	F1004511;F235537;F41956;F67723;F71933;F87326;F933333	unchanged_by_declared_fcs_omission
Amanita__340246at2759__code1	4		4	F41956;F67723;F71933;F933333	unchanged_by_declared_fcs_omission
Amanita__345792at2759__code1	6		6	F1004511;F235537;F41956;F67723;F71933;F933333	unchanged_by_declared_fcs_omission
Amanita__352891at2759__code1	7		7	F1004511;F235537;F41956;F67723;F71933;F87326;F933333	unchanged_by_declared_fcs_omission
Amanita__3643464at2759__code1	7		7	F1004511;F235537;F41956;F67723;F71933;F87326;F933333	unchanged_by_declared_fcs_omission
Amanita__4613677at2759__code1	7		7	F1004511;F235537;F41956;F67723;F71933;F87326;F933333	unchanged_by_declared_fcs_omission
Amanita__4695236at2759__code1	7		7	F1004511;F235537;F41956;F67723;F71933;F87326;F933333	unchanged_by_declared_fcs_omission
Amanita__4747214at2759__code1	7		7	F1004511;F235537;F41956;F67723;F71933;F87326;F933333	unchanged_by_declared_fcs_omission
Amanita__4764044at2759__code1	7		7	F1004511;F235537;F41956;F67723;F71933;F87326;F933333	unchanged_by_declared_fcs_omission
