guide	focal_taxon	focal_species	rank	neighbor_taxon	neighbor_species	tree_path_length
profile	F610337	Naganishia cerealis	1	F89922	Naganishia friedmannii	0.576481996
profile	F610337	Naganishia cerealis	2	F1424756	Naganishia vaughanmartiniae	0.5876898427
profile	F610337	Naganishia cerealis	3	F104408	Naganishia liquefaciens	0.6199868967000001
profile	F610337	Naganishia cerealis	4	F5210	Filobasidium floriforme	0.9866632499000001
profile	F610337	Naganishia cerealis	5	F257869	Holtermanniella festucosa	1.2050471708
profile	F610337	Naganishia cerealis	6	F1859096	Cryptococcus deuterogattii	1.3319136073
profile	F610337	Naganishia cerealis	7	F1859121	Cryptococcus tetragattii	1.3330662887
profile	F610337	Naganishia cerealis	8	F5207	Cryptococcus neoformans	1.3331493768999998
profile	F610337	Naganishia cerealis	9	F40410	Cryptococcus deneoformans	1.3331518656999999
profile	F610337	Naganishia cerealis	10	F552467	Cryptococcus bacillisporus	1.3342879584
profile	F27376	Acaulospora colombiana	1	F1348612	Diversispora epigaea	0.4655047901
profile	F27376	Acaulospora colombiana	2	F4874	Gigaspora margarita	0.5095593627
profile	F27376	Acaulospora colombiana	3	F658196	Glomus cerebriforme	0.5926275076
profile	F27376	Acaulospora colombiana	4	F588596	Rhizophagus irregularis	0.6021962232
profile	F27376	Acaulospora colombiana	5	F1117311	Funneliformis geosporum	0.6075881493999999
profile	F27376	Acaulospora colombiana	6	F2562287	Entrophospora sp. SA101	0.6946207123
profile	F27376	Acaulospora colombiana	7	F50956	Geosiphon pyriformis	0.7491506333999999
profile	F27376	Acaulospora colombiana	8	F144530	Ambispora gerdemannii	0.7669712159
profile	F27376	Acaulospora colombiana	9	F144679	Ambispora leptoticha	0.7813260333
profile	F27376	Acaulospora colombiana	10	F144538	Paraglomus brasilianum	0.8028111093999999
profile	O400682	Amphimedon queenslandica	1	O45351	Nematostella vectensis	0.9970199115
profile	O400682	Amphimedon queenslandica	2	O2700040	Branchiostoma floridae	1.0388541633
profile	O400682	Amphimedon queenslandica	3	O225164	Lottia gigantea	1.1238382603
profile	O400682	Amphimedon queenslandica	4	O283909	Capitella teleta	1.1653684657999999
profile	O400682	Amphimedon queenslandica	5	O10228	Trichoplax adhaerens	1.2017909370000002
profile	O400682	Amphimedon queenslandica	6	O27923	Mnemiopsis leidyi	1.3775201871
profile	O400682	Amphimedon queenslandica	7	O7227	Drosophila melanogaster	1.3947457838
profile	O400682	Amphimedon queenslandica	8	OFS5426494	Chromosphaera perkinsii	1.474178476
profile	O400682	Amphimedon queenslandica	9	O192875	Capsaspora owczarzaki	1.4992148454
profile	O400682	Amphimedon queenslandica	10	OFS1403592	Creolimax fragrantissima	1.5799739888
mafft	F610337	Naganishia cerealis	1	F89922	Naganishia friedmannii	0.6020917524
mafft	F610337	Naganishia cerealis	2	F104408	Naganishia liquefaciens	0.6109717681
mafft	F610337	Naganishia cerealis	3	F1424756	Naganishia vaughanmartiniae	0.6258548518
mafft	F610337	Naganishia cerealis	4	F5210	Filobasidium floriforme	0.8877475484999999
mafft	F610337	Naganishia cerealis	5	F257869	Holtermanniella festucosa	1.1167953912
mafft	F610337	Naganishia cerealis	6	F40410	Cryptococcus deneoformans	1.235794093
mafft	F610337	Naganishia cerealis	7	F552467	Cryptococcus bacillisporus	1.2360634236000003
mafft	F610337	Naganishia cerealis	8	F1859121	Cryptococcus tetragattii	1.2361190014000003
mafft	F610337	Naganishia cerealis	9	F5207	Cryptococcus neoformans	1.2362586767000001
mafft	F610337	Naganishia cerealis	10	F37769	Cryptococcus gattii	1.2368133201000002
mafft	F27376	Acaulospora colombiana	1	F1348612	Diversispora epigaea	0.4638602924
mafft	F27376	Acaulospora colombiana	2	F4874	Gigaspora margarita	0.504442588
mafft	F27376	Acaulospora colombiana	3	F658196	Glomus cerebriforme	0.5953332261
mafft	F27376	Acaulospora colombiana	4	F1117311	Funneliformis geosporum	0.6030560809
mafft	F27376	Acaulospora colombiana	5	F588596	Rhizophagus irregularis	0.6057137542
mafft	F27376	Acaulospora colombiana	6	F2562287	Entrophospora sp. SA101	0.6874508604
mafft	F27376	Acaulospora colombiana	7	F144530	Ambispora gerdemannii	0.7545851103
mafft	F27376	Acaulospora colombiana	8	F50956	Geosiphon pyriformis	0.757892731
mafft	F27376	Acaulospora colombiana	9	F144679	Ambispora leptoticha	0.7618632756
mafft	F27376	Acaulospora colombiana	10	F144538	Paraglomus brasilianum	0.8169844325
mafft	O400682	Amphimedon queenslandica	1	O45351	Nematostella vectensis	1.0370849544
mafft	O400682	Amphimedon queenslandica	2	O2700040	Branchiostoma floridae	1.071487836
mafft	O400682	Amphimedon queenslandica	3	O225164	Lottia gigantea	1.1591162202
mafft	O400682	Amphimedon queenslandica	4	O283909	Capitella teleta	1.1998813274
mafft	O400682	Amphimedon queenslandica	5	O10228	Trichoplax adhaerens	1.2256466705
mafft	O400682	Amphimedon queenslandica	6	O7227	Drosophila melanogaster	1.3976745556
mafft	O400682	Amphimedon queenslandica	7	O27923	Mnemiopsis leidyi	1.4026716219000002
mafft	O400682	Amphimedon queenslandica	8	OFS5426494	Chromosphaera perkinsii	1.5000700473
mafft	O400682	Amphimedon queenslandica	9	O192875	Capsaspora owczarzaki	1.554113037
mafft	O400682	Amphimedon queenslandica	10	OFS1403592	Creolimax fragrantissima	1.6038537539
