taxon_id	proteins_checked	marker_query_links	additional_query_links
F1004511	7962	109	7853
F1005962	5325	121	5204
F1006475	9689	106	9583
F100910	9040	123	8917
F101028	12445	123	12322
F101097	11098	120	10978
F101098	12215	118	12097
F101201	11857	121	11736
F1031713	9992	124	9868
F103449	2773	52	2721
F1042133	13672	122	13550
F1042397	6891	118	6773
F104341	12537	122	12415
F104355	11753	125	11628
F104408	6883	125	6758
F104669	8249	107	8142
F1048519	11845	124	11721
F1048829	8826	125	8701
F1048955	13684	125	13559
F1052096	9704	125	9579
F1055551	7254	123	7131
F105984	9143	124	9019
F106004	9854	121	9733
F1069201	12662	124	12538
F1080349	5379	120	5259
F1081669	2691	36	2655
F1093897	11400	124	11276
F1093900	12451	124	12327
F1095194	13328	124	13204
F109760	8950	120	8830
F109876	12754	116	12638
F109889	9112	117	8995
F109899	15235	115	15120
F109932	9698	115	9583
F1099800	6497	124	6373
F110093	10669	122	10547
F1116844	6437	124	6313
F1117311	20094	121	19973
F112072	10411	123	10288
F1123529	13827	122	13705
F112417	20325	120	20205
F1125753	6067	123	5944
F1130053	9636	120	9516
F113071	20275	118	20157
F1141098	12564	124	12440
F114524	5603	122	5481
F114525	5573	122	5451
F1145299	8040	105	7935
F1145321	8057	111	7946
F116603	16397	121	16276
F116794	10570	121	10449
F116821	10217	122	10095
F116982	9939	113	9826
F117179	7842	124	7718
F117187	15890	110	15780
F1174673	11642	124	11518
F1176130	12106	125	11981
F1176355	3573	46	3527
F120017	7449	124	7325
F1209916	17065	124	16941
F1209934	17330	124	17206
F1213189	8068	57	8011
F1214568	15635	124	15511
F121624	12062	125	11937
F1217826	8201	124	8077
F1220207	13605	125	13480
F122368	13144	125	13019
F1230402	11623	125	11498
F1243177	13180	1	13179
F1246581	3766	108	3658
F1269715	7011	117	6894
F1276059	9060	116	8944
F1280837	7444	123	7321
F1286916	5811	111	5700
F129515	9391	119	9272
F1300064	2636	51	2585
F1314805	10966	124	10842
F1323573	11134	124	11010
F1328300	14423	125	14298
F13290	9904	122	9782
F13291	9932	120	9812
F1331295	23555	118	23437
F133377	7385	109	7276
F133385	6519	93	6426
F1341166	9874	124	9750
F1343610	9892	125	9767
F1343614	10414	121	10293
F1348612	28348	120	28228
F13502	4711	121	4590
F135208	11007	102	10905
F135589	9937	120	9817
