species_id	taxon_id	proteins	outside_retained_partition	singleton_family_proteins	two_member_family_proteins	tree_eligible_family_proteins	outside_fraction	intermediate_unassigned_proteins	intermediate_unassigned_now_in_partition	intermediate_unassigned_still_outside	outside_not_in_intermediate
0	F1055551	7254	0	963	177	6114	0.0	963	963	0	0
1	F1099800	6497	0	145	347	6005	0.0	145	145	0	0
2	F1123529	13827	0	1927	847	11053	0.0	1927	1927	0	0
3	F1174673	11642	0	2505	314	8823	0.0	2505	2505	0	0
4	F1217826	8201	0	825	41	7335	0.0	825	825	0	0
5	F1230402	11623	0	2177	290	9156	0.0	2177	2177	0	0
6	F1343610	9892	0	508	110	9274	0.0	508	508	0	0
7	F1498855	7496	0	924	151	6421	0.0	924	924	0	0
8	F1500003	10850	0	1313	334	9203	0.0	1313	1313	0	0
9	F1555241	6168	0	1035	112	5021	0.0	1035	1035	0	0
10	F164576	7656	0	263	92	7301	0.0	263	263	0	0
11	F164912	2865	0	296	84	2485	0.0	296	296	0	0
12	F1708542	5087	0	30	73	4984	0.0	30	30	0	0
13	F1754191	10959	0	326	153	10480	0.0	326	326	0	0
14	F1851187	8844	0	566	254	8024	0.0	566	566	0	0
15	F1882483	7069	0	1178	51	5840	0.0	1178	1178	0	0
16	F203908	16255	0	1272	613	14370	0.0	1272	1272	0	0
17	F2109901	7220	0	1367	888	4965	0.0	1367	1367	0	0
18	F215637	7102	0	500	135	6467	0.0	500	500	0	0
19	F2268995	6287	0	446	78	5763	0.0	446	446	0	0
20	F2340872	9218	0	1142	238	7838	0.0	1142	1142	0	0
21	F273283	7422	0	296	47	7079	0.0	296	296	0	0
22	F278681	8460	0	2698	196	5566	0.0	2698	2698	0	0
23	F2813651	11479	0	800	648	10031	0.0	800	800	0	0
24	F281847	6350	0	1252	174	4924	0.0	1252	1252	0	0
25	F29889	13152	0	1596	438	11118	0.0	1596	1596	0	0
26	F29899	7806	0	732	187	6887	0.0	732	732	0	0
27	F3384825	8329	0	742	87	7500	0.0	742	742	0	0
28	F34349	6838	0	764	161	5913	0.0	764	764	0	0
29	F34488	10568	0	1045	217	9306	0.0	1045	1045	0	0
30	F382532	11534	0	1271	292	9971	0.0	1271	1271	0	0
31	F40410	6632	0	44	16	6572	0.0	44	44	0	0
32	F423460	16110	0	380	337	15393	0.0	380	380	0	0
33	F44089	5620	0	362	45	5213	0.0	362	362	0	0
34	F44442	8240	0	89	54	8097	0.0	89	89	0	0
35	F44565	7746	0	1209	156	6381	0.0	1209	1209	0	0
36	F4840	10974	0	1012	128	9834	0.0	1012	1012	0	0
37	F4932	6021	0	230	42	5749	0.0	230	230	0	0
38	F5101	9642	0	1208	88	8346	0.0	1208	1208	0	0
39	F5286	8140	0	304	137	7699	0.0	304	304	0	0
40	F560253	11013	0	998	198	9817	0.0	998	998	0	0
41	F61397	7284	0	625	256	6403	0.0	625	625	0	0
42	F61424	7338	0	103	249	6986	0.0	103	103	0	0
43	F63378	6977	0	421	105	6451	0.0	421	421	0	0
44	F64504	8889	0	87	84	8718	0.0	87	87	0	0
45	F658196	21154	0	956	334	19864	0.0	956	956	0	0
46	F67723	8742	0	261	74	8407	0.0	261	261	0	0
47	F69979	9061	0	1206	232	7623	0.0	1206	1206	0	0
48	F741139	13860	0	1502	175	12183	0.0	1502	1502	0	0
49	F746128	9823	0	442	50	9331	0.0	442	442	0	0
50	F76775	4406	0	52	33	4321	0.0	52	52	0	0
51	F82268	15173	0	2408	477	12288	0.0	2408	2408	0	0
52	F911321	11722	0	1590	144	9988	0.0	1590	1590	0	0
53	F91930	12275	0	1077	266	10932	0.0	1077	1077	0	0
54	O10228	11304	0	888	220	10196	0.0	888	888	0	0
55	O133409	10568	0	590	246	9732	0.0	590	590	0	0
56	O192875	8621	0	875	153	7593	0.0	875	875	0	0
57	O529818	10515	0	2280	204	8031	0.0	2280	2280	0	0
58	O691883	5901	0	1498	57	4346	0.0	1498	1498	0	0
59	O81824	9202	0	1420	395	7387	0.0	1420	1420	0	0
60	O946362	11618	0	1719	484	9415	0.0	1719	1719	0	0
61	OFS1403592	8694	0	509	657	7528	0.0	509	509	0	0
62	OFS5426470	7535	0	1125	132	6278	0.0	1125	1125	0	0
63	OFS5426494	12463	0	2049	322	10092	0.0	2049	2049	0	0
64	F1004511	7962	923	0	2	7037	0.11592564682240643	923	0	923	0
65	F1005962	5325	739	0	0	4586	0.13877934272300468	739	0	739	0
66	F1006475	9689	1502	0	4	8183	0.15502115801424296	1502	0	1502	0
67	F100910	9040	1478	0	35	7527	0.16349557522123895	1478	0	1478	0
68	F101028	12445	2178	0	0	10267	0.1750100441944556	2178	0	2178	0
69	F101097	11098	1625	0	12	9461	0.14642277887907731	1625	0	1625	0
70	F101098	12215	2769	0	8	9438	0.22668849774866967	2769	0	2769	0
71	F101201	11857	2294	0	2	9561	0.19347221050856034	2294	0	2294	0
72	F1031713	9992	3537	0	5	6450	0.3539831865492394	3537	0	3537	0
73	F103449	2773	1397	0	10	1366	0.5037865128020195	1397	0	1397	0
74	F1042133	13672	2191	0	0	11481	0.1602545348156817	2191	0	2191	0
75	F1042397	6891	692	0	1	6198	0.10042083877521404	692	0	692	0
76	F104341	12537	3863	0	0	8674	0.3081279412937704	3863	0	3863	0
77	F104355	11753	2690	0	0	9063	0.22887773334467795	2690	0	2690	0
78	F104408	6883	1207	0	0	5676	0.17535958157780038	1207	0	1207	0
79	F104669	8249	1474	0	0	6775	0.17868832585767971	1474	0	1474	0
80	F1048519	11845	2120	0	4	9721	0.178978471929084	2120	0	2120	0
81	F1048829	8826	2084	0	1	6741	0.23612055291185136	2084	0	2084	0
82	F1048955	13684	3595	0	5	10084	0.262715580239696	3595	0	3595	0
83	F1052096	9704	879	0	1	8824	0.09058120362737015	879	0	879	0
84	F105984	9143	2243	0	1	6899	0.2453242918079405	2243	0	2243	0
85	F106004	9854	1969	0	3	7882	0.19981733306271565	1969	0	1969	0
86	F1069201	12662	1840	0	12	10810	0.14531669562470384	1840	0	1840	0
87	F1080349	5379	317	0	2	5060	0.05893288715374605	317	0	317	0
88	F1081669	2691	1728	0	0	963	0.6421404682274248	1728	0	1728	0
89	F1093897	11400	1483	0	7	9910	0.1300877192982456	1483	0	1483	0
90	F1093900	12451	1547	0	2	10902	0.12424704842984499	1547	0	1547	0
91	F1095194	13328	1723	0	0	11605	0.1292767106842737	1723	0	1723	0
92	F109760	8950	1653	0	27	7270	0.1846927374301676	1653	0	1653	0
93	F109876	12754	5492	0	9	7253	0.43061000470440647	5492	0	5492	0
94	F109889	9112	2422	0	6	6684	0.26580333625987707	2422	0	2422	0
95	F109899	15235	5661	0	3	9571	0.37157860190351166	5661	0	5661	0
96	F109932	9698	2471	0	12	7215	0.2547948030521757	2471	0	2471	0
97	F110093	10669	2802	0	15	7852	0.2626300496766332	2802	0	2802	0
