split_smaller_side_taxa	smaller_side_taxa	status	profile_branch_length	mafft_branch_length
F1006475;F90408	2	profile_only	0.0232877794	
F101028;F5518	2	shared	0.0114769521	0.0115933604
F101201;F549676	2	profile_only	0.0035757741	
F103449;F291195	2	shared	0.1509290112	0.1250765655
F1042133;F117187	2	shared	0.0081454859	0.0084591237
F1042397;F2918522	2	shared	0.039912732	0.0449174213
F104341;F599839	2	shared	0.0182923395	0.020200925
F104669;F5619	2	shared	0.1284163908	0.1259673333
F1048519;F364730	2	shared	0.1184813926	0.12011829
F1052096;F1507870	2	shared	0.0645349548	0.0658443145
F1055551;F203533	2	mafft_only		0.0557323726
F1055551;F34349	2	profile_only	0.0487214972	
F105984;F279322	2	shared	0.0210419271	0.0225590462
F1080349;F230603	2	shared	0.0364656335	0.0276802374
F1081669;F1300064	2	shared	0.4280576005	0.3731416242
F1093897;F223376	2	shared	0.0498042264	0.0444656346
F1095194;F474922	2	shared	0.0200243826	0.0206966576
F109760;F1396493	2	shared	0.111012686	0.1177938423
F109876;F64508	2	shared	0.0724543583	0.069740798
F109889;F1555241	2	shared	0.0758824569	0.0655985079
F109932;F1604274	2	shared	0.0578515469	0.0590334516
F1099800;F5606	2	shared	0.3598451589	0.3674693365
F1116844;F2939404	2	shared	0.0597614621	0.0659760293
F1123529;F2725673	2	shared	0.4033195822	0.392275561
F112417;F113071	2	shared	0.0426783681	0.0455848991
F1125753;F383834	2	shared	0.112911281	0.1215310432
F1145299;F1145321	2	shared	0.0664140144	0.0688338374
F116603;F1912939	2	shared	0.0019738121	0.0015305987
F116794;F116821	2	shared	0.063189012	0.0708549295
F1174673;F39416	2	shared	0.0581483227	0.0622895945
F1176130;F1504668	2	shared	0.043275359	0.041494505
F120017;F280036	2	shared	0.0173239244	0.019532098
F1209916;F1209934	2	profile_only	0.0002633535	
F1209916;F145971	2	mafft_only		0.0005312701
F121624;F236234	2	shared	0.0338273214	0.0318318615
F1217826;F273283	2	shared	0.0409685885	0.0406435824
F122368;F1690608	2	shared	0.0232799026	0.0209575432
F1243177;F1498855	2	profile_only	0.1391427778	
F1269715;F84751	2	shared	0.0830442395	0.0921361813
F1280837;F63378	2	shared	0.0895516001	0.0897476822
F1286916;F1907219	2	shared	0.5863579066	0.5598522464
F1328300;F195108	2	shared	0.0435570404	0.0420091891
F13290;F157183	2	mafft_only		0.0077234604
F13291;F157183	2	profile_only	0.0008257084	
F1331295;F5219	2	shared	0.0406436036	0.0418123038
F133377;F61424	2	shared	0.270767009	0.2622774296
F1343614;F64571	2	shared	0.0127498084	0.0141812289
F1348612;F27376	2	shared	0.0277805487	0.0293144306
F13502;F4909	2	shared	0.0805766802	0.0713506848
F136370;F87287	2	shared	0.0176959011	0.0187724853
F139363;F1750568	2	shared	0.1275431592	0.1353452673
F1397036;F1590129	2	shared	0.0197474129	0.0239049465
F1424756;F89922	2	shared	0.034076583	0.0573391472
F143232;F82508	2	shared	0.0346631584	0.0380072524
F1440133;F979620	2	shared	0.0105987317	0.0210822468
F144530;F144679	2	shared	0.1323863302	0.1342407685
F144538;F144539	2	shared	0.2547955332	0.2728418561
F148304;F36779	2	shared	0.0872393039	0.087373339
F148313;F5116	2	shared	0.0392320553	0.0364425365
F1506992;F1825666	2	shared	0.030338386	0.0326022612
F1507873;F574656	2	shared	0.0438815439	0.04745276
F1522189;F401625	2	shared	0.2532384634	0.2528415778
F152956;F48021	2	shared	0.0280626828	0.0268030224
F1540922;F245174	2	shared	0.0582814652	0.0572226273
F1542792;F91480	2	shared	0.054889223	0.051179473
F1569628;F2878321	2	shared	0.0298992796	0.03273356
F162425;F41759	2	shared	0.015522262	0.0197842937
F164576;F2939403	2	shared	0.0880584502	0.0930911794
F1658444;F393283	2	shared	0.0548268693	0.0551325177
F1670608;F265104	2	shared	0.0149862045	0.015804042
F1684307;F574677	2	shared	0.032112588	0.0346381637
F169141;F669869	2	shared	0.0495358162	0.0543532376
F170446;F456999	2	shared	0.2348932154	0.2212836157
F1708541;F1708542	2	shared	0.0755180404	0.079976298
F1712513;F1851185	2	shared	0.0487782269	0.0522205092
F1738374;F2034170	2	shared	0.0008502745	0.0011260282
F174425;F2796175	2	shared	0.0514674384	0.0585380095
F174688;F70536	2	shared	0.4101049849	0.3800788534
F1754190;F2767002	2	mafft_only		6.30417e-05
F1754190;F3108450	2	profile_only	0.0004062644	
F1754191;F73868	2	shared	0.0182864582	0.0204113192
F1759441;F2748771	2	shared	0.0913369913	0.0910596149
F177197;F91930	2	shared	0.0549600858	0.0539209971
F1810926;F1810928	2	shared	0.0254298417	0.0265781618
F181123;F208348	2	shared	0.0409027988	0.0418049346
F183962;F500713	2	shared	0.1051649568	0.111024715
F1859121;F37769	2	shared	0.0008904475	0.0008493799
F1859122;F552467	2	shared	0.0032257456	0.0028849812
F1897645;F64525	2	shared	0.0607464858	0.0684795504
F1940652;F209281	2	shared	0.0797338886	0.0873606179
F199306;F63402	2	shared	0.0322030545	0.0359161007
F2019550;F2035830	2	shared	0.2647715366	0.2687523148
F2020955;F2109901	2	shared	0.9422587971	0.8643870195
F2020962;F223818	2	shared	0.049758847	0.0534380242
F203908;F60197	2	shared	0.0944492203	0.0966484249
F2082308;F2601811	2	shared	0.0740223281	0.0760988533
F208960;F2282107	2	shared	0.0286859481	0.0283153365
F209136;F560253	2	shared	0.029093223	0.0328696675
F215637;F78921	2	shared	0.0829746826	0.0807131871
F223192;F41990	2	shared	0.0209791161	0.020667551
F2268995;F796027	2	shared	0.0871469454	0.086238581
F2340872;F994334	2	shared	0.0956642369	0.1315900294
F241526;F5476	2	shared	0.0275464437	0.0234142597
F2486360;F293227	2	shared	0.0347337247	0.0351299392
F253628;F50376	2	shared	0.0358222185	0.0330608476
F2545709;F4896	2	shared	0.1390552019	0.1411340807
F2600213;F2600215	2	mafft_only		0.0129800187
F2600213;F2600216	2	profile_only	0.0156398427	
F2609844;F72144	2	shared	0.035312335	0.0336449996
F263815;F4754	2	shared	0.1099441056	0.1137085795
F264483;F29902	2	shared	0.220960986	0.2294758131
F2650707;F61397	2	shared	0.0519760944	0.055396203
