tree_type	tree_id	fungal_entries	outgroup_entries	status	separating_edge_length	marker_sh_alrt_percent	outgroup_taxa_json	fungal_taxa_sha256	tree_sha256
guide	profile-guide-audit-v1	501	25	exact_fungal_outgroup_split	0.0695540359		"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426458"", ""OFS5426470"", ""OFS5426494"", ""OFS5426506""]"	acd65fdf06284fba73bfb9d85e2890d41fcb03b8e7d24838962758f25691405d	32345236e2a33123c68ddb2a7013c19feae7ec0d888306d09927382aa7ff5c45
guide	mafft-guide-audit-v1	501	25	exact_fungal_outgroup_split	0.059788186		"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426458"", ""OFS5426470"", ""OFS5426494"", ""OFS5426506""]"	acd65fdf06284fba73bfb9d85e2890d41fcb03b8e7d24838962758f25691405d	6237ed38d86e67cad350ddf98de00ca0fb11efae35169de71167e289f6bf5f8a
marker	115730at2759	456	25	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426458"", ""OFS5426470"", ""OFS5426494"", ""OFS5426506""]"	050676c33252aa77ab12ceb97e3e80f737329dd8554a4a45fb1f49e4b9fc457e	4ef097d78dffcaccb07eb30e0253a181c02543ed712b5b732602e216f342e083
marker	129234at2759	452	20	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O691883"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	3008b2aecb349e3292b7c260021b9ff1ddae6edc296e5269d7ca8e71f91cb4cf	029b5c4c5ab52cc039334a04301dba45dee0086f35d1d3d78ab634fb41ee2ea8
marker	160487at2759	465	22	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	0d564eb2b57544af911cd375e7e7b2ddd76c0fe5906333e392382ad5feba60f1	e985be1ac2f2ea751d79413e9c7f995669740b410a65eded5d7ac75c2b134c61
marker	201273at2759	458	20	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O81824"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	96d499e179cb73575f9e510c5ae902b1aa1c59f229a7efd365304d6da73ea330	f7223cf24cc77b2a60affde9cac3b4afdd0dc6d2a3a820f41af40c2ac01a72e1
marker	207567at2759	456	22	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	74705b2dad6f05fe516efcf95c50a5019e3d6e6e425d7b65c2c1a5d3088d5381	a1b67b79a805d51d6bf2ea0b863e216b7da174bc0478ddf163b73417a6b2bdce
marker	260326at2759	467	21	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O6239"", ""O691883"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	64ccaff8fc4048d8816f9db5763bb38558682755b3813e3134e21471b21f75be	cfc4c8a4dd814de41b8ab47356f659422b4af27ce2783f02669fcfd8323125e0
marker	2852757at2759	455	22	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	3ba63599e8b9f9ae472c2a1bfeae4cb59c69d03bc88ca2099190592c78a5c8ff	4d82750c612f99ff3590528cc6bf8d4369891a2b55efe812a2ab515b92adb8e4
marker	288615at2759	486	18	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O192875"", ""O225164"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5786"", ""O691883"", ""O72019"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	2c7b987599b934fb9a36637a90b6b72aeee87e0811f476bcc1e11f5ad99bd179	e1749ca26286ba34bac8f85ab5e5a54ac4b915aaee274502db7a38b44354bf32
