model_id	alphabet_model_full	rate_model_full	rsa_scale_full	controls_full	term	coefficient_full	marker_cluster_standard_error_full	t_statistic_full	p_value_conditional_cluster_t_full	ci95_lower_full	ci95_upper_full	bh_q_across_all_72_focal_tests_full	alphabet_model_omission	rate_model_omission	rsa_scale_omission	controls_omission	coefficient_omission	marker_cluster_standard_error_omission	t_statistic_omission	p_value_conditional_cluster_t_omission	ci95_lower_omission	ci95_upper_omission	bh_q_across_all_72_focal_tests_omission	omission_minus_full
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_log1p_rate	0.1868207037032519	0.0125287973036264	14.911303868662417	2.37824364723941e-29	0.1620207176430895	0.2116206897634142	3.9942424795492757e-28	3di_af	gamma	tien2013	coverage_confidence	0.187090739943489	0.0125967751706129	14.85227269753557	3.964989977278767e-29	0.162154165346764	0.2120273145402139	6.573391768246522e-28	0.0002700362402370815
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	rsa_centered	-0.1982216421999853	0.0235050942052013	-8.433135407562904	7.611660731801008e-14	-0.2447485349659072	-0.1516947494340634	2.1921582907586907e-13	3di_af	gamma	tien2013	coverage_confidence	-0.1994522344565014	0.0236431138398163	-8.435954578902043	7.855202590225188e-14	-0.246256139740202	-0.1526483291728007	2.2622983459848545e-13	-0.0012305922565160887
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_by_rsa	-0.1641399862094534	0.0312791512793148	-5.2475843971508365	6.526784061485601e-07	-0.2260551482877951	-0.1022248241311118	1.0928568661092168e-06	3di_af	gamma	tien2013	coverage_confidence	-0.1606666906621424	0.0313410956005283	-5.126390369691929	1.123448203678133e-06	-0.2227095197037306	-0.0986238616205543	1.881122573600595e-06	0.0034732955473109894
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_log1p_rate	0.1083549445089447	0.0185090221867331	5.8541690325819244	4.078440421954403e-08	0.0717174699697602	0.1449924190481293	7.727571325808342e-08	3di_af	gamma	tien2013	composition_adjusted	0.1080586789746752	0.0186135152072499	5.805388061927516	5.202641252239245e-08	0.0712113665327023	0.1449059914166481	9.85763605687436e-08	-0.00029626553426949365
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	rsa_centered	-0.2580733229559871	0.022517129840456	-11.461199752568454	3.8954669074240685e-21	-0.3026446008388644	-0.2135020450731098	1.7529601083408312e-20	3di_af	gamma	tien2013	composition_adjusted	-0.2596305193861903	0.0226457870083452	-11.46484859592264	4.251339794461997e-21	-0.3044601165955265	-0.2148009221768541	1.9131029075078982e-20	-0.0015571964302031893
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_by_rsa	-0.1467644809397716	0.0306849922505157	-4.782940133781675	4.846626839676946e-06	-0.2075035416514264	-0.0860254202281168	7.121574131770206e-06	3di_af	gamma	tien2013	composition_adjusted	-0.1433190469327404	0.030745261613298	-4.661500322727828	8.08919174379735e-06	-0.2041823630856256	-0.0824557307798552	1.1420035403008024e-05	0.003445434007031206
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_log1p_rate	0.1908348662343399	0.0126755946213235	15.055298937480035	1.1044788509825503e-29	0.1657443038846638	0.2159254285840161	3.954912314948233e-28	3di_af	gamma	miller1987	coverage_confidence	0.1910218303110242	0.0127401014450202	14.993744840680908	1.872000501104824e-29	0.1658015270389025	0.2162421335831459	6.573391768246522e-28	0.00018696407668430948
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	rsa_centered	-0.1681553741942282	0.0203369450917783	-8.268467728823662	1.85281888848307e-13	-0.2084111100449796	-0.1278996383434769	4.940850369288187e-13	3di_af	gamma	miller1987	coverage_confidence	-0.1690768856379116	0.0204661781683268	-8.261282797761055	2.0125351107746653e-13	-0.2095917294524584	-0.1285620418233647	5.573174152914458e-13	-0.0009215114436833816
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_by_rsa	-0.1306060071096092	0.0263447780198446	-4.957567188883818	2.3111983287862806e-06	-0.1827538798715947	-0.0784581343476236	3.617527818969831e-06	3di_af	gamma	miller1987	coverage_confidence	-0.1279435705856574	0.0264275183178532	-4.841300989628847	3.820855553664604e-06	-0.1802594826356615	-0.0756276585356534	5.980469562257642e-06	0.0026624365239518166
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	aa_log1p_rate	0.1124528299634134	0.018724738940369	6.005575315176986	1.991574694876786e-08	0.0753883573370648	0.149517302589762	3.8754967035440174e-08	3di_af	gamma	miller1987	composition_adjusted	0.1120870995509942	0.0188255858009998	5.95397671742257	2.5857327294344604e-08	0.0748199721874091	0.1493542269145794	5.031696122142735e-08	-0.0003657304124191907
