marker	block_length	pairs	valid_draws	unestimable_draws
115730at2759	1	7021	200	0
115730at2759	10	7021	200	0
115730at2759	30	7021	200	0
129234at2759	1	7626	200	0
129234at2759	10	7626	199	1
129234at2759	30	7626	198	2
160487at2759	1	3486	200	0
160487at2759	10	3486	200	0
160487at2759	30	3486	200	0
201273at2759	1	6441	200	0
201273at2759	10	6441	200	0
201273at2759	30	6441	200	0
207567at2759	1	7260	200	0
207567at2759	10	7260	200	0
207567at2759	30	7260	200	0
260326at2759	1	9045	200	0
260326at2759	10	9045	200	0
260326at2759	30	9045	200	0
2852757at2759	1	5050	200	0
2852757at2759	10	5050	200	0
2852757at2759	30	5050	200	0
288615at2759	1	6786	200	0
288615at2759	10	6786	200	0
288615at2759	30	6786	200	0
319730at2759	1	6328	200	0
319730at2759	10	6328	200	0
319730at2759	30	6328	200	0
340246at2759	1	4753	200	0
340246at2759	10	4753	200	0
340246at2759	30	4753	200	0
345792at2759	1	6328	200	0
345792at2759	10	6328	200	0
345792at2759	30	6328	200	0
352891at2759	1	6105	200	0
352891at2759	10	6105	200	0
352891at2759	30	6105	200	0
3643464at2759	1	5050	200	0
3643464at2759	10	5050	200	0
3643464at2759	30	5050	200	0
4613677at2759	1	4753	200	0
4613677at2759	10	4753	200	0
4613677at2759	30	4753	200	0
4695236at2759	1	5671	200	0
4695236at2759	10	5671	200	0
4695236at2759	30	5671	200	0
4747214at2759	1	7021	200	0
4747214at2759	10	7021	200	0
4747214at2759	30	7021	200	0
4764044at2759	1	6216	200	0
4764044at2759	10	6216	200	0
4764044at2759	30	6216	200	0
4803900at2759	1	4371	200	0
4803900at2759	10	4371	200	0
4803900at2759	30	4371	200	0
4810093at2759	1	3828	200	0
4810093at2759	10	3828	200	0
4810093at2759	30	3828	200	0
4813267at2759	1	5151	200	0
4813267at2759	10	5151	200	0
4813267at2759	30	5151	200	0
4823929at2759	1	5778	200	0
4823929at2759	10	5778	200	0
4823929at2759	30	5778	200	0
4837017at2759	1	5778	200	0
4837017at2759	10	5778	200	0
4837017at2759	30	5778	200	0
4838864at2759	1	5995	200	0
4838864at2759	10	5995	200	0
4838864at2759	30	5995	200	0
4843240at2759	1	5460	200	0
4843240at2759	10	5460	200	0
4843240at2759	30	5460	200	0
4843824at2759	1	6105	200	0
4843824at2759	10	6105	200	0
4843824at2759	30	6105	200	0
4867008at2759	1	6786	200	0
4867008at2759	10	6786	200	0
4867008at2759	30	6786	200	0
4888252at2759	1	5151	200	0
4888252at2759	10	5151	200	0
4888252at2759	30	5151	200	0
4896098at2759	1	6441	200	0
4896098at2759	10	6441	200	0
4896098at2759	30	6441	200	0
4900375at2759	1	6441	200	0
4900375at2759	10	6441	200	0
4900375at2759	30	6441	198	2
4908955at2759	1	6786	200	0
4908955at2759	10	6786	200	0
4908955at2759	30	6786	200	0
4911644at2759	1	5253	200	0
4911644at2759	10	5253	200	0
4911644at2759	30	5253	200	0
4940884at2759	1	4656	200	0
4940884at2759	10	4656	200	0
4940884at2759	30	4656	200	0
4969018at2759	1	6903	200	0
4969018at2759	10	6903	200	0
4969018at2759	30	6903	200	0
4969636at2759	1	6441	200	0
4969636at2759	10	6441	200	0
4969636at2759	30	6441	200	0
4969990at2759	1	8001	200	0
4969990at2759	10	8001	200	0
4969990at2759	30	8001	200	0
4970387at2759	1	6105	200	0
4970387at2759	10	6105	200	0
4970387at2759	30	6105	199	1
4970538at2759	1	7021	200	0
4970538at2759	10	7021	200	0
4970538at2759	30	7021	200	0
4971272at2759	1	6670	200	0
4971272at2759	10	6670	200	0
4971272at2759	30	6670	200	0
4974767at2759	1	5886	200	0
4974767at2759	10	5886	200	0
4974767at2759	30	5886	200	0
4975094at2759	1	6105	200	0
4975094at2759	10	6105	200	0
4975094at2759	30	6105	200	0
4976279at2759	1	5886	200	0
4976279at2759	10	5886	200	0
4976279at2759	30	5886	200	0
4977163at2759	1	5671	200	0
4977163at2759	10	5671	200	0
4977163at2759	30	5671	197	3
4977863at2759	1	5671	200	0
4977863at2759	10	5671	200	0
4977863at2759	30	5671	200	0
4983000at2759	1	7140	200	0
4983000at2759	10	7140	200	0
4983000at2759	30	7140	200	0
4985971at2759	1	6903	200	0
4985971at2759	10	6903	200	0
4985971at2759	30	6903	200	0
4986044at2759	1	6670	200	0
4986044at2759	10	6670	200	0
4986044at2759	30	6670	200	0
4987397at2759	1	5778	200	0
4987397at2759	10	5778	200	0
4987397at2759	30	5778	200	0
4988239at2759	1	5671	200	0
4988239at2759	10	5671	200	0
4988239at2759	30	5671	200	0
5000045at2759	1	6670	200	0
5000045at2759	10	6670	200	0
5000045at2759	30	6670	200	0
5000152at2759	1	5886	200	0
5000152at2759	10	5886	200	0
5000152at2759	30	5886	200	0
5000362at2759	1	6328	200	0
5000362at2759	10	6328	200	0
5000362at2759	30	6328	200	0
5000371at2759	1	5151	200	0
5000371at2759	10	5151	200	0
5000371at2759	30	5151	200	0
5000452at2759	1	5671	200	0
5000452at2759	10	5671	200	0
5000452at2759	30	5671	200	0
5000476at2759	1	7021	200	0
5000476at2759	10	7021	200	0
5000476at2759	30	7021	200	0
5000743at2759	1	6328	200	0
5000743at2759	10	6328	200	0
5000743at2759	30	6328	200	0
5000823at2759	1	6441	200	0
5000823at2759	10	6441	200	0
5000823at2759	30	6441	200	0
5000870at2759	1	6441	200	0
5000870at2759	10	6441	200	0
5000870at2759	30	6441	200	0
5000986at2759	1	5151	200	0
5000986at2759	10	5151	200	0
5000986at2759	30	5151	200	0
5001156at2759	1	5565	200	0
5001156at2759	10	5565	200	0
5001156at2759	30	5565	199	1
5001273at2759	1	6441	200	0
5001273at2759	10	6441	200	0
5001273at2759	30	6441	200	0
5001280at2759	1	6105	200	0
5001280at2759	10	6105	200	0
5001280at2759	30	6105	200	0
5001318at2759	1	4656	200	0
5001318at2759	10	4656	200	0
