marker	block_length	draws	valid_draws	unestimable_draws	branches
115730at2759	1	200	200	0	235
115730at2759	10	200	200	0	235
115730at2759	30	200	200	0	235
129234at2759	1	200	200	0	245
129234at2759	10	200	199	1	245
129234at2759	30	200	198	2	245
160487at2759	1	200	200	0	165
160487at2759	10	200	200	0	165
160487at2759	30	200	200	0	165
201273at2759	1	200	200	0	225
201273at2759	10	200	200	0	225
201273at2759	30	200	200	0	225
207567at2759	1	200	200	0	239
207567at2759	10	200	200	0	239
207567at2759	30	200	200	0	239
260326at2759	1	200	200	0	267
260326at2759	10	200	200	0	267
260326at2759	30	200	200	0	267
2852757at2759	1	200	200	0	199
2852757at2759	10	200	200	0	199
2852757at2759	30	200	200	0	199
288615at2759	1	200	200	0	231
288615at2759	10	200	200	0	231
288615at2759	30	200	200	0	231
319730at2759	1	200	200	0	223
319730at2759	10	200	200	0	223
319730at2759	30	200	200	0	223
340246at2759	1	200	200	0	193
340246at2759	10	200	200	0	193
340246at2759	30	200	200	0	193
345792at2759	1	200	200	0	223
345792at2759	10	200	200	0	223
345792at2759	30	200	200	0	223
352891at2759	1	200	200	0	219
352891at2759	10	200	200	0	219
352891at2759	30	200	200	0	219
3643464at2759	1	200	200	0	199
3643464at2759	10	200	200	0	199
3643464at2759	30	200	200	0	199
4613677at2759	1	200	200	0	193
4613677at2759	10	200	200	0	193
4613677at2759	30	200	200	0	193
4695236at2759	1	200	200	0	211
4695236at2759	10	200	200	0	211
4695236at2759	30	200	200	0	211
4747214at2759	1	200	200	0	235
4747214at2759	10	200	200	0	235
4747214at2759	30	200	200	0	235
4764044at2759	1	200	200	0	221
4764044at2759	10	200	200	0	221
4764044at2759	30	200	200	0	221
4803900at2759	1	200	200	0	185
4803900at2759	10	200	200	0	185
4803900at2759	30	200	200	0	185
4810093at2759	1	200	200	0	173
4810093at2759	10	200	200	0	173
4810093at2759	30	200	200	0	173
4813267at2759	1	200	200	0	201
4813267at2759	10	200	200	0	201
4813267at2759	30	200	200	0	201
4823929at2759	1	200	200	0	213
4823929at2759	10	200	200	0	213
4823929at2759	30	200	200	0	213
4837017at2759	1	200	200	0	213
4837017at2759	10	200	200	0	213
4837017at2759	30	200	200	0	213
4838864at2759	1	200	200	0	217
4838864at2759	10	200	200	0	217
4838864at2759	30	200	200	0	217
4843240at2759	1	200	200	0	207
4843240at2759	10	200	200	0	207
4843240at2759	30	200	200	0	207
4843824at2759	1	200	200	0	219
4843824at2759	10	200	200	0	219
4843824at2759	30	200	200	0	219
4867008at2759	1	200	200	0	231
4867008at2759	10	200	200	0	231
4867008at2759	30	200	200	0	231
4888252at2759	1	200	200	0	201
4888252at2759	10	200	200	0	201
4888252at2759	30	200	200	0	201
4896098at2759	1	200	200	0	225
4896098at2759	10	200	200	0	225
4896098at2759	30	200	200	0	225
4900375at2759	1	200	200	0	225
4900375at2759	10	200	200	0	225
4900375at2759	30	200	198	2	225
4908955at2759	1	200	200	0	231
4908955at2759	10	200	200	0	231
4908955at2759	30	200	200	0	231
4911644at2759	1	200	200	0	203
4911644at2759	10	200	200	0	203
4911644at2759	30	200	200	0	203
4940884at2759	1	200	200	0	191
4940884at2759	10	200	200	0	191
4940884at2759	30	200	200	0	191
4969018at2759	1	200	200	0	233
4969018at2759	10	200	200	0	233
4969018at2759	30	200	200	0	233
4969636at2759	1	200	200	0	225
4969636at2759	10	200	200	0	225
4969636at2759	30	200	200	0	225
4969990at2759	1	200	200	0	251
4969990at2759	10	200	200	0	251
4969990at2759	30	200	200	0	251
4970387at2759	1	200	200	0	219
4970387at2759	10	200	200	0	219
4970387at2759	30	200	199	1	219
4970538at2759	1	200	200	0	235
4970538at2759	10	200	200	0	235
4970538at2759	30	200	200	0	235
4971272at2759	1	200	200	0	229
4971272at2759	10	200	200	0	229
4971272at2759	30	200	200	0	229
4974767at2759	1	200	200	0	215
4974767at2759	10	200	200	0	215
4974767at2759	30	200	200	0	215
4975094at2759	1	200	200	0	219
4975094at2759	10	200	200	0	219
4975094at2759	30	200	200	0	219
4976279at2759	1	200	200	0	215
4976279at2759	10	200	200	0	215
4976279at2759	30	200	200	0	215
4977163at2759	1	200	200	0	211
4977163at2759	10	200	200	0	211
4977163at2759	30	200	197	3	211
4977863at2759	1	200	200	0	211
4977863at2759	10	200	200	0	211
4977863at2759	30	200	200	0	211
4983000at2759	1	200	200	0	237
4983000at2759	10	200	200	0	237
4983000at2759	30	200	200	0	237
4985971at2759	1	200	200	0	233
4985971at2759	10	200	200	0	233
4985971at2759	30	200	200	0	233
4986044at2759	1	200	200	0	229
4986044at2759	10	200	200	0	229
4986044at2759	30	200	200	0	229
4987397at2759	1	200	200	0	213
4987397at2759	10	200	200	0	213
4987397at2759	30	200	200	0	213
4988239at2759	1	200	200	0	211
4988239at2759	10	200	200	0	211
4988239at2759	30	200	200	0	211
5000045at2759	1	200	200	0	229
5000045at2759	10	200	200	0	229
5000045at2759	30	200	200	0	229
5000152at2759	1	200	200	0	215
5000152at2759	10	200	200	0	215
5000152at2759	30	200	200	0	215
5000362at2759	1	200	200	0	223
5000362at2759	10	200	200	0	223
5000362at2759	30	200	200	0	223
5000371at2759	1	200	200	0	201
5000371at2759	10	200	200	0	201
5000371at2759	30	200	200	0	201
5000452at2759	1	200	200	0	211
5000452at2759	10	200	200	0	211
5000452at2759	30	200	200	0	211
5000476at2759	1	200	200	0	235
5000476at2759	10	200	200	0	235
5000476at2759	30	200	200	0	235
5000743at2759	1	200	200	0	223
5000743at2759	10	200	200	0	223
5000743at2759	30	200	200	0	223
5000823at2759	1	200	200	0	225
5000823at2759	10	200	200	0	225
5000823at2759	30	200	200	0	225
5000870at2759	1	200	200	0	225
5000870at2759	10	200	200	0	225
5000870at2759	30	200	200	0	225
5000986at2759	1	200	200	0	201
5000986at2759	10	200	200	0	201
5000986at2759	30	200	200	0	201
5001156at2759	1	200	200	0	209
5001156at2759	10	200	200	0	209
5001156at2759	30	200	199	1	209
5001273at2759	1	200	200	0	225
5001273at2759	10	200	200	0	225
5001273at2759	30	200	200	0	225
5001280at2759	1	200	200	0	219
5001280at2759	10	200	200	0	219
5001280at2759	30	200	200	0	219
5001318at2759	1	200	200	0	191
5001318at2759	10	200	200	0	191
5001318at2759	30	200	200	0	191
5001413at2759	1	200	200	0	233
5001413at2759	10	200	200	0	233
5001413at2759	30	200	200	0	233
5001473at2759	1	200	200	0	235
5001473at2759	10	200	200	0	235
5001473at2759	30	200	200	0	235
5001660at2759	1	200	200	0	223
5001660at2759	10	200	200	0	223
5001660at2759	30	200	200	0	223
5001734at2759	1	200	200	0	211
5001734at2759	10	200	200	0	211
5001734at2759	30	200	200	0	211
5001941at2759	1	200	200	0	203
5001941at2759	10	200	200	0	203
5001941at2759	30	200	200	0	203
5002334at2759	1	200	200	0	207
5002334at2759	10	200	200	0	207
5002334at2759	30	200	200	0	207
5002573at2759	1	200	200	0	207
5002573at2759	10	200	200	0	207
5002573at2759	30	200	200	0	207
5003022at2759	1	200	200	0	213
5003022at2759	10	200	200	0	213
5003022at2759	30	200	200	0	213
5003192at2759	1	200	200	0	217
5003192at2759	10	200	200	0	217
5003192at2759	30	200	200	0	217
5003205at2759	1	200	200	0	7
5003205at2759	10	200	200	0	7
5003205at2759	30	200	200	0	7
5003856at2759	1	200	200	0	219
5003856at2759	10	200	200	0	219
5003856at2759	30	200	200	0	219
5003972at2759	1	200	200	0	203
5003972at2759	10	200	200	0	203
5003972at2759	30	200	200	0	203
5004118at2759	1	200	200	0	219
5004118at2759	10	200	200	0	219
5004118at2759	30	200	199	1	219
5004265at2759	1	200	200	0	219
5004265at2759	10	200	200	0	219
5004265at2759	30	200	200	0	219
5004327at2759	1	200	200	0	189
5004327at2759	10	200	200	0	189
5004327at2759	30	200	200	0	189
5004391at2759	1	200	200	0	185
5004391at2759	10	200	200	0	185
5004391at2759	30	200	200	0	185
5004478at2759	1	200	200	0	223
5004478at2759	10	200	200	0	223
5004478at2759	30	200	200	0	223
5004599at2759	1	200	200	0	225
5004599at2759	10	200	200	0	225
5004599at2759	30	200	200	0	225
5005010at2759	1	200	200	0	247
5005010at2759	10	200	200	0	247
5005010at2759	30	200	200	0	247
5005174at2759	1	200	200	0	237
5005174at2759	10	200	200	0	237
5005174at2759	30	200	200	0	237
5005196at2759	1	200	200	0	223
5005196at2759	10	200	200	0	223
5005196at2759	30	200	200	0	223
5005215at2759	1	200	200	0	211
5005215at2759	10	200	200	0	211
5005215at2759	30	200	200	0	211
5005217at2759	1	200	200	0	223
5005217at2759	10	200	200	0	223
5005217at2759	30	200	200	0	223
5005274at2759	1	200	200	0	219
5005274at2759	10	200	200	0	219
5005274at2759	30	200	200	0	219
5005697at2759	1	200	200	0	219
5005697at2759	10	200	200	0	219
5005697at2759	30	200	200	0	219
5005750at2759	1	200	200	0	235
5005750at2759	10	200	200	0	235
5005750at2759	30	200	200	0	235
5005892at2759	1	200	200	0	211
5005892at2759	10	200	200	0	211
5005892at2759	30	200	200	0	211
5006326at2759	1	200	200	0	213
5006326at2759	10	200	200	0	213
5006326at2759	30	200	200	0	213
5006412at2759	1	200	200	0	199
5006412at2759	10	200	200	0	199
5006412at2759	30	200	200	0	199
5011777at2759	1	200	200	0	197
5011777at2759	10	200	200	0	197
5011777at2759	30	200	200	0	197
5013042at2759	1	200	200	0	203
5013042at2759	10	200	200	0	203
5013042at2759	30	200	200	0	203
5013067at2759	1	200	200	0	245
5013067at2759	10	200	200	0	245
5013067at2759	30	200	200	0	245
5013259at2759	1	200	200	0	227
5013259at2759	10	200	200	0	227
5013259at2759	30	200	200	0	227
5013539at2759	1	200	200	0	223
5013539at2759	10	200	200	0	223
5013539at2759	30	200	200	0	223
5013726at2759	1	200	200	0	233
5013726at2759	10	200	200	0	233
5013726at2759	30	200	200	0	233
5013738at2759	1	200	200	0	247
5013738at2759	10	200	200	0	247
5013738at2759	30	200	200	0	247
5013992at2759	1	200	200	0	199
5013992at2759	10	200	200	0	199
5013992at2759	30	200	200	0	199
5014007at2759	1	200	200	0	195
5014007at2759	10	200	200	0	195
5014007at2759	30	200	200	0	195
5015403at2759	1	200	200	0	217
5015403at2759	10	200	200	0	217
5015403at2759	30	200	200	0	217
5015647at2759	1	200	200	0	211
5015647at2759	10	200	200	0	211
5015647at2759	30	200	200	0	211
5015712at2759	1	200	200	0	207
5015712at2759	10	200	200	0	207
5015712at2759	30	200	200	0	207
5015742at2759	1	200	200	0	217
5015742at2759	10	200	200	0	217
5015742at2759	30	200	200	0	217
5015876at2759	1	200	200	0	225
5015876at2759	10	200	200	0	225
5015876at2759	30	200	200	0	225
5017019at2759	1	200	200	0	223
5017019at2759	10	200	200	0	223
5017019at2759	30	200	200	0	223
5018803at2759	1	200	200	0	203
5018803at2759	10	200	200	0	203
5018803at2759	30	200	200	0	203
529759at2759	1	200	200	0	261
529759at2759	10	200	200	0	261
529759at2759	30	200	200	0	261
530014at2759	1	200	200	0	221
530014at2759	10	200	200	0	221
530014at2759	30	200	200	0	221
530740at2759	1	200	200	0	179
530740at2759	10	200	200	0	179
530740at2759	30	200	200	0	179
538728at2759	1	200	200	0	221
538728at2759	10	200	200	0	221
538728at2759	30	200	200	0	221
538952at2759	1	200	200	0	203
538952at2759	10	200	200	0	203
538952at2759	30	200	200	0	203
539632at2759	1	200	200	0	243
539632at2759	10	200	200	0	243
539632at2759	30	200	200	0	243
540946at2759	1	200	200	0	205
540946at2759	10	200	200	0	205
540946at2759	30	200	200	0	205
541070at2759	1	200	200	0	219
541070at2759	10	200	200	0	219
541070at2759	30	200	200	0	219
554735at2759	1	200	200	0	223
554735at2759	10	200	200	0	223
554735at2759	30	200	200	0	223
649304at2759	1	200	200	0	217
649304at2759	10	200	200	0	217
649304at2759	30	200	200	0	217
707076at2759	1	200	200	0	231
707076at2759	10	200	200	0	231
707076at2759	30	200	200	0	231
707202at2759	1	200	200	0	229
707202at2759	10	200	200	0	229
707202at2759	30	200	200	0	229
727964at2759	1	200	200	0	213
727964at2759	10	200	200	0	213
727964at2759	30	200	198	2	213
730114at2759	1	200	200	0	217
730114at2759	10	200	200	0	217
730114at2759	30	200	200	0	217
760428at2759	1	200	200	0	225
760428at2759	10	200	200	0	225
760428at2759	30	200	200	0	225
776280at2759	1	200	200	0	209
776280at2759	10	200	200	0	209
