genus_label	snapshot_markers	assessed_markers	edge_separable_markers	separating_edge_sh_alrt_ge80	markers_with_incompatible_edge_sh_alrt_ge80
Amanita	17	17	13	12	2
Aspergillus	17	17	14	13	3
Candida	17	13	12	10	1
Colletotrichum	17	16	16	14	0
Cryptococcus	17	17	15	15	1
Fusarium	17	16	11	11	3
Malassezia	17	15	15	15	0
Microbotryum	17	15	15	15	0
Naganishia	17	10	5	5	5
Saccharomyces	17	17	17	16	0
Serendipita	17	16	11	11	3
Suillus	17	17	17	17	0
Tilletia	17	16	16	16	0
Trichoderma	17	17	16	16	1
Umbelopsis	17	15	15	15	0
Wallemia	17	16	15	14	1
