taxon_id	species_name	study_role	unambiguous_residues	unambiguous_fraction
F1004511	Amanita polypyramis	ingroup	39547	0.8066371591164052
F1005962	Ogataea parapolymorpha	ingroup	46314	0.9446631447977645
F1006475	Circinaria calcarea	ingroup	40905	0.8343361821037387
F100910	Rhodosporidiobolus nylandii	ingroup	47166	0.9620413241683154
F101028	Fusarium pseudograminearum	ingroup	47942	0.9778693373039345
F101097	Entomortierella chlamydospora	ingroup	46422	0.9468660126052991
F101098	Gamsiella multidivaricata	ingroup	46508	0.9486201480816693
F101201	Trichoderma asperellum	ingroup	46528	0.9490280865645461
F1031713	Tilletia maclaganii	ingroup	46428	0.9469883941501621
F103449	Vavraia culicis	ingroup	14818	0.3022416219634079
F1042133	Fusarium musae	ingroup	47678	0.9724845493299611
F1042397	Schaereria dolodes	ingroup	45305	0.9240826483366308
F104341	Rhodonia placenta	ingroup	46160	0.9415220184796133
F104355	Gloeophyllum trabeum	ingroup	47799	0.9749525771513656
F104408	Naganishia liquefaciens	ingroup	47904	0.9770942541864687
F104669	Cryptococcus amylolentus	ingroup	41786	0.852305872274461
F1048519	Viridothelium virens	ingroup	48161	0.9823362636914353
F1048829	Paracoccidioides lutzii	ingroup	48120	0.981499989801538
F1048955	Tothia fuscella	ingroup	48293	0.9850286576784221
F1052096	Cladosporium halotolerans	ingroup	48243	0.9840088114712301
F1055551	Tritirachium sp. CBS 265.96	ingroup	47096	0.9606135394782467
F105984	Apiotrichum porosum	ingroup	47946	0.97795092500051
F106004	Leucosporidium creatinivorum	ingroup	46590	0.9502926958614641
F1069201	Aspergillus luchuensis	ingroup	47980	0.9786444204214004
F1080349	Saccharomyces eubayanus	ingroup	45766	0.9334856303669407
F1081669	Hepatospora eriocheir	ingroup	10800	0.2202867807534624
F1093897	Phialemonium atrogriseum	ingroup	47950	0.9780325126970852
F1093900	Thyridium curvatum	ingroup	47809	0.9751565463928039
F1095194	Colletotrichum karsti	ingroup	47789	0.9747486079099272
F109760	Spizellomyces punctatus	ingroup	47017	0.9590021824708834
F109876	Catenaria anguillulae	ingroup	42237	0.8615048850633324
F109889	Lobulomyces angularis	ingroup	45475	0.9275501254410835
F109899	Serendipita vermifera	ingroup	44579	0.9092744814082037
F109932	Entophlyctis luteolus	ingroup	41197	0.8402920839537398
F1099800	Saitoella coloradoensis	ingroup	48061	0.9802965712770514
F110093	Polychytrium aggregatum	ingroup	47698	0.9728924878128378
F1116844	Thelocarpon impressellum	ingroup	47538	0.9696289799498236
F1117311	Funneliformis geosporum	ingroup	45263	0.9232259775225896
F112072	Naohidea sebacea	ingroup	47605	0.9709955738674608
F1123529	Gonapodya prolifera	ingroup	45926	0.9367491382299549
F112417	Gautieria morchelliformis	ingroup	47241	0.9635710934791033
F1125753	Limtongia smithiae	ingroup	46748	0.9535154098761907
F1130053	Cirrosporium novae-zelandiae	ingroup	46220	0.9427458339282436
F113071	Ramaria rubella	ingroup	43832	0.8940379790727558
F1141098	Pseudomassariella vexata	ingroup	48104	0.9811736390152365
F114524	Saccharomyces kudriavzevii	ingroup	46245	0.9432557570318396
F114525	Saccharomyces mikatae	ingroup	46300	0.9443775878597508
F1145299	Brigantiaea leucoxantha	ingroup	40618	0.828482264874457
F1145321	Letrouitia subvulpina	ingroup	42634	0.8696024639484365
F116603	Suillus plorans	ingroup	47582	0.9705264446121525
F116794	Heterodermia speciosa	ingroup	47523	0.969323026087666
F116821	Physcia stellaris	ingroup	45322	0.9244293960470761
F116982	Xanthoria calcicola	ingroup	42004	0.856752401737818
F117179	Tilletia walkeri	ingroup	45833	0.9348522242845779
F117187	Fusarium verticillioides	ingroup	37734	0.7696575356436249
F1174673	Morchella importuna	ingroup	48082	0.9807249066840721
F1176130	Aulographum hederae	ingroup	48111	0.9813164174842434
F1176355	Hamiltosporidium tvaerminnensis	ingroup	14131	0.2882289350765905
F120017	Ustilago hordei	ingroup	47035	0.9593693271054725
F1209916	Colletotrichum costaricense	ingroup	48406	0.9873335101066759
F1209934	Colletotrichum tamarilloi	ingroup	48369	0.9865788239133538
F1213189	Zancudomyces culisetae	ingroup	17308	0.3530299630815673
F1214568	Diaporthe amygdali	ingroup	48055	0.9801741897321884
F121624	Phyllosticta capitalensis	ingroup	48459	0.9884145470862994
F1217826	Xylona heveae	ingroup	48319	0.985558977706162
F1220207	Aspergillus puulaauensis	ingroup	48491	0.9890672486589023
F122368	Cercospora beticola	ingroup	48239	0.9839272237746548
F1230402	Basidioascus undulatus	ingroup	48334	0.9858649315683194
F1243177	Amoeboaphelidium protococcarum	ingroup	164	0.003345095559589614
F1246581	Paramicrosporidium saccamoebae	ingroup	38031	0.7757154221143452
F1269715	Thecaphora frezii	ingroup	43974	0.896934342301181
F1276059	Polystigma amygdalinum	ingroup	44713	0.9120076692434781
F1280837	Meira miltonrushii	ingroup	47141	0.9615314010647195
F1286916	Piptocephalis tieghemiana	ingroup	43149	0.8801068798825137
F129515	Trapelia coarctata	ingroup	46640	0.951312542068656
F1300064	Nucleospora cyclopteri	ingroup	15860	0.32349521692128824
F1314805	Vararia minispora	ingroup	47628	0.9714647031227691
F1323573	Meredithblackwellia eburnea	ingroup	47777	0.9745038448202011
F1328300	Fusarium keratoplasticum	ingroup	48178	0.9826830114018806
F13290	Tilletia caries	ingroup	44072	0.8989332408672772
F13291	Tilletia controversa	ingroup	43359	0.88439023395272
F1331295	Auricularia subglabra	ingroup	45214	0.9222265282395414
F133377	Smittium angustum	ingroup	32781	0.6686315703591899
F133385	Smittium simulii	ingroup	35895	0.7321475921431049
F1341166	Eremomyces bilateralis	ingroup	47741	0.973769555551023
F1343610	Actinomortierella ambigua	ingroup	48170	0.9825198360087298
F1343614	Mortierella claussenii	ingroup	47546	0.9697921553429742
F1348612	Diversispora epigaea	ingroup	46063	0.9395435168376609
F13502	Brettanomyces nanus	ingroup	46266	0.9436840924388602
F135208	Hericium alpestre	ingroup	37254	0.7598670120545822
F135589	Coniferiporia weirii	ingroup	46439	0.9472127603157444
F136370	Lasallia pustulata	ingroup	46174	0.941807575417627
F139363	Hydnum rufescens	ingroup	44249	0.9025434964407367
F1396493	Fimicolochytrium jonesii	ingroup	45641	0.9309360148489608
F1397036	Lambiella insularis	ingroup	42944	0.8759255104330267
F1419009	Clathrus columnatus	ingroup	43607	0.889448671140392
F1424756	Naganishia vaughanmartiniae	ingroup	38335	0.7819160870540722
F143232	Vanrija pseudolonga	ingroup	46050	0.939278356823791
F1440133	Modicella reniformis	ingroup	37835	0.7717176249821527
F144530	Ambispora gerdemannii	ingroup	46733	0.9532094560140331
F144538	Paraglomus brasilianum	ingroup	46024	0.9387480367960511
F144539	Paraglomus occultum	ingroup	40200	0.8199563505823322
F144679	Ambispora leptoticha	ingroup	45346	0.9249189222265283
F1453789	Toensbergia leucococca	ingroup	46681	0.9521488159585535
F1453791	Pycnora praestabilis	ingroup	46429	0.947008791074306
F145971	Colletotrichum lupini	ingroup	47769	0.9743406694270504
F1463510	Parajaminaea phylloscopi	ingroup	46848	0.9555551022905746
F147570	Myriangium duriaei	ingroup	48072	0.9805209374426337
F147573	Piedraia hortae	ingroup	47393	0.9666714259489669
F148304	Magnaporthiopsis poae	ingroup	38480	0.784873641054929
F148305	Pyricularia grisea	ingroup	47763	0.9742182878821873
F148313	Discula destructiva	ingroup	46937	0.9573704285393763
F1498855	Amoeboaphelidium occidentale	ingroup	45939	0.9370142982438249
F1500003	Paraphysoderma sedebokerense	ingroup	45610	0.9303037102005017
F1504668	Rhizodiscina lignyota	ingroup	48263	0.9844167499541069
F1506992	Thozetella sp. PMI_491	ingroup	47090	0.9604911579333837
F1507870	Cryoendolithus antarcticus	ingroup	4203	0.08572827217655578
F1507873	Rachicladosporium monterosium	ingroup	30876	0.6297754298651763
F150792	Hysterangium stoloniferum	ingroup	48277	0.9847023068921207
F1520584	Dispira parvispora	ingroup	33747	0.6883349990821385
F1522189	Ceraceosorus guamensis	ingroup	46529	0.9490484834886899
F152956	Russula decolorans	ingroup	46978	0.9582067024292736
F1540922	Wallemia hederae	ingroup	46593	0.9503538866338956
F1542792	Coniocarpon cinnabarinum	ingroup	45337	0.9247353499092337
F1555241	Caulochytrium protostelioides	ingroup	45086	0.9196157219491301
F156515	Tulasnella calospora	ingroup	36199	0.7383482570828319
F1569628	Jaminaea rosea	ingroup	46701	0.9525567544414303
F157183	Tilletia laevis	ingroup	43916	0.8957513207008383
F158046	Phaeomoniella chlamydospora	ingroup	45655	0.9312215717869745
F1590129	Xylographa bjoerkii	ingroup	44745	0.912660370816081
F1604274	Cladochytrium tenue	ingroup	22858	0.46623289207987434
F162425	Aspergillus nidulans	ingroup	47028	0.9592265486364656
F164576	Chaenotheca gracillima	ingroup	47562	0.9701185061292757
F164912	Astathelohania contejeani	ingroup	21242	0.43327146266343036
F1658444	Neoarthrinium moseri	ingroup	44800	0.913782201643992
F1670608	Glutinoglossum americanum	ingroup	45948	0.9371978705611194
F1671311	Colletotrichum abscissum	ingroup	48371	0.9866196177616415
F1673888	Violaceomyces palustris	ingroup	43716	0.8916719358720705
F1682393	Microdochium trichocladiopsis	ingroup	47900	0.9770126664898934
F1684307	Microstroma glucosiphilum	ingroup	46874	0.9560854223183144
F1690604	Lithohypha guttulata	ingroup	46840	0.9553919268974239
F1690608	Saxophila tyrrhenica	ingroup	47949	0.9780121157729414
F169141	Pseudocyphellaria aurata	ingroup	45004	0.9179431741693352
F170000	Phakopsora pachyrhizi	ingroup	37627	0.7674750647602342
F170446	Ceratobasidium sp. AG-Ba	ingroup	7111	0.14504252758683991
F1708541	Wallemia mellicola	ingroup	47800	0.9749729740755094
F1708542	Wallemia canadensis	ingroup	47814	0.9752585310135231
F1712513	Syncephalis pseudoplumigaleata	ingroup	27123	0.5532257735533481
F173216	Trichoderma aggressivum	ingroup	47186	0.9624492626511922
F1738374	Trichoderma camerunense	ingroup	47857	0.9761355987517082
F174425	Lichina confinis	ingroup	46249	0.9433373447284149
F174680	Glugoides intestinalis	ingroup	15915	0.3246170477491994
F174688	Gurleya vavrai	ingroup	13081	0.2668121647255594
F1750568	Cantharellus anzutake	ingroup	40468	0.825422726252881
F1754190	Neocallimastix californiae	ingroup	25139	0.5127582760519713
F1754191	Piromyces finnis	ingroup	46547	0.949415628123279
F1754192	Anaeromyces robustus	ingroup	43720	0.8917535235686459
F1759441	Athelia psychrophila	ingroup	45625	0.9306096640626593
F177197	Coniochaeta ligniaria	ingroup	47921	0.977441001896914
F177199	Coniochaeta pulveracea	ingroup	46710	0.9527403267587248
F1774096	Dinochytrium kinnereticum	ingroup	40710	0.8303587818956901
F1806994	Synchytrium microbalum	ingroup	47226	0.9632651396169457
F1810926	Aspergillus stella-maris	ingroup	47648	0.9718726416056459
F1810928	Aspergillus undulatus	ingroup	48321	0.9855997715544496
F181123	Austropuccinia psidii	ingroup	46640	0.951312542068656
F1814901	Dactylella cylindrospora	ingroup	43776	0.8928957513207009
F182096	Aspergillus chevalieri	ingroup	47341	0.9656107858934873
F1825666	Phyllachora maydis	ingroup	39376	0.8031492850878088
F183962	Sporobolomyces salmoneus	ingroup	47242	0.9635914904032472
F1851185	Syncephalis plumigaleata	ingroup	44723	0.9122116384849165
F1851187	Syncephalis fuscata	ingroup	46952	0.9576763824015339
F1858805	Dacryopinax primogenitus	ingroup	46348	0.9453566402186551
F1859096	Cryptococcus deuterogattii	ingroup	47241	0.9635710934791033
F1859121	Cryptococcus tetragattii	ingroup	47807	0.9751157525445163
F1859122	Cryptococcus decagattii	ingroup	48023	0.9795214881595855
F1882483	Testicularia cyperi	ingroup	47221	0.9631631549962266
F1890679	Cryptotrichosporon argae	ingroup	47986	0.9787668019662635
F1897645	Haplosporangium bisporale	ingroup	38399	0.783221490199278
F1904413	Suillus clintonianus	ingroup	47698	0.9728924878128378
F1907219	Piptocephalis cylindrospora	ingroup	22219	0.45319925755196117
F1912936	Suillus discolor	ingroup	47571	0.9703020784465702
F1912939	Suillus fuscotomentosus	ingroup	45221	0.9223693067085483
F1938712	Atractiella rhizophila	ingroup	38782	0.7910335121463683
F1938954	Bifiguratus adelaidae	ingroup	37424	0.7633344891590348
F1940652	Gomphillus americanus	ingroup	47987	0.9787871988904073
F195108	Fusarium falciforme	ingroup	46910	0.9568197115874926
F199306	Coccidioides posadasii	ingroup	45139	0.9206967589287536
F2019550	Ceratocystis lukuohia	ingroup	47301	0.9647949089277337
F2020955	Sanchytrium tribonematis	ingroup	30975	0.6317947253554164
F2020962	Malassezia vespertilionis	ingroup	46075	0.939788279927387
F2024903	Zalaria obscura	ingroup	43649	0.8903053419544332
F202697	Jaapia argillacea	ingroup	45915	0.9365247720643727
F202698	Punctularia strigosozonata	ingroup	47321	0.9652028474106105
F2034170	Trichoderma breve	ingroup	47905	0.9771146511106125
F203533	Classicula fluitans	ingroup	43741	0.8921818589756665
F2035830	Berkeleyomyces rouxiae	ingroup	47367	0.966141105921227
F203908	Melampsora laricis-populina	ingroup	45852	0.9352397658433108
F2082308	Sphaceloma murrayae	ingroup	48139	0.9818875313602708
F208348	Puccinia triticina	ingroup	44905	0.9159238786790952
F208960	Fomitiporia mediterranea	ingroup	46132	0.9409509046035858
F209136	Lepraria neglecta	ingroup	47763	0.9742182878821873
F209281	Thelotrema lepadinum	ingroup	44352	0.9046443796275522
F2109901	Amoeboradix gromovi	ingroup	35430	0.7226630224162196
F215250	Acaromyces ingoldii	ingroup	46377	0.9459481510188263
F215637	Dimargaris cristalligena	ingroup	44619	0.9100903583739572
F223192	Phaeoacremonium minimum	ingroup	45318	0.9243478083505008
