taxon_id	species_name	study_role	lineage_group	dataset	selection_reason
F1498855	Amoeboaphelidium occidentale	ingroup	Aphelidiomycota	fungi_odb12.2	Fungal parent panel; no selected narrower panel
F1243177	Amoeboaphelidium protococcarum	ingroup	Aphelidiomycota	fungi_odb12.2	Fungal parent panel; no selected narrower panel
F2871812	Acarospora aff. strigata	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F318763	Pleopsidium flavum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F470096	Pseudovirgaria hyperparasitica	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F4918	Pachysolen tannophilus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1658444	Neoarthrinium moseri	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F393283	Pestalotiopsis fici	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1141098	Pseudomassariella vexata	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F91480	Alyxoria varia	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2939400	Chrysothrix sp. TS-e1954	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1542792	Coniocarpon cinnabarinum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F54195	Ascoidea rubescens	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F43959	Saccharomycopsis crataegensis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1176130	Aulographum hederae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1504668	Rhizodiscina lignyota	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1397036	Lambiella insularis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F223409	Ptychographa xylographoides	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1590129	Xylographa bjoerkii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F462254	Aplosporella prunicola	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F236234	Diplodia corticola	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F121624	Phyllosticta capitalensis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F3058885	Dirinaria sp. TL-2023a	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F116794	Heterodermia speciosa	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F116821	Physcia stellaris	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F41990	Pleurostoma richardsiae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F460848	Candelaria pacifica	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F460854	Candelina submexicana	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1453791	Pycnora praestabilis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F147573	Piedraia hortae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F705562	Polychaeton citri	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1093897	Phialemonium atrogriseum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F223376	Phialemonium thermophilum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1506992	Thozetella sp. PMI_491	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
