taxon_id	columns	canonical_before	canonical_after	masked_marker_observations
F1004511	63750	49039	49039	0
F1005962	63750	56040	56040	0
F1006475	63750	52012	52012	0
F100910	63750	59969	59969	0
F101028	63750	61274	61274	0
F101097	63750	57555	57555	0
F101098	63750	56845	56845	0
F101201	63750	59506	59506	0
F1031713	63750	60121	60121	0
F103449	63750	18175	18175	0
F1042133	63750	60982	60982	0
F1042397	63750	58444	58444	0
F104341	63750	57801	57801	0
F104355	63750	60055	60055	0
F104408	63750	60714	60714	0
F104669	63750	52790	52790	0
F1048519	63750	61584	61584	0
F1048829	63750	61964	61964	0
F1048955	63750	61195	61195	0
F1052096	63750	61349	61349	0
F1055551	63750	57908	57908	0
F105984	63750	60209	60209	0
F106004	63750	58370	58370	0
F1069201	63750	61579	61579	0
F1080349	63750	56023	56023	0
F1081669	63750	12060	12060	0
F1093897	63750	61761	61761	0
F1093900	63750	61135	61135	0
F1095194	63750	61327	61327	0
F109760	63750	57787	57787	0
F109876	63750	51635	51635	0
F109889	63750	55762	55762	0
F109899	63750	55566	55566	0
F109932	63750	52269	52269	0
F1099800	63750	59872	59872	0
F110093	63750	57956	57956	0
F1116844	63750	60602	60602	0
F1117311	63750	55210	55210	0
F112072	63750	58044	58044	0
F1123529	63750	56199	56199	0
F112417	63750	58566	58566	0
F1125753	63750	57545	57545	0
F1130053	63750	59118	59118	0
F113071	63750	55250	55250	0
F1141098	63750	61449	61449	0
F114524	63750	56567	56567	0
F114525	63750	56557	56557	0
F1145299	63750	52086	52086	0
F1145321	63750	55407	55407	0
F116603	63750	59109	59109	0
F116794	63750	60906	60906	0
F116821	63750	58306	58306	0
F116982	63750	54289	54289	0
F117179	63750	59849	59849	0
F117187	63750	48889	48889	0
F1174673	63750	60487	60487	0
F1176130	63750	61517	61517	0
F1176355	63750	16068	16068	0
F120017	63750	60765	60765	0
F1209916	63750	61684	61684	0
F1209934	63750	61715	61715	0
F1213189	63750	21814	21814	0
F1214568	63750	61010	61010	0
F121624	63750	61628	61628	0
F1217826	63750	61820	61820	0
F1220207	63750	61963	61963	0
F122368	63750	61581	61581	0
F1230402	63750	60695	60695	0
F1243177	63750	204	204	0
F1246581	63750	45710	45710	0
F1269715	63750	57287	57287	0
F1276059	63750	57485	57485	0
F1280837	63750	59563	59563	0
F1286916	63750	51684	51684	0
F129515	63750	59747	59747	0
F1300064	63750	17668	17668	0
F1314805	63750	59488	59488	0
F1323573	63750	59489	59489	0
F1328300	63750	61375	61375	0
F13290	63750	57735	57735	0
F13291	63750	56296	56296	0
F1331295	63750	56206	56206	0
F133377	63750	40813	40813	0
F133385	63750	43979	43979	0
F1341166	63750	61154	61154	0
F1343610	63750	60223	60223	0
F1343614	63750	59067	59067	0
F1348612	63750	56864	56864	0
F13502	63750	56854	56854	0
F135208	63750	46210	46210	0
F135589	63750	58665	58665	0
F136370	63750	59348	59348	0
F139363	63750	54961	54961	0
F1396493	63750	56509	56509	0
F1397036	63750	55427	55427	0
F1419009	63750	54524	54524	0
F1424756	63750	49097	49097	0
F143232	63750	58363	58363	0
F1440133	63750	48869	48869	0
F144530	63750	57234	57234	0
F144538	63750	56036	56036	0
F144539	63750	50068	50068	0
F144679	63750	55248	55248	0
F1453789	63750	59771	59771	0
F1453791	63750	60168	60168	0
F145971	63750	61325	61325	0
F1463510	63750	60710	60710	0
F147570	63750	60978	60978	0
F147573	63750	58549	58549	0
F148304	63750	49493	49493	0
F148305	63750	61277	61277	0
F148313	63750	59341	59341	0
