taxon_id	species_name	study_role	gap_ambiguity_percent_reported	nominal_composition_status	composition_pvalue_percent_reported
F1498855	Amoeboaphelidium occidentale	ingroup	14.03	failed	0.00
F1243177	Amoeboaphelidium protococcarum	ingroup	99.68	failed	2.58
F2871812	Acarospora aff. strigata	ingroup	5.02	failed	0.00
F318763	Pleopsidium flavum	ingroup	19.75	failed	0.00
F470096	Pseudovirgaria hyperparasitica	ingroup	5.25	failed	0.00
F4918	Pachysolen tannophilus	ingroup	12.56	failed	0.00
F1658444	Neoarthrinium moseri	ingroup	9.01	failed	0.00
F393283	Pestalotiopsis fici	ingroup	7.33	failed	0.00
F1141098	Pseudomassariella vexata	ingroup	3.61	failed	0.00
F91480	Alyxoria varia	ingroup	6.75	failed	0.00
F2939400	Chrysothrix sp. TS-e1954	ingroup	6.92	failed	0.00
F1542792	Coniocarpon cinnabarinum	ingroup	9.51	failed	0.00
F54195	Ascoidea rubescens	ingroup	12.28	failed	0.00
F43959	Saccharomycopsis crataegensis	ingroup	9.65	failed	0.00
F1176130	Aulographum hederae	ingroup	3.50	failed	0.00
F1504668	Rhizodiscina lignyota	ingroup	3.51	failed	0.00
F1397036	Lambiella insularis	ingroup	13.06	failed	0.00
F223409	Ptychographa xylographoides	ingroup	4.63	failed	0.00
F1590129	Xylographa bjoerkii	ingroup	9.08	failed	0.00
F462254	Aplosporella prunicola	ingroup	4.45	failed	0.00
F236234	Diplodia corticola	ingroup	3.21	failed	0.00
F121624	Phyllosticta capitalensis	ingroup	3.33	failed	0.00
F3058885	Dirinaria sp. TL-2023a	ingroup	24.08	failed	0.00
F116794	Heterodermia speciosa	ingroup	4.46	failed	0.00
F116821	Physcia stellaris	ingroup	8.54	failed	0.00
F41990	Pleurostoma richardsiae	ingroup	4.27	failed	0.00
F460848	Candelaria pacifica	ingroup	6.77	failed	0.00
F460854	Candelina submexicana	ingroup	7.52	failed	0.00
F1453791	Pycnora praestabilis	ingroup	5.62	failed	0.00
F147573	Piedraia hortae	ingroup	8.16	failed	0.00
F705562	Polychaeton citri	ingroup	4.53	failed	0.00
F1093897	Phialemonium atrogriseum	ingroup	3.12	failed	0.00
F223376	Phialemonium thermophilum	ingroup	22.72	failed	0.00
F1506992	Thozetella sp. PMI_491	ingroup	6.12	failed	0.00
F293227	Cyphellophora europaea	ingroup	4.32	failed	0.00
F2486360	Exophiala viscosa	ingroup	3.43	failed	0.00
F1690604	Lithohypha guttulata	ingroup	6.43	failed	0.00
