node	descendant_taxa	hogs	source_families	gene_assignments	bytes	sha256
N0	526	183997	158041	5275405	171776032	83ef338e59e41ee4ee4b7be55d128d864b74da9eecf2487aaec432fdb7fa095c
N1	501	169761	142139	4963372	159525054	6e7b99515738930e6ec43743e656b020c745891be152be813f5c8af52c2964b0
N2	25	39004	22002	310447	25902824	28e92e744c6d27c2061dd42c2007aaa2617edfaaa6a1d944816fa3a1e76c2469
N3	484	174527	138084	4905548	160944555	d3556e51abd6c60e72cdc603baea4401c4352df4bb5ef0a957f594c55c1efefb
N4	17	14738	7913	55261	9159911	3f9b5807c0886ff76458523e853dde37190d2e16a9857dfd8513e858af2e4fa8
N5	24	39968	21916	305906	26366025	9ce79a0d1f3b0199eb9d25120d2c75295e08c393c9639ccd438a2baefe9131c5
N6	454	164333	124163	4575242	151104936	88023b2ad290bbfed415e4cbe0ac28dddd5d6a708855b0ed19388558fb07773e
N7	30	38661	20169	328297	25471815	eb522b227e06e8d2ef248c63f5b86288f6733d5535f7f416f096860eaa8819f6
N8	16	12537	7318	48927	7861092	7357e728a963eabf3e2cafb084640a148cba11e0fd54d8ede8b416edfd8143ec
N9	18	33588	17654	239093	21954502	e3141d561ef0976ce59e09040ad81de272e01300eb0aa1311aa70a5703423b0e
N10	6	17540	8889	66234	10607963	a4dc97b59fbcbd4d10de5239fec1c06ff5a030a6abac4ba05672636e095bb266
N11	392	143025	101476	3890709	130448306	e218877a84025d649f35d650073c6c64b2ba84aced3e651fb0480ddabefb5447
N12	62	51534	28421	681593	37359950	d284bf55d0fceb01bf44f0be200872e8c3539b44c6c26050d2c008a2c548c990
N13	21	32470	16327	241861	21036268	a783e8c1243587e52dfc7e9b6aa832e22ff5cdf92b83d25c2f9a7f74f7e64331
N14	9	14304	8076	86251	8980468	d3794c77ea8db1c7f4180fb1f87786e265a065c7b9f02f5b41ac533b14123562
N15	15	10484	6660	44001	6682651	620be14a58016a1dbed80135ae8493719c2284c7d9593996d612613e76756452
N16	15	29906	15271	213681	19564189	72113b6c6841cb999cc49f8d155d2fd60334e98817661fd96d12ba316efa62bc
N17	3	11397	6259	25014	6705082	5af125231e99ecc161ef236634cc585aa4b73d357c5911f1635cbb2736c9dcb5
N18	5	15466	8362	58334	9340551	fe9bd7d2b7864d37b0e7bd72895bde7496d15cda7eac956ac70dbd1d32ce8c8d
N19	157	86488	56214	1761181	70725646	806a2ab70bf5f57e903712626d4738dff6c06ea675ac32b15e69382d9881690e
N20	235	80372	51276	2128605	72917876	27ac7e500f88e312a5bbdf7ff2825ab9b463bb220db5d687db1784485b1c26e9
N21	46	40935	21861	538150	29678024	e4b49717246b801d35fb77364d246ae5cbfbab66e47e6a5d23db9066adec9c3e
N22	16	20173	10694	143316	13002687	5abe849c13a39335ceaf61c9f1519f0f65933e893f5faf2563ff60145c1d6790
N23	12	22057	10265	104479	13605578	f5bfe08dbbc012c5be9da725b212fc4d2bc9a5652e9997ffd730567bcd9f7989
N24	9	19339	10772	137163	12388877	0aaec6511c5b6f1b096488ae5bfd051c617fbc137f46b0927850fe4329340b96
