taxon_id	species_name	study_role	lineage	marker_links	unique_source_cds	no_source_cds	multiple_source_cds_records	alternative_product_markers	unresolved_gene_markers
F1498855	Amoeboaphelidium occidentale	ingroup	Aphelidiomycota	122	122	0	0	0	0
F1243177	Amoeboaphelidium protococcarum	ingroup	Aphelidiomycota	1	1	0	0	0	0
F2871812	Acarospora aff. strigata	ingroup	Ascomycota	120	120	0	0	0	0
F318763	Pleopsidium flavum	ingroup	Ascomycota	103	103	0	0	0	0
F470096	Pseudovirgaria hyperparasitica	ingroup	Ascomycota	124	124	0	0	0	0
F4918	Pachysolen tannophilus	ingroup	Ascomycota	120	120	0	0	0	0
F1658444	Neoarthrinium moseri	ingroup	Ascomycota	121	121	0	0	0	0
F393283	Pestalotiopsis fici	ingroup	Ascomycota	120	120	0	0	0	0
F1141098	Pseudomassariella vexata	ingroup	Ascomycota	124	124	0	0	0	0
F91480	Alyxoria varia	ingroup	Ascomycota	119	119	0	0	0	0
F2939400	Chrysothrix sp. TS-e1954	ingroup	Ascomycota	122	122	0	0	0	0
F1542792	Coniocarpon cinnabarinum	ingroup	Ascomycota	119	119	0	0	0	0
F54195	Ascoidea rubescens	ingroup	Ascomycota	120	120	0	0	0	0
F43959	Saccharomycopsis crataegensis	ingroup	Ascomycota	122	122	0	0	0	0
F1176130	Aulographum hederae	ingroup	Ascomycota	125	125	0	0	0	0
F1504668	Rhizodiscina lignyota	ingroup	Ascomycota	125	125	0	0	0	0
F1397036	Lambiella insularis	ingroup	Ascomycota	114	114	0	0	0	0
F223409	Ptychographa xylographoides	ingroup	Ascomycota	121	121	0	0	0	0
F1590129	Xylographa bjoerkii	ingroup	Ascomycota	120	120	0	0	0	0
F462254	Aplosporella prunicola	ingroup	Ascomycota	123	123	0	0	0	0
F236234	Diplodia corticola	ingroup	Ascomycota	124	124	0	0	0	0
F121624	Phyllosticta capitalensis	ingroup	Ascomycota	125	125	0	0	0	0
F3058885	Dirinaria sp. TL-2023a	ingroup	Ascomycota	97	97	0	0	0	0
F116794	Heterodermia speciosa	ingroup	Ascomycota	121	121	0	0	0	0
F116821	Physcia stellaris	ingroup	Ascomycota	122	122	0	0	0	0
F41990	Pleurostoma richardsiae	ingroup	Ascomycota	123	123	0	0	0	0
F460848	Candelaria pacifica	ingroup	Ascomycota	119	119	0	0	0	0
F460854	Candelina submexicana	ingroup	Ascomycota	120	120	0	0	0	0
F1453791	Pycnora praestabilis	ingroup	Ascomycota	120	120	0	0	0	0
F147573	Piedraia hortae	ingroup	Ascomycota	122	122	0	0	0	0
