cohort	marker_terminal	status	marker_edges
paired-fit-audit-esmfold-combined-v1	False	compatible_with_both_but_mapping_differs	624
paired-fit-audit-esmfold-combined-v1	False	compatible_with_one_guide_only	148
paired-fit-audit-esmfold-combined-v1	False	discordant_with_both_guides	5073
paired-fit-audit-esmfold-combined-v1	False	same_collapsed_path_splits_in_both_guides	1245
paired-fit-audit-esmfold-combined-v1	False	unique_same_full_split_in_both_guides	1975
paired-fit-audit-esmfold-combined-v1	True	compatible_with_both_but_mapping_differs	902
paired-fit-audit-esmfold-combined-v1	True	same_collapsed_path_splits_in_both_guides	3356
paired-fit-audit-esmfold-combined-v1	True	unique_same_full_split_in_both_guides	5074
paired-fit-audit-gdm-expanded-v1	False	compatible_with_both_but_mapping_differs	719
paired-fit-audit-gdm-expanded-v1	False	compatible_with_one_guide_only	220
paired-fit-audit-gdm-expanded-v1	False	discordant_with_both_guides	5901
paired-fit-audit-gdm-expanded-v1	False	same_collapsed_path_splits_in_both_guides	1753
paired-fit-audit-gdm-expanded-v1	False	unique_same_full_split_in_both_guides	4600
paired-fit-audit-gdm-expanded-v1	True	compatible_with_both_but_mapping_differs	1226
paired-fit-audit-gdm-expanded-v1	True	same_collapsed_path_splits_in_both_guides	3589
paired-fit-audit-gdm-expanded-v1	True	unique_same_full_split_in_both_guides	8750
