taxon_id	species_name	selected_assembly_accession	source_species_name	source_ecology	source_jgi_id	source_strain_description	source_sheet	source_excel_row	source_doi	source_url	source_sha256	previous_curated_state	genus_candidate_primary_lifestyle	genus_ECM_disagreement	taxon_identity_flags	selected_isolate_equivalence	ecological_effect_eligibility
F89243	Laccaria amethystina	GCA_000827195.2	Laccaria amethystina	Ectomycorrhizae	Lacam2	Laccaria amethystina LaAM-08-1 v2.0	S_Table 2	6	https://doi.org/10.1038/s41467-020-18795-w	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-020-18795-w/MediaObjects/41467_2020_18795_MOESM6_ESM.xlsx	b34a84f3c27a710bd726204453e43c5c63c242ca8f9ab81ff009bfc12551ad6c	ectomycorrhizal	ectomycorrhizal	False		not_verified	pending_source_conflict_identity_and_phylogenetic_review
F29883	Laccaria bicolor	GCF_000143565.1	Laccaria bicolor	Ectomycorrhizae	Lacbi2	Laccaria bicolor v2.0	S_Table 2	7	https://doi.org/10.1038/s41467-020-18795-w	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-020-18795-w/MediaObjects/41467_2020_18795_MOESM6_ESM.xlsx	b34a84f3c27a710bd726204453e43c5c63c242ca8f9ab81ff009bfc12551ad6c	ectomycorrhizal	ectomycorrhizal	False		not_verified	pending_source_conflict_identity_and_phylogenetic_review
F235537	Amanita thiersii	GCA_002554575.1	Amanita thiersii	Saprotroph	Amath1	Amanita thiersii Skay4041 v1.0	S_Table 2	15	https://doi.org/10.1038/s41467-020-18795-w	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-020-18795-w/MediaObjects/41467_2020_18795_MOESM6_ESM.xlsx	b34a84f3c27a710bd726204453e43c5c63c242ca8f9ab81ff009bfc12551ad6c	asymbiotic	ectomycorrhizal	True		not_verified	pending_source_conflict_identity_and_phylogenetic_review
F71933	Amanita rubescens	GCA_015039365.1	Amanita rubescens	Ectomycorrhizae	Amarub1	Amanita rubescens Prilba v1.0                  	S_Table 2	16	https://doi.org/10.1038/s41467-020-18795-w	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-020-18795-w/MediaObjects/41467_2020_18795_MOESM6_ESM.xlsx	b34a84f3c27a710bd726204453e43c5c63c242ca8f9ab81ff009bfc12551ad6c		ectomycorrhizal	False		not_verified	pending_source_conflict_identity_and_phylogenetic_review
F41956	Amanita muscaria	GCA_054369615.1	Amanita muscaria	Ectomycorrhizae	Amamu1	Amanita muscaria Koide v1.0	S_Table 2	17	https://doi.org/10.1038/s41467-020-18795-w	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-020-18795-w/MediaObjects/41467_2020_18795_MOESM6_ESM.xlsx	b34a84f3c27a710bd726204453e43c5c63c242ca8f9ab81ff009bfc12551ad6c	ectomycorrhizal	ectomycorrhizal	False		not_verified	pending_source_conflict_identity_and_phylogenetic_review
F48565	Suillus brevipes	GCA_011800875.2	Suillus brevipes	Ectomycorrhizae	Suibr2	Suillus brevipes Sb2 v2.0	S_Table 2	38	https://doi.org/10.1038/s41467-020-18795-w	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-020-18795-w/MediaObjects/41467_2020_18795_MOESM6_ESM.xlsx	b34a84f3c27a710bd726204453e43c5c63c242ca8f9ab81ff009bfc12551ad6c	ectomycorrhizal	ectomycorrhizal	False		not_verified	pending_source_conflict_identity_and_phylogenetic_review
F80663	Piloderma croceum	GCA_000827315.1	Piloderma croceum	Ectomycorrhizae	Pilcr1	Piloderma croceum F 1598 v1.0	S_Table 2	45	https://doi.org/10.1038/s41467-020-18795-w	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-020-18795-w/MediaObjects/41467_2020_18795_MOESM6_ESM.xlsx	b34a84f3c27a710bd726204453e43c5c63c242ca8f9ab81ff009bfc12551ad6c	ectomycorrhizal	ectomycorrhizal	False		not_verified	pending_source_conflict_identity_and_phylogenetic_review
F38799	Neolentinus lepideus	GCA_001632425.1	Neolentinus lepideus	Wood decayer	Neole1	Neolentinus lepideus v1.0	S_Table 2	50	https://doi.org/10.1038/s41467-020-18795-w	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-020-18795-w/MediaObjects/41467_2020_18795_MOESM6_ESM.xlsx	b34a84f3c27a710bd726204453e43c5c63c242ca8f9ab81ff009bfc12551ad6c		wood_saprotroph	False		not_verified	pending_source_conflict_identity_and_phylogenetic_review
F202697	Jaapia argillacea	GCA_000697665.1	Jaapia argillacea	Wood decayer	Jaaar1	Jaapia argillacea v1.0	S_Table 2	51	https://doi.org/10.1038/s41467-020-18795-w	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-020-18795-w/MediaObjects/41467_2020_18795_MOESM6_ESM.xlsx	b34a84f3c27a710bd726204453e43c5c63c242ca8f9ab81ff009bfc12551ad6c		wood_saprotroph	False		not_verified	pending_source_conflict_identity_and_phylogenetic_review
F202698	Punctularia strigosozonata	GCF_000264995.1	Punctularia strigosozonata	Pathogen	Punst1	Punctularia strigosozonata v1.0 	S_Table 2	52	https://doi.org/10.1038/s41467-020-18795-w	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-020-18795-w/MediaObjects/41467_2020_18795_MOESM6_ESM.xlsx	b34a84f3c27a710bd726204453e43c5c63c242ca8f9ab81ff009bfc12551ad6c		wood_saprotroph	False		not_verified	pending_source_conflict_identity_and_phylogenetic_review
