source_excel_row	source_species_name	source_ecology	match_status
6	Laccaria amethystina	Ectomycorrhizae	exact_unique_species_name
7	Laccaria bicolor	Ectomycorrhizae	exact_unique_species_name
8	Coprinopsis cinerea	Saprotroph	unmatched_species_name
9	Coprinellus micaceus	Saprotroph	unmatched_species_name
10	Hypholoma sublateritium	Wood decayer	unmatched_species_name
11	Hebeloma cylindrosporum	Ectomycorrhizae	unmatched_species_name
12	Cortinarius glaucopus	Ectomycorrhizae	unmatched_species_name
13	Crucibulum laeve	Saprotroph	unmatched_species_name
14	Tricholoma matsutake	Ectomycorrhizae	unmatched_species_name
15	Amanita thiersii	Saprotroph	exact_unique_species_name
16	Amanita rubescens	Ectomycorrhizae	exact_unique_species_name
17	Amanita muscaria	Ectomycorrhizae	exact_unique_species_name
18	Pluteus cervinus	Saprotroph	unmatched_species_name
19	Gymnopus androsaceus	Saprotroph	unmatched_species_name
20	Omphalotus olearius	Saprotroph	unmatched_species_name
21	Marasmius fiardii	Saprotroph	unmatched_species_name
22	Moniliophthora perniciosa	Pathogen	unmatched_species_name
23	Mycena galopus	Saprotroph	unmatched_species_name
24	Armillaria gallica	Pathogen	unmatched_species_name
25	Pleurotus ostreatus	Wood decayer	unmatched_species_name
26	Schizophyllum commune	Wood decayer	unmatched_species_name
27	Paxillus ammoniavirescens	Ectomycorrhizae	unmatched_species_name
28	Paxillus adelphus	Ectomycorrhizae	unmatched_species_name
29	Paxillus involutus	Ectomycorrhizae	unmatched_species_name
30	Gyrodon lividus	Ectomycorrhizae	unmatched_species_name
31	Xerocomus badius (Imleria badia)	Ectomycorrhizae	unmatched_species_name
32	Boletus edulis	Ectomycorrhizae	unmatched_species_name
33	Boletus edulis P	Ectomycorrhizae	unmatched_species_name
34	Pisolithus microcarpus	Ectomycorrhizae	unmatched_species_name
35	Pisolithus tinctorius	Ectomycorrhizae	unmatched_species_name
36	Scleroderma citrinum	Ectomycorrhizae	unmatched_species_name
37	Suillus luteus	Ectomycorrhizae	unmatched_species_name
38	Suillus brevipes	Ectomycorrhizae	exact_unique_species_name
39	Coniophora puteana	Wood decayer	unmatched_species_name
40	Serpula lacrymans	Wood decayer	unmatched_species_name
41	Rhizopogon vesiculosus	Ectomycorrhizae	unmatched_species_name
42	Rhizopogon vinicolor	Ectomycorrhizae	unmatched_species_name
43	Melanogaster broomeianus	Ectomycorrhizae	unmatched_species_name
44	Fibulorhizoctonia sp.	Saprotroph	unmatched_species_name
45	Piloderma croceum	Ectomycorrhizae	exact_unique_species_name
46	Plicaturopsis crispa	Wood decayer	unmatched_species_name
47	Phanerochaete chrysosporium	Wood decayer	unmatched_species_name
48	Phlebia brevispora	Wood decayer	unmatched_species_name
49	Postia placenta	Wood decayer	unmatched_species_name
50	Neolentinus lepideus	Wood decayer	exact_unique_species_name
51	Jaapia argillacea	Wood decayer	exact_unique_species_name
52	Punctularia strigosozonata	Pathogen	exact_unique_species_name
53	Sistotremastrum niveocremeum	Wood decayer	unmatched_species_name
54	Heterobasidion annosum	Pathogen	unmatched_species_name
55	Lactarius quietus	Ectomycorrhizae	unmatched_species_name
56	Lentinellus vulpinus	Wood decayer	unmatched_species_name
57	Russula emetica	Ectomycorrhizae	unmatched_species_name
58	Russula ochroleuca	Ectomycorrhizae	unmatched_species_name
59	Thelephora terrestris	Ectomycorrhizae	exact_unique_species_name
60	Thelephora ganbajun	Ectomycorrhizae	exact_unique_species_name
61	Ramaria rubella	Saprotroph	exact_unique_species_name
62	Gautieria morchelliformis	Ectomycorrhizae	exact_unique_species_name
63	Hysterangium stoloniferum	Ectomycorrhizae	exact_unique_species_name
64	Sphaerobolus stellatus	Wood decayer	exact_unique_species_name
65	Auricularia subglabra	Wood decayer	exact_unique_species_name
66	Piriformospora indica	Endophyte	unmatched_species_name
67	Sebacina vermifera	Orchid mycorrhizae	unmatched_species_name
68	Hydnum rufescens	Ectomycorrhizae	exact_unique_species_name
69	Cantharellus anzutake	Ectomycorrhizae	exact_unique_species_name
70	Sistotrema sp.	Saprotroph	unmatched_species_name
71	Botryobasidium botryosum	Saprotroph	exact_unique_species_name
72	Tulasnella calospora	Orchid mycorrhizae	exact_unique_species_name
73	Ceratobasidium sp.	Orchid mycorrhizae	unmatched_species_name
74	Rhizoctonia solani	Pathogen	exact_unique_species_name
75	Tremella mesenterica	Wood decayer	unmatched_species_name
76	Dacryopinax primogenitus	Wood decayer	exact_unique_species_name
77	Wallemia sebi	Saprotroph	unmatched_species_name
78	Chalara longipes	Saprotroph	unmatched_species_name
79	Meliniomyces variabilis	Ericoid mycorrhizae	unmatched_species_name
80	Meliniomyces bicolor	Ericoid mycorrhizae	unmatched_species_name
81	Rhizoscyphus ericae	Ericoid mycorrhizae	unmatched_species_name
82	Acephala macrosclerotiorum	Ectomycorrhizae	unmatched_species_name
83	Phialocephala scopiformis	Endophyte	unmatched_species_name
84	Ascocoryne sarcoides	Endophyte	unmatched_species_name
85	Glarea lozoyensis	Saprotroph	unmatched_species_name
86	Amorphotheca resinae	Saprotroph	exact_unique_species_name
87	Oidiodendron maius	Ericoid mycorrhizae	unmatched_species_name
88	Bisporella sp.	Saprotroph	unmatched_species_name
89	Sclerotinia sclerotiorum	Pathogen	unmatched_species_name
90	Botrytis cinerea	Pathogen	exact_unique_species_name
91	Magnaporthe grisea	Pathogen	unmatched_species_name
92	Neurospora crassa	Saprotroph	unmatched_species_name
93	Trichoderma reesei	Saprotroph	unmatched_species_name
94	Xylaria hypoxylon	Saprotroph	unmatched_species_name
95	Cenococcum geophilum	Ectomycorrhizae	exact_unique_species_name
96	Glonium stellatum	Saprotroph	exact_unique_species_name
97	Lepidopterella palustris	Saprotroph	exact_unique_species_name
98	Stagonospora sp.	Pathogen	unmatched_species_name
99	Alternaria alternata	Pathogen	unmatched_species_name
100	Aureobasidium pullulans	Saprotroph	exact_unique_species_name
101	Cladosporium fulvum	Pathogen	unmatched_species_name
102	Aspergillus clavatus	Saprotroph	unmatched_species_name
103	Aspergillus flavus	Pathogen	exact_unique_species_name
104	Arthroderma benhamiae	Pathogen	unmatched_species_name
105	Usnea florida	Lichen symbiont	unmatched_species_name
106	Xylona heveae	Endophyte	exact_unique_species_name
107	Tuber magnatum	Ectomycorrhizae	unmatched_species_name
108	Tuber aestivum	Ectomycorrhizae	unmatched_species_name
109	Tuber melanosporum	Ectomycorrhizae	exact_unique_species_name
110	Tuber borchii	Ectomycorrhizae	unmatched_species_name
111	Choiromyces venosus	Ectomycorrhizae	unmatched_species_name
112	Morchella importuna.C	Saprotroph	unmatched_species_name
113	Morchella importuna	Saprotroph	exact_unique_species_name
114	Gyromitra esculenta	Saprotroph	unmatched_species_name
115	Caloscypha fulgens	Saprotroph	unmatched_species_name
116	Wilcoxina mikolae	Ectomycorrhizae	unmatched_species_name
117	Trichophaea hybrida	Ectomycorrhizae	unmatched_species_name
118	Pyronema confluens	Saprotroph	unmatched_species_name
119	Sarcoscypha coccinea	Saprotroph	unmatched_species_name
120	Kalaharituber pfeilii	Ectomycorrhizae	unmatched_species_name
121	Terfezia boudieri	Ectomycorrhizae	unmatched_species_name
122	Terfezia claveryi	Ectomycorrhizae	unmatched_species_name
123	Tirmania nivea	Ectomycorrhizae	unmatched_species_name
124	Ascobolus immersus	Saprotroph	unmatched_species_name
125	Monacrosporium haptotylum	Parasite	unmatched_species_name
126	Arthrobotrys oligospora	Parasite	unmatched_species_name
127	Saccharomyces cerevisiae	Yeast	exact_unique_species_name
128	Wickerhamomyces anomalus	Yeast	unmatched_species_name
129	Candida tanzawaensis	Yeast	unmatched_species_name
130	Taphrina deformans	Pathogen	exact_unique_species_name
131	Gigaspora rosea	Arbuscular mycorrhizae	unmatched_species_name
132	Rhizophagus cerebriforme	Arbuscular mycorrhizae	unmatched_species_name
133	Rhizophagus diaphanus	Arbuscular mycorrhizae	unmatched_species_name
134	Rhizophagus irregularis	Arbuscular mycorrhizae	exact_unique_species_name
135	Rhizophagus irregularis DAOM	Arbuscular mycorrhizae	unmatched_species_name
