taxon_id	proteins	cds_records	proteins_without_cds	exact_translation	translation_mismatch	non_triplet_length	annotation_exception_requires_review	missing_or_ambiguous_protein_id	multiple_cds_records_for_protein
F1498855	7496	7496	0	7479	17				
F1243177	13180	13180	0	13072		108			
F2871812	7888	7888	0	7855		33			
F318763	10810	10810	0	9819		991			
F470096	11218	11218	0	11158		60			
F4918	5666	5666	0	5525		141			
F1658444	13929	13929	0	13904	1	24			
F393283	15413	15413	0	15413					
F1141098	12564	12564	0	12510		54			
F91480	7578	7578	0	7559		19			
F2939400	7632	7632	0	7618		14			
F1542792	7721	7721	0	7649		72			
F54195	6787	6787	0	6654		133			
F43959	6419	6419	0	6415		1	3		
F1176130	12109	12125	0	12022		87		16	
F1504668	12801	12801	0	12800		1			
F1397036	8485	8485	0	8424		61			
F223409	7741	7741	0	7689		52			
F1590129	9650	9650	0	9568		82			
F462254	12535	12556	0	12468		67		21	
F236234	10831	10831	0	10813		18			
F121624	12062	12062	0	12011		51			
F3058885	8539	8539	0	7963	7	569			
F116794	10570	10570	0	10531		39			
F116821	10217	10217	0	10217					
F41990	12540	12540	0	12497		43			
F460848	8063	8063	0	8023		40			
F460854	8190	8190	0	7707		483			
F1453791	7721	7721	0	7713		8			
F147573	7559	7568	0	7509		50		9	
F705562	10579	10582	0	10538		41		3	
F1093897	11400	11400	0	11368		32			
F223376	10423	10423	0	10423					
F1506992	23280	23280	0	23202		78			
F293227	11094	11094	0	11091	3				
F2486360	11345	11345	0	11335		10			
F1690604	8740	8740	0	8740					
F1052096	9704	9704	0	9679		25			
F1507870	18781	18781	0	18744		37			
F1507873	7772	7772	0	7352		420			
F91930	12275	12275	0	12275					
F177197	13658	13658	0	13617		41			
F177199	10035	10035	0	10012		23			
F164576	7656	7656	0	7433		223			
F2939403	7507	7507	0	7461		46			
F5116	11588	11588	0	11486		102			
F1214568	15635	15635	0	15563	43	29			
F148313	11480	11480	0	11476		4			
F2268995	6305	6380	0	6305				75	
F2606893	6475	6475	0	6474		1			
F796027	5128	5128	0	5128					
F5580	11844	11844	0	11810		34			
F2781224	8589	8589	0	8587		2			
F2024903	7859	7859	0	7848		11			
F1341166	9874	9874	0	9829		45			
F182096	10330	10330	0	10324		6			
F5059	13707	13707	0	13692		15			
F746128	9823	9823	0	9812			11		
F1069201	12662	12662	0	12660	1	1			
F41759	12813	12813	0	12735		78			
F162425	10453	10516	0	10448		3	2	63	
